query,phylum,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Jesogammarus jesoensis,Arthropoda,Anisogammaridae,137797,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus hokurikuensis,Arthropoda,Anisogammaridae,1009758,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus fujinoi,Arthropoda,Anisogammaridae,1009765,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus shonaiensis,Arthropoda,Anisogammaridae,559880,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus mikadoi,Arthropoda,Anisogammaridae,993943,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus spinopalpus,Arthropoda,Anisogammaridae,1009762,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus hinumensis,Arthropoda,Anisogammaridae,1009757,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus hebeiensis,Arthropoda,Anisogammaridae,559858,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus annandalei,Arthropoda,Anisogammaridae,483704,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Jesogammarus naritai,Arthropoda,Anisogammaridae,483705,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
