"","accession_1","accession_2","taxonID","phylum"
"302","BBHEM009-09","HM374375",10232,"Acanthocephala"
"303","BBHMA445-12",NA,10232,"Acanthocephala"
"304","BBHMA636-12",NA,10232,"Acanthocephala"
"305","BBHMA675-12",NA,10232,"Acanthocephala"
"306","BBHMA744-12",NA,10232,"Acanthocephala"
"307","BBHMA865-12",NA,10232,"Acanthocephala"
"308","BBHMA866-12",NA,10232,"Acanthocephala"
"309","BBHMA867-12",NA,10232,"Acanthocephala"
"310","BBHMA868-12",NA,10232,"Acanthocephala"
"311","BBHMA869-12",NA,10232,"Acanthocephala"
"312","BBPS042-19",NA,6217,"Nemertea"
"313","BBPS410-19",NA,6217,"Nemertea"
"314","BBPS411-19",NA,6217,"Nemertea"
"315","BBPS588-19",NA,6217,"Nemertea"
"316","BBPS636-19",NA,6217,"Nemertea"
"317","BBPS747-19",NA,6217,"Nemertea"
"318","BBPS807-19",NA,6217,"Nemertea"
"319","BBPS808-19",NA,6217,"Nemertea"
"320","BBPS809-19",NA,6217,"Nemertea"
"321","BCIAR1097-19","MN620628",NA,NA
"322","BCIAR1137-19","MN621060",NA,NA
"323","BCIBT2010-19","MN620536",NA,NA
"324","BCIBT2014-19","MN620558",NA,NA
"325","BCICL009-19","MT357569",NA,NA
"326","BCICL011-19","MT357843",NA,NA
"327","BCICL051-19","MT357709",NA,NA
"328","BCICL065-19","MT357791",NA,NA
"329","BCICL066-19","MT357679",NA,NA
"330","BCICL083-19","MT357637",NA,NA
"331","BCICL099-19","MT357608",NA,NA
"332","BCICL101-19","MT357589",NA,NA
"333","BCICL102-19","MT357781",NA,NA
"334","BCICL103-19","MT357725",NA,NA
"335","BCICL135-19","MT357704",NA,NA
"336","BCICL136-19","MT357743",NA,NA
"337","BCICL139-19","MT357745",NA,NA
"338","BCICL154-19","MT357588",NA,NA
"339","BCICL158-19","MT357668",NA,NA
"340","BCIDY027-19","MN620659",NA,NA
"341","BCIDY028-19","MN620578",NA,NA
"342","BCIDY029-19","MN620679",NA,NA
"343","BCIDY030-19","MN620509",NA,NA
"344","BCIDY058-19","MN620972",NA,NA
"345","BCIDY060-19","MN620677",NA,NA
"346","BCIDY235-19","MN620658",NA,NA
"347","BCIDY236-19","MN620664",NA,NA
"348","BCIIS099-19","MN620978",NA,NA
