"","species_verbatim","query","domain","kingdom","phylum","class","subclass","order","family","genus","species","ottid_species","rank"
"271","Percina raneyi","Percina raneyi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Percidae","Percina","Percina raneyi",1009543,NA
"272","Percina rex x Percina nevisense","Percina rex x Percina nevisense","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Percidae","Percina","Percina rex x Percina nevisense",4948978,NA
"273","Periophthalmus cantonensis","Periophthalmus cantonensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Gobiidae","Periophthalmus","Periophthalmus cantonensis",500500,NA
"274","Pethia melanomaculatus","Pethia melanomaculatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Pethia","Pethia melanomaculatus",739300,NA
"275","Petroschmidtia albonotatus","Petroschmidtia albonotatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Zoarcidae","Petroschmidtia","Petroschmidtia albonotatus",66124,NA
"276","Phoxinus lumaireul","Phoxinus lumaireul","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Phoxinus","Phoxinus lumaireul",1031056,NA
"277",NA,"Planilisa melinopterus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Mugilidae","Planiliza","Planilisa melinopterus",712560,NA
"278","Planiliza parmata","Planiliza parmata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Mugilidae","Planiliza","Planiliza parmata",592270,NA
"279","Platichthys stellatus x Parophrys vetulus","Platichthys stellatus x Parophrys vetulus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Pleuronectidae",NA,"Platichthys stellatus x Parophrys vetulus",5924495,NA
"280","Plectropomus leopardus x Plectropomus maculatus","Plectropomus leopardus x Plectropomus maculatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Serranidae","Plectropomus","Plectropomus leopardus x Plectropomus maculatus",4949044,NA
"281","Poecilia nelsoni","Poecilia nelsoni","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Poeciliidae","Poecilia","Poecilia nelsoni",5924824,NA
"282","Poeciliopsis monacha x Poeciliopsis occidentalis","Poeciliopsis monacha x Poeciliopsis occidentalis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Poeciliidae","Poeciliopsis","Poeciliopsis monacha x Poeciliopsis occidentalis",4948761,NA
