"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"1366","Centropyge loricula",2396547,"Centropyge loricula (Günther, 1874)","species","SYNONYM","EXACT","Centropyge loricula",98,"Animalia","Chordata","Perciformes","Pomacanthidae","Centropyge","Centropyge loriculus",1,44,204,587,4498,2396480,2396548,TRUE,"Actinopterygii",2396548,NA
"1367","Centropyge loricula",2396548,"Centropyge loriculus (Günther, 1874)","species","ACCEPTED","FUZZY","Centropyge loriculus",94,"Animalia","Chordata","Perciformes","Pomacanthidae","Centropyge","Centropyge loriculus",1,44,204,587,4498,2396480,2396548,FALSE,"Actinopterygii",NA,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=1"
"1394","Foetorepus altivelis",2386576,"Foetorepus altivelis (Temminck & Schlegel, 1845)","species","SYNONYM","EXACT","Foetorepus altivelis",98,"Animalia","Chordata","Perciformes","Callionymidae","Synchiropus","Synchiropus altivelis",1,44,204,587,8511,2386631,7887809,TRUE,"Actinopterygii",7887809,NA
"1395","Foetorepus altivelis",2386683,"Foetorepus altivelus (Temminck & Schlegel, 1845)","species","SYNONYM","FUZZY","Foetorepus altivelus",90,"Animalia","Chordata","Perciformes","Callionymidae","Synchiropus","Synchiropus altivelis",1,44,204,587,8511,2386631,7887809,TRUE,"Actinopterygii",7887809,"Similarity: name=90; authorship=0; classification=-2; rank=5; status=0"
"1406","Macropodus chinensis",5211153,"Macropodus chinensis (Bloch, 1790)","species","SYNONYM","EXACT","Macropodus chinensis",98,"Animalia","Chordata","Perciformes","Osphronemidae","Macropodus","Macropodus opercularis",1,44,204,587,8553,2393959,5211160,TRUE,"Actinopterygii",5211160,NA
"1502","Xenocypris argentea",5205541,"Xenocypris argentea Günther, 1868","species","SYNONYM","EXACT","Xenocypris argentea",97,"Animalia","Chordata","Cypriniformes","Cyprinidae","Xenocypris","Xenocypris macrolepis",1,44,204,1153,7336,2359323,5205548,TRUE,"Actinopterygii",5205548,NA
"1503","Xenocypris argentea",10910334,"Xenocypris argentea (Basilewsky, 1855)","species","SYNONYM","EXACT","Xenocypris argentea",97,"Animalia","Chordata","Cypriniformes","Cyprinidae","Xenocypris","Xenocypris macrolepis",1,44,204,1153,7336,2359323,5205548,TRUE,"Actinopterygii",5205548,"Similarity: name=110; authorship=0; classification=-2; rank=5; status=0"
"1593","Nelusetta ayraudi",2407018,"Nelusetta ayraudi (Quoy & Gaimard, 1824)","species","SYNONYM","EXACT","Nelusetta ayraudi",98,"Animalia","Chordata","Tetraodontiformes","Monacanthidae","Nelusetta","Nelusetta ayraud",1,44,204,772,5896,2407010,2407011,TRUE,"Actinopterygii",2407011,NA
"1594","Nelusetta ayraudi",2407011,"Nelusetta ayraud (Quoy & Gaimard, 1824)","species","ACCEPTED","FUZZY","Nelusetta ayraud",92,"Animalia","Chordata","Tetraodontiformes","Monacanthidae","Nelusetta","Nelusetta ayraud",1,44,204,772,5896,2407010,2407011,FALSE,"Actinopterygii",NA,"Similarity: name=95; authorship=0; classification=-2; rank=5; status=1"
"1649","Ptychochromoides katria",2373882,"Ptychochromoides katria Reinthal & Stiassny, 1997","species","SYNONYM","EXACT","Ptychochromoides katria",98,"Animalia","Chordata","Perciformes","Cichlidae","Katria","Katria katria",1,44,204,587,8522,2373880,2373881,TRUE,"Actinopterygii",2373881,NA
"1667","Chelonodontops patoca",9490270,"Chelonodontops patoca (Hamilton, 1822)","species","DOUBTFUL","EXACT","Chelonodontops patoca",97,"Animalia","Chordata","Tetraodontiformes","Tetraodontidae","Chelonodon","Chelonodontops patoca",1,44,204,772,2219,2407310,9490270,FALSE,"Actinopterygii",NA,NA
"1783","Salmostoma bacalia",2362583,"Salmostoma bacaila (Hamilton, 1822)","species","ACCEPTED","FUZZY","Salmostoma bacaila",94,"Animalia","Chordata","Cypriniformes","Cyprinidae","Salmostoma","Salmostoma bacaila",1,44,204,1153,7336,9432224,2362583,FALSE,"Actinopterygii",NA,NA
