"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"3613","Neolobocriconema serratum",11104285,"Neolobocriconema serratum (Khan & Siddiqi, 1963) Mehta & Raski, 1971","species","SYNONYM","EXACT","Neolobocriconema serratum",98,"Animalia","Nematoda","Tylenchida","Criconematidae","Ogma","Ogma serratus",1,5967481,250,972,2552,2284074,7022390,TRUE,"Secernentea",NA,7022390
"3635","Anteropora comicus",8674766,"Anteropora comica (Jensen, Nikolov & Caira, 2011) Jensen, Caira & Cie","species","ACCEPTED","FUZZY","Anteropora comica",96,"Animalia","Platyhelminthes","Lecanicephalidea","Polypocephalidae","Anteropora","Anteropora comica",1,108,144,7839383,4857964,4857858,8674766,FALSE,"Cestoda",NA,NA
"3647","Renicola sternae",5431622,"Renicola Cohn, 1904","genus","ACCEPTED","HIGHERRANK","Renicola",94,"Animalia","Platyhelminthes","Plagiorchiida","Renicolidae","Renicola",NA,1,108,345,434,3186,5431622,NA,FALSE,"Trematoda",NA,NA
"3649","Renicola lari",5741136,"Renicola lari Timon-David, 1933","species","SYNONYM","EXACT","Renicola lari",98,"Animalia","Platyhelminthes","Plagiorchiida","Renicolidae","Nephromonorcha","Nephromonorcha lari",1,108,345,434,3186,4345852,8660922,TRUE,"Trematoda",NA,8660922
"3660","Ophiocoma dentata",2275441,"Ophiocoma dentata Müller & Troschel, 1842","species","SYNONYM","EXACT","Ophiocoma dentata",97,"Animalia","Echinodermata","Ophiacanthida","Ophiocomidae","Breviturma","Breviturma dentata",1,50,350,9659424,3220,9244055,9757091,TRUE,"Ophiuroidea",NA,9757091
"3661","Ophiocoma dentata",11084161,"Ophiocoma dentata Müller & Troschel, 1842","species","SYNONYM","EXACT","Ophiocoma dentata",97,"Animalia","Echinodermata","Ophiacanthida","Ophiocomidae","Breviturma","Breviturma dentata",1,50,350,9659424,3220,9244055,9757091,TRUE,"Ophiuroidea","Similarity: name=110; authorship=0; classification=-2; rank=5; status=0",9757091
"3663","Ophiocoma pica",2275452,"Ophiocoma pica Müller & Troschel, 1842","species","SYNONYM","EXACT","Ophiocoma pica",98,"Animalia","Echinodermata","Ophiacanthida","Ophiocomidae","Breviturma","Breviturma pica",1,50,350,9659424,3220,9244055,10108948,TRUE,"Ophiuroidea",NA,10108948
"3664","Ophiocoma pica",2275485,"Ophiocoma picta Müller & Troschel, 1842","species","SYNONYM","FUZZY","Ophiocoma picta",92,"Animalia","Echinodermata","Ophiacanthida","Ophiocomidae","Ophiomastix","Ophiomastix pictum",1,50,350,9659424,3220,2275480,10433308,TRUE,"Ophiuroidea","Similarity: name=95; authorship=0; classification=-2; rank=5; status=0",10433308
"3679","Microplana monacensis",4416147,"Microplana monacensis (Heinzel, 1929)","species","SYNONYM","EXACT","Microplana monacensis",98,"Animalia","Platyhelminthes","Tricladida","Geoplanidae","Microplana","Microplana scharffi",1,108,NA,427,6364,4416133,4416158,TRUE,NA,NA,4416158
"3731","Ichtyobronema hamulatum",4346597,"Ichthyobronema hamulatum (Moulton, 1931) Moravec, 1994","species","ACCEPTED","FUZZY","Ichthyobronema hamulatum",84,"Animalia","Nematoda","Rhabditida","Quimperiidae","Ichthyobronema","Ichthyobronema hamulatum",1,5967481,250,440,3249058,4346596,4346597,FALSE,"Secernentea",NA,NA
