found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Pholoe minuta,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe,130603,204055,5196030,398716,Pholoe minuta,accepted,NA,FALSE,NA,"(Fabricius, 1780)",Pholoe minuta,Pholoe minuta,Pholoe minuta,"Pholoe minuta (Fabricius, 1780)",0,0
Thysanocardia nigra,species,Annelida,NA,Sipuncula,Golfingiidae,Thysanocardia,266470,216490,2509932,917792,Thysanocardia nigra,accepted,NA,FALSE,NA,"(Ikeda, 1904)",Thysanocardia nigra,Thysanocardia nigra,Thysanocardia nigra,"Thysanocardia nigra (Ikeda, 1904)",0,0
Nephasoma,genus,Annelida,NA,Sipuncula,Golfingiidae,Nephasoma,136022,79164,2509611,499357,Nephasoma,accepted,NA,FALSE,NA,"Pergament, 1940",Nephasoma,Nephasoma,Nephasoma,"Nephasoma Pergament, 1940",0,0
Aricidea (Strelzovia) ramosa,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,886757,955712,2318504,4978138,Aricidea ramosa,alternate representation,subgenus placement,FALSE,sibling_higher,"Annenkova, 1934",Aricidea (Strelzovia) ramosa,Aricidea ramosa,Aricidea ramosa,"Aricidea ramosa Annenkova, 1934",0,0
Acromegalomma splendidum,species,Annelida,Polychaeta,Sabellida,Sabellidae,Megalomma,994124,205824,5200346,781947,Megalomma splendida,unaccepted,"superseded recombination, genus is a replaced homonym, gender misspelling",FALSE,NA,"(Moore, 1905)",Acromegalomma splendidum,Megalomma splendida,Megalomma splendida,"Megalomma splendida (Moore, 1905)",0,0
Nephasoma (Nephasoma) diaphanes diaphanes,species,Annelida,NA,Sipuncula,Golfingiidae,Nephasoma,410734,106567,2509675,564236,Nephasoma diaphanes,alternate representation,NA,FALSE,sibling_higher,"(Gerould, 1913)",Nephasoma (Nephasoma) diaphanes diaphanes,Nephasoma diaphanes,Nephasoma diaphanes,"Nephasoma diaphanes (Gerould, 1913)",0,0
Aricidea (Acmira) catherinae,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,333034,370432,2318541,4978130,Aricidea catherinae,alternate representation,subgenus usage,FALSE,sibling_higher,"Laubier, 1967",Aricidea (Acmira) catherinae,Aricidea catherinae,Aricidea catherinae,"Aricidea catherinae Laubier, 1967",0,0
Scoloplos,genus,Annelida,Polychaeta,NA,Orbiniidae,Scolaricia,129425,572414,2319986,4977298,Scolaricia,unaccepted,subjective synonym,FALSE,sibling_higher,"Blainville, 1828",Scoloplos,Scolaricia,Scolaricia,"Scolaricia Eisig, 1914",0,0
Aricidea (Acmira) laubieri,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,326587,660264,2318540,4978129,Aricidea laubieri,alternate representation,NA,FALSE,sibling_higher,"Hartley, 1981",Aricidea (Acmira) laubieri,Aricidea laubieri,Aricidea laubieri,"Aricidea laubieri Hartley, 1981",0,0
Aricidea (Aricidea) wassi,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,326605,660285,2318534,186258,Aricidea wassi,alternate representation,NA,FALSE,sibling_higher,"Pettibone, 1965",Aricidea (Aricidea) wassi,Aricidea wassi,Aricidea wassi,"Aricidea wassi Pettibone, 1965",0,0
Syllis,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,129680,205764,8092654,839640,Typosyllis,unaccepted,subjective synonym,FALSE,sibling_higher,"Lamarck, 1818",Syllis,Typosyllis,Typosyllis,"Typosyllis Langerhans, 1879",0,0
Exogone (Parexogone) molesta,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,333450,205785,8144191,442052,Exogone molesta,alternate representation,superseded original combination,FALSE,sibling_higher,"(Banse, 1972)",Exogone (Parexogone) molesta,Exogone molesta,Exogone molesta,"Exogone molesta (Banse, 1972)",0,0
Scolelepis (Scolelepis) squamata,species,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,157566,32475,2321131,58637,Scolelepis squamata,alternate representation,NA,FALSE,sibling_higher,"(O.F. Muller, 1806)",Scolelepis (Scolelepis) squamata,Scolelepis squamata,Scolelepis squamata,"Scolelepis squamata (O.F.Muller, 1806)",0,0
Hermadion truncata,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hermadion,333595,808500,2313979,4984870,Hermadion truncata,nomen dubium,not valid fide regional checklist,FALSE,NA,"(Czerniavsky, 1882)",Hermadion truncata,Hermadion truncata,Hermadion truncata,"Hermadion truncata (Moore, 1902)",0,0
Hermadion truncata,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hermadion,333595,808500,2313979,4984870,Hermadion truncata,nomen dubium,not valid fide regional checklist,FALSE,NA,"(Czerniavsky, 1882)",Hermadion truncata,Hermadion truncata,Hermadion truncata,"Hermadion truncata (Moore, 1902)",0,0
Hermadionella truncata,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hermadion,130786,808500,2313979,4984870,Hermadion truncata,unaccepted,superseded subsequent combination,FALSE,NA,"(Moore, 1902)",Hermadionella truncata,Hermadion truncata,Hermadion truncata,"Hermadion truncata (Moore, 1902)",0,0
Hermadionella truncata,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hermadion,130786,808500,2313979,4984870,Hermadion truncata,unaccepted,superseded subsequent combination,FALSE,NA,"(Moore, 1902)",Hermadionella truncata,Hermadion truncata,Hermadion truncata,"Hermadion truncata (Moore, 1902)",0,0
Amphitrite cirrata,species,Annelida,Polychaeta,Terebellida,Terebellidae,Amphitrite,131474,385935,5198873,214044,Amphitrite cirrata,accepted,NA,FALSE,NA,"Müller, 1776",Amphitrite cirrata,Amphitrite cirrata,Amphitrite cirrata,"Amphitrite cirrata Müller, 1776",0,0
Myrianida,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Autolytus,129659,205858,8226989,27242,Autolytus,unaccepted,subjective synonym,FALSE,sibling_higher,"Milne Edwards, 1845",Myrianida,Autolytus,Autolytus,"Autolytus Grube, 1850",0,0
Eukerria,genus,Annelida,Clitellata,Crassiclitellata,Ocnerodrilidae,Eukerria,1040121,183701,3267570,1013000,Eukerria,accepted,NA,FALSE,NA,"Michaelsen, 1935",Eukerria,Eukerria,Eukerria,"Eukerria Michaelsen, 1935",1,0
Pholoe baltica,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe,130599,256929,5196025,538435,Pholoe baltica,accepted,NA,FALSE,NA,"Örsted, 1843",Pholoe baltica,Pholoe baltica,Pholoe baltica,"Pholoe baltica Örsted, 1843",0,0
Aricidea (Aricidea) minuta,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,730747,122727,2318596,4978122,Aricidea minuta,alternate representation,NA,FALSE,sibling_higher,"Southward, 1956",Aricidea (Aricidea) minuta,Aricidea minuta,Aricidea minuta,"Aricidea minuta Southward, 1956",0,0
Pholoinae,family,Annelida,Polychaeta,Phyllodocida,Pholoidae,NA,941,125413,7076,398718,Pholoidae,unaccepted,subjective rank downgrade to subfamily in Sigalionidae,FALSE,sibling_higher,"Kinberg, 1858",Pholoinae,Pholoidae,Pholoidae,Pholoidae,0,0
Phascolosoma (Phascolosoma) agassizii,species,Annelida,NA,Sipuncula,Phascolosomatidae,Phascolosoma,266496,106563,2510114,167071,Phascolosoma agassizii,alternate representation,NA,FALSE,sibling_higher,"Keferstein, 1866",Phascolosoma (Phascolosoma) agassizii,Phascolosoma agassizii,Phascolosoma agassizii,"Phascolosoma agassizii Keferstein, 1866",0,0
Axionice flexuosa,species,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,131483,NA,2324598,1040988,Pista flexuosa,unaccepted,NA,FALSE,sibling_higher,"(Grube, 1860)",Axionice flexuosa,Pista flexuosa,NA,"Pista flexuosa (Grube, 1860)",0,0
Saphobranchia longisetosa,species,Annelida,Polychaeta,Terebellida,Flabelligeridae,Diplocirrus,1468915,256921,2325546,1040976,Diplocirrus longisetosus,unaccepted,superseded subsequent combination,FALSE,NA,"(Marenzeller, 1890)",Saphobranchia longisetosa,Diplocirrus longisetosus,Diplocirrus longisetosus,"Diplocirrus longisetosus (Marenzeller, 1890)",0,0
Uncinais uncinata,species,Annelida,Clitellata,Tubificida,Naididae,Uncinais,137487,733922,2308179,563209,Uncinais uncinata,accepted,NA,FALSE,NA,"(Ørsted, 1842)",Uncinais uncinata,Uncinais uncinata,Uncinais uncinata,"Uncinais uncinata (Ørsted, 1842)",1,0
Paucibranchia disjuncta,species,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,1305581,300497,2322213,1020325,Marphysa disjuncta,unaccepted,superseded original combination,FALSE,sibling_higher,"(Hartman, 1961)",Paucibranchia disjuncta,Marphysa disjuncta,Marphysa disjuncta,"Marphysa disjuncta Hartman, 1961",0,0
Melinna,genus,Annelida,Polychaeta,Terebellida,Melinnidae,Melinna,129168,299360,2326011,585618,Melinna,accepted,NA,FALSE,sibling_higher,"Malmgren, 1866",Melinna,Melinna,Melinna,"Melinna Malmgren, 1866",0,0
Aricidea (Acmira) simplex,species,Annelida,Polychaeta,NA,Paraonidae,Aricidea,333037,370433,2318574,4978069,Aricidea simplex,alternate representation,NA,FALSE,sibling_higher,"Day, 1963",Aricidea (Acmira) simplex,Aricidea simplex,Aricidea simplex,"Aricidea simplex Day, 1963",0,0
Themiste,genus,Annelida,NA,Sipuncula,Golfingiidae,Themiste,264942,81960,2509528,377816,Themiste,accepted,NA,FALSE,NA,"Gray, 1828",Themiste,Themiste,Themiste,"Themiste Gray, 1828",0,0
Phascolosomatidae,family,Annelida,NA,Sipuncula,Phascolosomatidae,NA,1645,79158,7338,247687,Phascolosomatidae,accepted,NA,FALSE,sibling_higher,"Stephen & Edmonds, 1972",Phascolosomatidae,Phascolosomatidae,Phascolosomatidae,Phascolosomatidae,0,0
