query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Embolocephalus velutinus,1037352,Embolocephalus velutinus,"(Grube, 1879)",accepted,NA,Species,1037352,Embolocephalus velutinus,"(Grube, 1879)",1037351,Animalia,Annelida,Clitellata,Tubificida,Naididae,Embolocephalus,0,0,1,0,0,exact,1,0
Tasserkidrilus kessleri,593103,Tasserkidrilus kessleri,"(Hrabe, 1962)",accepted,NA,Species,593103,Tasserkidrilus kessleri,"(Hrabe, 1962)",475538,Animalia,Annelida,Clitellata,Tubificida,Naididae,Tasserkidrilus,0,0,1,0,NA,exact,1,0
Pristina jenkinae,1467770,Pristina jenkinae,"(Stephenson, 1931)",alternate representation,NA,Species,1041012,Pristina (Pristinella) jenkinae,"(Stephenson, 1931)",475503,Animalia,Annelida,Clitellata,Tubificida,Naididae,Pristina,NA,NA,1,NA,0,exact,1,NA
Nais pseudobtusa,465707,Nais pseudobtusa,"Piguet, 1906",accepted,NA,Species,465707,Nais pseudobtusa,"Piguet, 1906",137357,Animalia,Annelida,Clitellata,Tubificida,Naididae,Nais,0,0,1,0,NA,exact,1,0
Aporrectodea terrestris,1044140,Aporrectodea terrestris,[misspelling for terrestre],unaccepted,"recombination by Tétry of an invalid recombination by Savigny, with Tétry misspelling Enterion terrestre sensu Savigny, 1822, in itself a misspelling based on Lumbricus terrestris",Species,1069627,Lumbricus terrestris,"Linnaeus, 1758",994659,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,0,0,0,1,NA,exact,0,1
Fridericia szoevenyii,1348701,Fridericia szoevenyii,"Dózsa-Farkas & Felföldi, 2017",accepted,NA,Species,1348701,Fridericia szoevenyii,"Dózsa-Farkas & Felföldi, 2017",137348,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA,NA,NA,1,NA,exact,NA,1
Fridericia raxiensis,1348704,Fridericia raxiensis,"Dózsa-Farkas & Felföldi, 2018",accepted,NA,Species,1348704,Fridericia raxiensis,"Dózsa-Farkas & Felföldi, 2018",137348,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,0,0,0,1,0,exact,0,1
Amphitrite ornata,157166,Amphitrite ornata,"(Leidy, 1855)",accepted,NA,Species,157166,Amphitrite ornata,"(Leidy, 1855)",129686,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Amphitrite,1,0,0,0,0,exact,0,0
Terebellides williamsae,334910,Terebellides williamsae,"Jirkov, 1989",unaccepted,subjective synonym,Species,340092,Terebellides gracilis,"Malm, 1874",129717,Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,1,0,0,0,0,exact,0,0
Lampito mauritii,1072518,Lampito mauritii,"Kinberg, 1866",accepted,NA,Species,1072518,Lampito mauritii,"Kinberg, 1866",1062112,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Lampito,NA,NA,NA,1,0,exact,NA,1
Hesione pantherina,183196,Hesione pantherina,"Risso, 1826",unaccepted,subjective synonym,Species,130158,Hesione splendida,"Lamarck, 1818",129308,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesione,1,0,0,0,0,exact,0,0
Enchytronia baloghi,1068707,Enchytronia baloghi,"Dózsa-Farkas, 1988",accepted,NA,Species,1068707,Enchytronia baloghi,"Dózsa-Farkas, 1988",1062020,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytronia,NA,NA,NA,1,NA,exact,NA,1
Enchytronia christenseni,1068700,Enchytronia christenseni,"Dózsa-Farkas, 1970",accepted,NA,Species,1068700,Enchytronia christenseni,"Dózsa-Farkas, 1970",1062020,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytronia,NA,NA,NA,1,NA,exact,NA,1
Hemienchytraeus koreanus,1068722,Hemienchytraeus koreanus,"Dózsa-Farkas & Y. Hong, 2010",accepted,NA,Species,1068722,Hemienchytraeus koreanus,"Dózsa-Farkas & Y. Hong, 2010",1040037,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Hemienchytraeus,0,0,0,1,NA,exact,0,1
Hemienchytraeus quadratus,1068724,Hemienchytraeus quadratus,"Dózsa-Farkas & Y. Hong, 2010",accepted,NA,Species,1068724,Hemienchytraeus quadratus,"Dózsa-Farkas & Y. Hong, 2010",1040037,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Hemienchytraeus,0,0,0,1,NA,exact,0,1
Xetadrilus aphanus,1346605,Xetadrilus aphanus,"Schmelz, Collado & Römbke, 2011",accepted,NA,Species,1346605,Xetadrilus aphanus,"Schmelz, Collado & Römbke, 2011",1040039,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Xetadrilus,NA,NA,NA,1,NA,exact,NA,1
Polygordius neapolitanus,130715,Polygordius neapolitanus,"Fraipont, 1887",accepted,NA,Species,130715,Polygordius neapolitanus,"Fraipont, 1887",129472,Animalia,Annelida,Polychaeta,NA,Polygordiidae,Polygordius,1,0,0,0,0,exact,0,0
Fridericia semisetosa,1068699,Fridericia semisetosa,"Dózsa-Farkas, 1970",accepted,NA,Species,1068699,Fridericia semisetosa,"Dózsa-Farkas, 1970",137348,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA,NA,NA,1,NA,exact,NA,1
Pontoscolex spiralis,1068141,Pontoscolex spiralis,"Borges & Moreno, 1990",unassessed,NA,Species,1068141,Pontoscolex spiralis,"Borges & Moreno, 1990",994666,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,0,0,0,1,NA,exact,0,1
