found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Hemicycla plicaria,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Hemicycla,1050315,651431,4564101,431304,Hemicycla plicaria,accepted,NA,FALSE,NA,"(Lamarck, 1816)",Hemicycla plicaria,Hemicycla plicaria,Hemicycla plicaria,"Hemicycla plicaria (Lamarck, 1816)",0,1
Hemicycla pouchadan,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Hemicycla,1050316,651432,8788224,431306,Hemicycla pouchadan,accepted,NA,FALSE,NA,"Ibáñez & M. R. Alonso, 2007",Hemicycla pouchadan,Hemicycla pouchadan,Hemicycla pouchadan,"Hemicycla pouchadan Ibáñez & M.R.Alonso, 2007",0,1
Hemicycla quadricincta,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Hemicycla,1050317,748937,4564198,957142,Hemicycla quadricincta,accepted,NA,FALSE,NA,"(Morelet, 1864)",Hemicycla quadricincta,Hemicycla quadricincta,Hemicycla quadricincta,"Hemicycla quadricincta (Morelet, 1864)",0,1
Hemicycla saponacea,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Hemicycla,1050330,651434,4564162,957140,Hemicycla saponacea,accepted,NA,FALSE,NA,"(R. T. Lowe, 1861)",Hemicycla saponacea,Hemicycla saponacea,Hemicycla saponacea,"Hemicycla saponacea (R.T.Lowe, 1861)",0,1
Hemicycla,genus,Mollusca,Gastropoda,Stylommatophora,Helicidae,Hemicycla,996423,507608,4564072,359379,Hemicycla,accepted,NA,FALSE,sibling_higher,"Swainson, 1840",Hemicycla,Hemicycla,Hemicycla,"Hemicycla Swainson, 1840",0,1
Theba,genus,Mollusca,Gastropoda,Stylommatophora,Helicidae,Theba,426410,462152,2294276,569710,Theba,accepted,NA,FALSE,NA,"Risso, 1826",Theba,Theba,Theba,"Theba Risso, 1826",0,1
Theba sacchii,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Theba,1515274,654421,9043374,935028,Theba sacchii,accepted,NA,FALSE,NA,"E. Gittenberger & Ripken, 1987",Theba sacchii,Theba sacchii,Theba sacchii,"Theba sacchii E.Gittenberger & Ripken, 1987",0,1
Theba solimae,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Theba,1515272,654422,10293192,935016,Theba solimae,accepted,NA,FALSE,NA,"(Sacchi, 1955)",Theba solimae,Theba solimae,Theba solimae,"Theba solimae (Sacchi, 1955)",0,1
Stagnicola montenegrinus,species,Mollusca,Gastropoda,NA,Lymnaeidae,Stagnicola,731745,683772,5778349,587288,Stagnicola montenegrinus,accepted,NA,FALSE,NA,"Glöer & Pešič, 2009",Stagnicola montenegrinus,Stagnicola montenegrinus,Stagnicola montenegrinus,"Stagnicola montenegrinus Glöer & Pešič, 2009",1,0
Stagnicola fuscus,species,Mollusca,Gastropoda,NA,Lymnaeidae,Stagnicola,1001484,312059,5778352,288991,Stagnicola fuscus,accepted,NA,FALSE,NA,"(C. Pfeiffer, 1821)",Stagnicola fuscus,Stagnicola fuscus,Stagnicola fuscus,"Stagnicola fuscus (C.Pfeiffer, 1821)",1,0
Stagnicola corvus,species,Mollusca,Gastropoda,NA,Lymnaeidae,Stagnicola,821897,312071,5778355,570572,Stagnicola corvus,accepted,NA,FALSE,NA,"(Gmelin, 1791)",Stagnicola corvus,Stagnicola corvus,Stagnicola corvus,"Stagnicola corvus (Gmelin, 1791)",1,0
Galba cousini,species,Mollusca,Gastropoda,NA,Lymnaeidae,Galba,848615,666812,8076875,852994,Galba cousini,accepted,NA,FALSE,NA,"(Jousseaume, 1887)",Galba cousini,Galba cousini,Galba cousini,"Galba cousini (Jousseaume, 1887)",1,0
Lymnaea taurica,species,Mollusca,Gastropoda,NA,Lymnaeidae,Lymnaea,1003119,652084,9425089,5735019,Lymnaea taurica,accepted,NA,FALSE,NA,"(Clessin, 1880)",Lymnaea taurica,Lymnaea taurica,Lymnaea taurica,"Lymnaea taurica (Clessin, 1880)",1,0
Bythinella opaca,species,Mollusca,Gastropoda,Littorinimorpha,Bythinellidae,Bythinella,737786,667189,4560976,503232,Bythinella opaca,accepted,NA,FALSE,NA,"(M. von Gallenstein, 1848)",Bythinella opaca,Bythinella opaca,Bythinella opaca,"Bythinella opaca (M.von Gallenstein, 1848)",1,0
Naesiotus nux,species,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,Naesiotus,1347803,751483,8751179,5973674,Naesiotus nux,accepted,NA,FALSE,NA,"(Broderip, 1832)",Naesiotus nux,Naesiotus nux,Naesiotus nux,"Naesiotus nux (Broderip, 1832)",0,1
Conus scalaris,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,429574,750265,5193149,2903405,Conus anabathrum,junior subjective synonym,NA,FALSE,sibling_higher,"Valenciennes, 1832",Conus scalaris,Conus anabathrum,Conus anabathrum,"Conus anabathrum Crosse, 1865",0,0
Conus scalarissimus,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,429887,NA,5193150,2903247,Conus gradatus,unaccepted,"invalid: junior homonym of <i>Conus gradatus</i> W. Wood, 1828; <i>C. scalarissimus</i> is a replacement name",FALSE,sibling_higher,"da Motta, 1988",Conus scalarissimus,Conus gradatus,NA,"Conus gradatus W.Wood, 1828",0,0
Conus scalarissimus,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,429887,NA,5193150,2903247,Conus gradatus,unaccepted,"invalid: junior homonym of <i>Conus gradatus</i> W. Wood, 1828; <i>C. scalarissimus</i> is a replacement name",FALSE,sibling_higher,"da Motta, 1988",Conus scalarissimus,Conus gradatus,NA,"Conus gradatus W.Wood, 1828",0,0
