found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Stoliczia chaseni,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Stoliczia,443378,104752,5790494,357187,Stoliczia chaseni,accepted,NA,FALSE,NA,"(J. Roux, 1935)",Stoliczia chaseni,Stoliczia chaseni,Stoliczia chaseni,"Stoliczia chaseni (J.Roux, 1935)",1,0
Terrapotamon abbotti,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Terrapotamon,443403,104750,5790071,357189,Terrapotamon abbotti,accepted,NA,FALSE,NA,"(Rathbun, 1898)",Terrapotamon abbotti,Terrapotamon abbotti,Terrapotamon abbotti,"Terrapotamon abbotti (Rathbun, 1898)",1,0
Ryukyum yaeyamense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Ryukyum,443289,104744,5790076,99454,Ryukyum yaeyamense,accepted,NA,FALSE,NA,"(Minei, 1973)",Ryukyum yaeyamense,Ryukyum yaeyamense,Ryukyum yaeyamense,"Ryukyum yaeyamense (Minei, 1973)",1,0
Himalayapotamon atkinsonianum,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Himalayapotamon,442932,104742,5790024,99462,Himalayapotamon atkinsonianum,accepted,NA,FALSE,NA,"(Wood-Mason, 1871)",Himalayapotamon atkinsonianum,Himalayapotamon atkinsonianum,Himalayapotamon atkinsonianum,"Himalayapotamon atkinsonianum (Wood-Mason, 1871)",1,0
Nanhaipotamon formosanum,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443221,666467,5790184,199884,Nanhaipotamon formosanum,accepted,NA,FALSE,NA,"(Parisi, 1916)",Nanhaipotamon formosanum,Nanhaipotamon formosanum,Nanhaipotamon formosanum,"Nanhaipotamon formosanum (Parisi, 1916)",1,0
Nanhaipotamon dongyinense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443220,666468,5790176,434982,Nanhaipotamon dongyinense,accepted,NA,FALSE,NA,"HT Shih, GX Chen & LM Wang, 2005",Nanhaipotamon dongyinense,Nanhaipotamon dongyinense,Nanhaipotamon dongyinense,"Nanhaipotamon dongyinense H.-T.Shih, G.-X.Chen & L.-M.Wang, 2005",1,0
Nanhaipotamon wenzhouense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443230,666469,5790173,799084,Nanhaipotamon wenzhouense,accepted,NA,FALSE,NA,"Dai, 1997",Nanhaipotamon wenzhouense,Nanhaipotamon wenzhouense,Nanhaipotamon wenzhouense,"Nanhaipotamon wenzhouense Dai, 1997",1,0
Nanhaipotamon nanriense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443227,666470,5790171,199882,Nanhaipotamon nanriense,accepted,NA,FALSE,NA,"Dai, 1997",Nanhaipotamon nanriense,Nanhaipotamon nanriense,Nanhaipotamon nanriense,"Nanhaipotamon nanriense Dai, 1997",1,0
Nanhaipotamon yongchuense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443232,666471,5790182,799086,Nanhaipotamon yongchuense,accepted,NA,FALSE,NA,"Dai, 1997",Nanhaipotamon yongchuense,Nanhaipotamon yongchuense,Nanhaipotamon yongchuense,"Nanhaipotamon yongchuense Dai, 1997",1,0
Nanhaipotamon,genus,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,439729,103924,4645134,199886,Nanhaipotamon,accepted,NA,FALSE,NA,"Bott, 1968",Nanhaipotamon,Nanhaipotamon,Nanhaipotamon,"Nanhaipotamon Bott, 1968",1,NA
Nanhaipotamon wupingense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443231,666472,5863562,389975,Nanhaipotamon wupingense,accepted,NA,FALSE,NA,"YZ Cheng, WC Yang, Zhong & L Li, 2003",Nanhaipotamon wupingense,Nanhaipotamon wupingense,Nanhaipotamon wupingense,"Nanhaipotamon wupingense Y.-Z.Cheng, W.-C.Yang, Zhong & L.Li, 2003",1,0
Nanhaipotamon huaanense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443226,666473,5790183,337976,Nanhaipotamon huaanense,accepted,NA,FALSE,NA,"Dai, 1997",Nanhaipotamon huaanense,Nanhaipotamon huaanense,Nanhaipotamon huaanense,"Nanhaipotamon huaanense Dai, 1997",1,0
Nanhaipotamon hongkongense,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Nanhaipotamon,443225,666474,5790177,85518,Nanhaipotamon hongkongense,accepted,NA,FALSE,NA,"(Shen, 1940)",Nanhaipotamon hongkongense,Nanhaipotamon hongkongense,Nanhaipotamon hongkongense,"Nanhaipotamon hongkongense (Shen, 1940)",1,0
Huananpotamon angulatum,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Huananpotamon,443105,666475,5790507,714125,Huananpotamon angulatum,accepted,NA,FALSE,NA,"(Dai & YG Lin in Dai, GX Chen, YZ Song, PF Fan, YG Lin & YQ Zeng, 1979)",Huananpotamon angulatum,Huananpotamon angulatum,Huananpotamon angulatum,"Huananpotamon angulatum (Dai & Y.G.Lin, 1979)",1,0
Crangonyx floridanus,species,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Crangonyx,431482,80864,2217983,670228,Crangonyx floridanus,accepted,NA,FALSE,NA,"Bousfield, 1963",Crangonyx floridanus,Crangonyx floridanus,Crangonyx floridanus,"Crangonyx floridanus Bousfield, 1963",1,0
Sperchon,genus,Arthropoda,Arachnida,Trombidiformes,Sperchontidae,Sperchon,593105,262505,8354214,729994,Sperchon,accepted,NA,FALSE,sibling_higher,"Kramer, 1877",Sperchon,Sperchon,Sperchon,"Sperchon Kramer, 1877",1,NA
Geothelphusa lili,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443068,651189,5790291,264642,Geothelphusa lili,accepted,NA,FALSE,NA,"WJ Chen, JH Cheng & Shy, 2005",Geothelphusa lili,Geothelphusa lili,Geothelphusa lili,"Geothelphusa lili W.-J.Chen, J.H.Cheng & Shy, 2005",1,0
Sayamia sexpunctata,species,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sayamia,440780,79144,5791114,511645,Sayamia sexpunctata,accepted,NA,FALSE,NA,"(Lanchester, 1906)",Sayamia sexpunctata,Sayamia sexpunctata,Sayamia sexpunctata,"Sayamia sexpunctata (Lanchester, 1906)",1,0
Geothelphusa minei,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443072,666548,5790288,953257,Geothelphusa minei,accepted,NA,FALSE,NA,"Shy & PKL Ng, 1998",Geothelphusa minei,Geothelphusa minei,Geothelphusa minei,"Geothelphusa minei Shy & P.K.L.Ng, 1998",1,0
Geothelphusa marginata,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443070,675461,5790275,139843,Geothelphusa marginata,accepted,NA,FALSE,NA,"Naruse, Shokita & Shy, 2004",Geothelphusa marginata,Geothelphusa marginata,Geothelphusa marginata,"Geothelphusa marginata Naruse, Shokita & Shy, 2004",1,0
Burmoniscus dasystylus,species,Arthropoda,Malacostraca,Isopoda,Philosciidae,Burmoniscus,259462,503211,2209693,926064,Burmoniscus dasystylus,accepted,NA,FALSE,NA,"Nunomura, 2003",Burmoniscus dasystylus,Burmoniscus dasystylus,Burmoniscus dasystylus,"Burmoniscus dasystylus Nunomura, 2003",0,1
Burmoniscus ocellatus,species,Arthropoda,Malacostraca,Isopoda,Philosciidae,Burmoniscus,259485,503212,2209771,926062,Burmoniscus ocellatus,accepted,NA,FALSE,NA,"(Verhoeff, 1928)",Burmoniscus ocellatus,Burmoniscus ocellatus,Burmoniscus ocellatus,"Burmoniscus ocellatus (Verhoeff, 1928)",0,1
Burmoniscus kathmandius,species,Arthropoda,Malacostraca,Isopoda,Philosciidae,Burmoniscus,259472,503213,2209758,926060,Burmoniscus okinawaensis,unaccepted,NA,FALSE,NA,"(Schmalfuss, 1983)",Burmoniscus kathmandius,Burmoniscus okinawaensis,Burmoniscus okinawaensis,"Burmoniscus okinawaensis (Nunomura, 1986)",0,1
