query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Pao cambodgiensis,1016621,Pao cambodgiensis,"(Chabanaud, 1923)",accepted,NA,Species,1016621,Pao cambodgiensis,"(Chabanaud, 1923)",826860,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pao,0,0,1,0,NA,exact,1,0
Tetraodon duboisi,1383574,Tetraodon duboisi,"Poll, 1959",accepted,NA,Species,1383574,Tetraodon duboisi,"Poll, 1959",154803,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon,0,0,1,0,NA,exact,1,0
Tetraodon erythrotaenia,275362,Tetraodon erythrotaenia,"Bleeker, 1853",unaccepted,NA,Species,1021678,Dichotomyctere erythrotaenia,"(Bleeker, 1853)",154803,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon,0,1,1,0,NA,exact,0,0
Tetraodon fluviatilis,275363,Tetraodon fluviatilis,"Hamilton, 1822",unaccepted,NA,Species,1013871,Dichotomyctere fluviatilis,"(Hamilton, 1822)",154803,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon,0,1,1,0,NA,exact,0,0
Monotrete leiurus,405592,Monotrete leiurus,"(Bleeker, 1850)",unaccepted,synonym,Species,1021802,Pao leiurus,"(Bleeker, 1850)",405191,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Monotrete,0,1,1,0,NA,exact,0,0
Tetraodon miurus,1018863,Tetraodon miurus,"Boulenger, 1902",accepted,NA,Species,1018863,Tetraodon miurus,"Boulenger, 1902",154803,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon,0,0,1,0,NA,exact,1,0
Tetraodon nigroviridis,275367,Tetraodon nigroviridis,"Marion de Procé, 1822",unaccepted,NA,Species,1021870,Dichotomyctere nigroviridis,"(Marion de Procé, 1822)",154803,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetraodon,0,1,1,0,NA,exact,0,0
Pao suvattii,1011979,Pao suvattii,"(Sontirat & Soonthornsatit, 1985)",accepted,NA,Species,1011979,Pao suvattii,"(Sontirat & Soonthornsatit, 1985)",826860,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Pao,0,0,1,0,NA,exact,1,0
Auriglobus silus,1012276,Auriglobus silus,"(Roberts, 1982)",accepted,NA,Species,1012276,Auriglobus silus,"(Roberts, 1982)",268460,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Auriglobus,0,0,1,0,NA,exact,1,0
Triplophysa bleekeri,1020384,Triplophysa bleekeri,"(Sauvage & Dabry de Thiersant, 1874)",accepted,NA,Species,1020384,Triplophysa bleekeri,"(Sauvage & Dabry de Thiersant, 1874)",271154,Animalia,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa,0,0,1,0,NA,exact,1,0
