query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Anguillicola novaezelandiae,990520,Anguillicola novaezelandiae,"Moravec & Tcharaschewsky, 1988",accepted,NA,Species,990520,Anguillicola novaezelandiae,"Moravec & Tcharaschewsky, 1988",22830,Animalia,Nematoda,Chromadorea,Rhabditida,Anguillicolidae,Anguillicola,1,NA,NA,NA,NA,exact,0,0
Anguillicola australiensis,990522,Anguillicola australiensis,"Johnston & Mawson, 1940",accepted,NA,Species,990522,Anguillicola australiensis,"Johnston & Mawson, 1940",22830,Animalia,Nematoda,Chromadorea,Rhabditida,Anguillicolidae,Anguillicola,NA,NA,1,NA,NA,exact,1,NA
Parapharyngodon echinatus,1589774,Parapharyngodon echinatus,"(Rudolphi, 1819)",accepted,NA,Species,1589774,Parapharyngodon echinatus,"(Rudolphi, 1819)",1507745,Animalia,Nematoda,Chromadorea,Rhabditida,Pharyngodonidae,Parapharyngodon,NA,NA,NA,1,NA,exact,NA,1
Spauligodon auziensis,1589266,Spauligodon auziensis,"Seurat, 1917",accepted,NA,Species,1589266,Spauligodon auziensis,"Seurat, 1917",1585284,Animalia,Nematoda,Chromadorea,Rhabditida,Pharyngodonidae,Spauligodon,NA,NA,NA,1,NA,exact,NA,1
Spauligodon saxicolae,1589292,Spauligodon saxicolae,"Sharpilo, 1961",accepted,NA,Species,1589292,Spauligodon saxicolae,"Sharpilo, 1961",1585284,Animalia,Nematoda,Chromadorea,Rhabditida,Pharyngodonidae,Spauligodon,NA,NA,NA,1,NA,exact,NA,1
Spauligodon,1585284,Spauligodon,"Skryabin, Schikhobalova & Lagodovskaja, 1960",accepted,NA,Genus,1585284,Spauligodon,"Skryabin, Schikhobalova & Lagodovskaja, 1960",1588398,Animalia,Nematoda,Chromadorea,Rhabditida,Pharyngodonidae,Spauligodon,NA,NA,NA,1,NA,exact,NA,1
Spauligodon carbonelli,1589270,Spauligodon carbonelli,"Roca & Garcia-Adell, 1988",accepted,NA,Species,1589270,Spauligodon carbonelli,"Roca & Garcia-Adell, 1988",1585284,Animalia,Nematoda,Chromadorea,Rhabditida,Pharyngodonidae,Spauligodon,NA,NA,NA,1,NA,exact,NA,1
Spauligodon atlanticus,1589265,Spauligodon atlanticus,"Astasio-Arbiza, Zapatero-Ramos, Ojeda-Rosas & Solera-Puertas, 1988",accepted,NA,Species,1589265,Spauligodon atlanticus,"Astasio-Arbiza, Zapatero-Ramos, Ojeda-Rosas & Solera-Puertas, 1988",1585284,Animalia,Nematoda,Chromadorea,Rhabditida,Pharyngodonidae,Spauligodon,NA,NA,NA,1,NA,exact,NA,1
Spauligodon lacertae,1589280,Spauligodon lacertae,"Sharpilo, 1966",accepted,NA,Species,1589280,Spauligodon lacertae,"Sharpilo, 1966",1585284,Animalia,Nematoda,Chromadorea,Rhabditida,Pharyngodonidae,Spauligodon,NA,NA,NA,1,NA,exact,NA,1
Neodiplostomum americanum,1572470,Neodiplostomum americanum,"Chandler & Rausch, 1947",accepted,NA,Species,1572470,Neodiplostomum americanum,"Chandler & Rausch, 1947",108681,Animalia,Platyhelminthes,Trematoda,Diplostomida,Diplostomidae,Neodiplostomum,NA,NA,NA,1,NA,exact,NA,1
Bursaphelenchus paraluxuriosae,1587132,Bursaphelenchus paraluxuriosae,"Gu, Wang, Braasch, Burgermeister & Schroeder, 2012",accepted,NA,Species,1587132,Bursaphelenchus paraluxuriosae,"Gu, Wang, Braasch, Burgermeister & Schroeder, 2012",1544445,Animalia,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Bursaphelenchus,0,0,0,1,NA,exact,0,1
Khawia armeniaca,1526754,Khawia armeniaca,"(Cholodkovsky, 1915) Shulman, 1958",accepted,NA,Species,1526754,Khawia armeniaca,"(Cholodkovsky, 1915) Shulman, 1958",1526250,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Khawia,NA,NA,1,NA,NA,exact,1,NA
Khawia japonensis,1526757,Khawia japonensis,"(Yamaguti, 1934) Hsü, 1935",accepted,NA,Species,1526757,Khawia japonensis,"(Yamaguti, 1934) Hsü, 1935",1526250,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Khawia,NA,NA,1,NA,NA,exact,1,NA
Khawia rossittensis,1526761,Khawia rossittensis,"(Szidat, 1937) Markevich, 1951",accepted,NA,Species,1526761,Khawia rossittensis,"(Szidat, 1937) Markevich, 1951",1526250,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Khawia,NA,NA,1,NA,NA,exact,1,NA
Khawia saurogobii,1526762,Khawia saurogobii,"Xi, Oros, Wang, Wu, Gao & Nie, 2009",accepted,NA,Species,1526762,Khawia saurogobii,"Xi, Oros, Wang, Wu, Gao & Nie, 2009",1526250,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Khawia,NA,NA,1,NA,NA,exact,1,NA
Khawia baltica,1526756,Khawia baltica,"Szidat, 1942",accepted,NA,Species,1526756,Khawia baltica,"Szidat, 1942",1526250,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Khawia,NA,NA,1,NA,NA,exact,1,NA
Khawia parva,1526759,Khawia parva,"(Zmeev, 1936) Kulakovskaya, 1961",accepted,NA,Species,1526759,Khawia parva,"(Zmeev, 1936) Kulakovskaya, 1961",1526250,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Khawia,NA,NA,1,NA,NA,exact,1,NA
Goniocidaris florigera,827779,Goniocidaris florigera,"A. Agassiz, 1879",alternate representation,NA,Species,513299,Goniocidaris (Petalocidaris) florigera,"A. Agassiz, 1879",411385,Animalia,Echinodermata,Echinoidea,Cidaroida,Cidaridae,Goniocidaris,1,0,0,0,0,exact,0,0
Dugesia cretica,486078,Dugesia cretica,"(Meixner, 1928)",accepted,NA,Species,486078,Dugesia cretica,"(Meixner, 1928)",181568,Animalia,Platyhelminthes,NA,Tricladida,Dugesiidae,Dugesia,0,0,1,0,NA,exact,1,0
Dugesia ariadnae,482031,Dugesia ariadnae,"De Vries, 1984",accepted,NA,Species,482031,Dugesia ariadnae,"De Vries, 1984",181568,Animalia,Platyhelminthes,NA,Tricladida,Dugesiidae,Dugesia,0,0,1,0,NA,exact,1,0
Rhabdias esculentarum,1442679,Rhabdias esculentarum,"Cipriani, Mattiucci, Paoletti, Santoro & Nascetti, 2012",accepted,NA,Species,1442679,Rhabdias esculentarum,"Cipriani, Mattiucci, Paoletti, Santoro & Nascetti, 2012",1442630,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdiasidae,Rhabdias,NA,NA,1,1,NA,exact,1,1
Ophiocomina australis,243586,Ophiocomina australis,"H.L. Clark, 1928",unaccepted,transferred to Clarkcoma by Naughton et al. (2014),Species,852335,Clarkcoma australis,"(H.L. Clark, 1928)",123593,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiotomidae,Ophiocomina,1,0,0,0,NA,exact,0,0
Ophiocoma endeani,212373,Ophiocoma endeani,"Rowe & Pawson, 1977",unaccepted,transferred to Ophiomastix by O'Hara et al. (2018),Species,1307745,Ophiomastix endeani,"(Rowe & Pawson, 1977)",123592,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiocoma,1,0,0,0,NA,exact,0,0
Ophiocoma pumila,243578,Ophiocoma pumila,"Lütken, 1856",unaccepted,transferred to Ophiocomella by O'Hara et al. (2018),Species,1306698,Ophiocomella pumila,"(Lütken, 1856)",123592,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiocoma,1,0,0,0,NA,exact,0,0
Metapolystoma cachani,1494424,Metapolystoma cachani,"Combes, 1976",accepted,NA,Species,1494424,Metapolystoma cachani,"Combes, 1976",1484761,Animalia,Platyhelminthes,Monogenea,Polystomatidea,Polystomatidae,Metapolystoma,NA,NA,1,1,NA,exact,1,1
Caryophyllaeides fennica,1456760,Caryophyllaeides fennica,"(Schneider, 1902) Nybelin, 1922",accepted,NA,Species,1456760,Caryophyllaeides fennica,"(Schneider, 1902) Nybelin, 1922",1456759,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Caryophyllaeides,NA,NA,1,NA,NA,exact,1,NA
Caryophyllaeus brachycollis,1460867,Caryophyllaeus brachycollis,"Janiszewska, 1953",accepted,NA,Species,1460867,Caryophyllaeus brachycollis,"Janiszewska, 1953",104966,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Caryophyllaeidae,Caryophyllaeus,NA,NA,1,NA,NA,exact,1,NA
Djombangia penetrans,1526751,Djombangia penetrans,"Bovien, 1926",accepted,NA,Species,1526751,Djombangia penetrans,"Bovien, 1926",1526750,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Lytocestidae,Djombangia,NA,NA,1,NA,NA,exact,1,NA
Glaridacris catostomi,1523932,Glaridacris catostomi,"Cooper, 1920",accepted,NA,Species,1523932,Glaridacris catostomi,"Cooper, 1920",1523930,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Caryophyllaeidae,Glaridacris,NA,NA,1,NA,NA,exact,1,NA
Wenyonia virilis,1471458,Wenyonia virilis,"Woodland, 1923",accepted,NA,Species,1471458,Wenyonia virilis,"Woodland, 1923",1471457,Animalia,Platyhelminthes,Cestoda,Caryophyllidea,Caryophyllaeidae,Wenyonia,NA,NA,1,NA,NA,exact,1,NA
Clistobothrium montaukensis,516955,Clistobothrium montaukensis,"Ruhnke, 1993",unaccepted,Malformed suffix,Species,1514442,Clistobothrium montaukense,"Ruhnke, 1993",515889,Animalia,Platyhelminthes,Cestoda,Phyllobothriidea,Phyllobothriidae,Clistobothrium,1,NA,NA,NA,NA,exact,0,0
Astriclypeus manni,513137,Astriclypeus manni,NA,unaccepted,"misspelling (incorrect subsequent spelling sensu ICZN 4th ed. 1999, Art. 33.4)",Species,827660,Astriclypeus mannii,"Verrill, 1867",512721,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Astriclypeidae,Astriclypeus,1,0,0,0,0,exact,0,0
Diplostomum paracaudum,1346975,Diplostomum paracaudum,"(Iles, 1959) Shigin, 1977",unaccepted,Synonym,Species,109184,Diplostomum spathaceum,"(Rudolphi, 1819) Olsson, 1876",108679,Animalia,Platyhelminthes,Trematoda,Diplostomida,Diplostomidae,Diplostomum,NA,NA,1,1,NA,exact,1,1
Diplostomum mergi,1346967,Diplostomum mergi,"Dubois, 1932",accepted,NA,Species,1346967,Diplostomum mergi,"Dubois, 1932",108679,Animalia,Platyhelminthes,Trematoda,Diplostomida,Diplostomidae,Diplostomum,NA,NA,1,1,NA,exact,1,1
Ortleppascaris,1585094,Ortleppascaris,"Sprent, 1978",accepted,NA,Genus,NA,NA,NA,22862,Animalia,Nematoda,Chromadorea,Rhabditida,Ascarididae,Ortleppascaris,NA,NA,1,1,NA,exact,1,1
Gnathostoma,1542770,Gnathostoma,"Owen, 1836",accepted,NA,Genus,1542770,Gnathostoma,"Owen, 1836",22882,Animalia,Nematoda,Chromadorea,Rhabditida,Gnathostomatidae,Gnathostoma,NA,NA,1,1,NA,exact,1,1
Gnathostoma hispidum,1590614,Gnathostoma hispidum,"Fedtschenko, 1872",accepted,NA,Species,1590614,Gnathostoma hispidum,"Fedtschenko, 1872",1542770,Animalia,Nematoda,Chromadorea,Rhabditida,Gnathostomatidae,Gnathostoma,NA,NA,1,1,NA,exact,1,1
Splendidofilaria,1585498,Splendidofilaria,"Skryabin, 1923",accepted,NA,Genus,NA,NA,NA,22876,Animalia,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Splendidofilaria,NA,NA,NA,1,NA,exact,NA,1
Cryptopeltaster,254795,Cryptopeltaster,"Fisher, 1905",unaccepted,Synonym according to Mah et al. (2014),Genus,123297,Hippasteria,"Gray, 1840",292827,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Cryptopeltaster,1,0,0,0,0,exact,0,0
Rotylenchus buxophilus,1295621,Rotylenchus buxophilus,"(Golden, 1956)",accepted,NA,Species,1295621,Rotylenchus buxophilus,"(Golden, 1956)",583026,Animalia,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Rotylenchus,0,0,1,NA,NA,exact,1,NA
Rotylenchus eximius,1471514,Rotylenchus eximius,"Siddiqi, 1964",accepted,NA,Species,1471514,Rotylenchus eximius,"Siddiqi, 1964",583026,Animalia,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Rotylenchus,NA,NA,NA,1,NA,exact,NA,1
Rotylenchus robustus,583890,Rotylenchus robustus,"(de Man, 1876)",accepted,NA,Species,583890,Rotylenchus robustus,"(de Man, 1876)",583026,Animalia,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Rotylenchus,0,0,0,1,0,exact,0,1
