"","ncbi_sp","original_aphiaid","worms_match","status","ncbi_uid","worms_sciname","worms_aphiaid","unacceptreason","rank","valid_authority","class","order","family","genus","freshwater_only","terrestrial_only","found_taxa"
"8531","Eleotris",204889,"Eleotris","accepted","1365546","Eleotris",204889,NA,"genus","Bloch & Schneider, 1801","Teleostei","Gobiiformes","Eleotridae","Eleotris","0","0","Eleotris"
"8532","Eleotris picta",277804,"Eleotris picta","accepted","308077","Eleotris picta",277804,NA,"species","Kner, 1863","Teleostei","Gobiiformes","Eleotridae","Eleotris","0","0","Eleotris picta"
"8533","Economidichthys pygmaeus",1015990,"Economidichthys pygmaeus","accepted","257725","Economidichthys pygmaeus",1015990,NA,"species","(Holly, 1929)","Teleostei","Gobiiformes","Gobiidae","Economidichthys","1","0","Economidichthys pygmaeus"
"8534","Drombus kranjiensis",278097,"Drombus kranjiensis","accepted","551283","Drombus kranjiensis",278097,NA,"species","(Herre, 1940)","Teleostei","Gobiiformes","Gobiidae","Drombus","0","0","Drombus kranjiensis"
"8535","Dormitator latifrons",276408,"Dormitator latifrons","accepted","308079","Dormitator latifrons",276408,NA,"species","(Richardson, 1844)","Teleostei","Gobiiformes","Eleotridae","Dormitator","0","0","Dormitator latifrons"
"8536","Didogobius kochi",273432,"Didogobius kochi","accepted","1365680","Didogobius kochi",273432,NA,"species","Van Tassell, 1988","Teleostei","Gobiiformes","Gobiidae","Didogobius","0","0","Didogobius kochi"
"8537","Deltentosteus collonianus",126879,"Deltentosteus collonianus","accepted","588078","Deltentosteus collonianus",126879,NA,"species","(Risso, 1820)","Teleostei","Gobiiformes","Gobiidae","Deltentosteus","0","0","Deltentosteus collonianus"
"8538","Crystallogobius linearis",126878,"Crystallogobius linearis","accepted","441903","Crystallogobius linearis",126878,NA,"species","(Düben, 1845)","Teleostei","Gobiiformes","Gobiidae","Crystallogobius","0","0","Crystallogobius linearis"
"8539","Cryptocentroides gobioides",314225,"Cryptocentroides gobioides","accepted","1365543","Cryptocentroides gobioides",314225,NA,"species","(Ogilby, 1886)","Teleostei","Gobiiformes","Gobiidae","Cryptocentroides","0","0","Cryptocentroides gobioides"
"8540","Cotylopus rubripinnis",1009133,"Cotylopus rubripinnis","accepted","1001955","Cotylopus rubripinnis",1009133,NA,"species","Keith, Hoareau & Bosc, 2005","Teleostei","Gobiiformes","Gobiidae","Cotylopus","1","0","Cotylopus rubripinnis"
"8541","Coryogalops anomolus",219415,"Coryogalops anomolus","accepted","990270","Coryogalops anomolus",219415,NA,"species","Smith, 1958","Teleostei","Gobiiformes","Gobiidae","Coryogalops","0","0","Coryogalops anomolus"
"8542","Corcyrogobius liechtensteini",126876,"Corcyrogobius liechtensteini","accepted","1365678","Corcyrogobius liechtensteini",126876,NA,"species","(Kolombatovic, 1891)","Teleostei","Gobiiformes","Gobiidae","Corcyrogobius","0","0","Corcyrogobius liechtensteini"
"8543","Chromogobius britoi",273425,"Chromogobius britoi","accepted","1365542","Chromogobius britoi",273425,NA,"species","Van Tassell, 2001","Teleostei","Gobiiformes","Gobiidae","Chromogobius","0","0","Chromogobius britoi"
"8544","Brachygobius nunus",279978,"Brachygobius nunus","accepted","1365539","Brachygobius nunus",279978,NA,"species","(Hamilton, 1822)","Teleostei","Gobiiformes","Gobiidae","Brachygobius","0","0","Brachygobius nunus"
"8545","Bollmannia macropoma",279934,"Bollmannia macropoma","accepted","1365537","Bollmannia macropoma",279934,NA,"species","Gilbert, 1892","Teleostei","Gobiiformes","Gobiidae","Bollmannia","0","0","Bollmannia macropoma"
"8546","Benthophilus",125978,"Benthophilus","accepted","1365536","Benthophilus",125978,NA,"genus","Eichwald, 1831","Teleostei","Gobiiformes","Gobiidae","Benthophilus","0","0","Benthophilus"
"8547","Bathygobius",204736,"Bathygobius","accepted","1365535","Bathygobius",204736,NA,"genus","Bleeker, 1878","Teleostei","Gobiiformes","Gobiidae","Bathygobius","0","0","Bathygobius"
"8548","Bathygobius",204736,"Bathygobius","accepted","1365534","Bathygobius",204736,NA,"genus","Bleeker, 1878","Teleostei","Gobiiformes","Gobiidae","Bathygobius","0","0","Bathygobius"
"8549","Babka gymnotrachelus",1016384,"Babka gymnotrachelus","accepted","320567","Babka gymnotrachelus",1016384,NA,"species","(Kessler, 1857)","Teleostei","Gobiiformes","Gobiidae","Babka","0","0","Babka gymnotrachelus"
"8550","Awaous banana",277417,"Awaous banana","accepted","621459","Awaous banana",277417,NA,"species","(Valenciennes, 1837)","Teleostei","Gobiiformes","Gobiidae","Awaous","0","0","Awaous banana"
"8551","Aphia minuta",126868,"Aphia minuta","accepted","441899","Aphia minuta",126868,NA,"species","(Risso, 1810)","Teleostei","Gobiiformes","Gobiidae","Aphia","0","0","Aphia minuta"
"8552","Amoya",205053,"Amoya","accepted","1365532","Amoya",205053,NA,"genus","Herre, 1927","Teleostei","Gobiiformes","Gobiidae","Amoya","0","0","Amoya"
"8553","Amoya gracilis",277905,"Amoya gracilis","accepted","1365531","Amoya gracilis",277905,NA,"species","(Bleeker, 1875)","Teleostei","Gobiiformes","Gobiidae","Amoya","0","0","Amoya gracilis"
"8554","Amblygobius",206069,"Amblygobius","accepted","1365530","Amblygobius",206069,NA,"genus","Bleeker, 1874","Teleostei","Gobiiformes","Gobiidae","Amblygobius","0","0","Amblygobius"
"8555","Amblyeleotris gymnocephala",278968,"Amblyeleotris gymnocephala","accepted","622398","Amblyeleotris gymnocephala",278968,NA,"species","(Bleeker, 1853)","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","0","0","Amblyeleotris gymnocephala"
"8556","Yongeichthys nebulosus",219605,"Yongeichthys nebulosus","unaccepted","1003993","Acentrogobius nebulosus",312542,NA,"species","(Forsskål, 1775)","Teleostei","Gobiiformes","Gobiidae","Yongeichthys","0","0","Acentrogobius nebulosus"
"8557","Gobiodon irregularis",835068,"Gobiodon irregularis","accepted","595621","Gobiodon irregularis",835068,NA,"species","Herler, Bogorodsky & Suzuki, 2013","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon irregularis"
"8558","Gobiodon fuscoruber",1007349,"Gobiodon fuscoruber","accepted","595623","Gobiodon fuscoruber",1007349,NA,"species","Herler, Bogorodsky & Suzuki, 2013","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon fuscoruber"
"8559","Gobiodon fulvus",219482,"Gobiodon fulvus","accepted","1346608","Gobiodon fulvus",219482,NA,"species","Herre, 1927","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon fulvus"
"8560","Gobiodon bilineatus",835067,"Gobiodon bilineatus","accepted","1346607","Gobiodon bilineatus",835067,NA,"species","Herler, Bogorodsky & Suzuki, 2013","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon bilineatus"
"8561","Gobiodon bilineatus",835067,"Gobiodon bilineatus","accepted","1346606","Gobiodon bilineatus",835067,NA,"species","Herler, Bogorodsky & Suzuki, 2013","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon bilineatus"
