"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","lng","lat","gnl","gnn","fml","fmn","odl","odn","cll","cln","phl","phn","cc2","sta","cny","gsc","eag.1","lag.1","cxi","ein","lin","idt","rst","ids","rss","oli","eid","rsf","late_age","early_age","taxon_name","range"
"28",391760,"occ",37590,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"albaria",NA,NA,NA,NA,23.03,28.1,"Macoma albaria",5.07
"29",391761,"occ",37590,"Macoma sp. n. sp.",5,17852,"Macoma",5,17852,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"sp.","n. sp.",NA,NA,NA,23.03,28.1,"Macoma sp. n. sp.",5.07
"30",391766,"occ",37589,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"31",391776,"occ",37589,"Clinocardium nuttallii aff.",3,167957,"Clinocardium (Clinocardium) nuttallii",3,167956,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Clinocardium",17485,"Cardiidae",59532,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Clinocardium",NA,"nuttallii","aff.",NA,NA,NA,23.03,28.1,"Clinocardium nuttallii aff.",5.07
"32",391780,"occ",37583,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"33",391795,"occ",37583,"Mytilus tichanovitchi aff.",3,90153,"Mytilus (Tumidimytilus) tichanovitchi",3,101932,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Mytilus",NA,"tichanovitchi","aff.",NA,NA,NA,23.03,28.1,"Mytilus tichanovitchi aff.",5.07
"34",391813,"occ",37576,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-122.114998,48.198612,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"35",391814,"occ",37576,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Chattian",28.1,23.03,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"albaria",NA,NA,NA,NA,23.03,28.1,"Macoma albaria",5.07
"36",391815,"occ",37576,"Macoma secta aff.",3,168034,"Macoma (Rexithaerus) secta",3,168032,"Chattian",28.1,23.03,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"secta","aff.",NA,NA,NA,23.03,28.1,"Macoma secta aff.",5.07
"37",391825,"occ",37579,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"38",391829,"occ",37575,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-122.114998,48.198612,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"39",391865,"occ",37577,"Modiolus restorationensis aff.",3,90152,"Modiolus restorationensis",3,90152,"Chattian",28.1,23.03,"10046;10046",-122.114998,48.198612,"Modiolus",77219,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Modiolus",NA,"restorationensis","aff.",NA,NA,NA,23.03,28.1,"Modiolus restorationensis aff.",5.07
"40",391871,"occ",37577,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Chattian",28.1,23.03,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"albaria",NA,NA,NA,NA,23.03,28.1,"Macoma albaria",5.07
"41",391884,"occ",37586,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"albaria",NA,NA,NA,NA,23.03,28.1,"Macoma albaria",5.07
"42",391885,"occ",37586,"Macoma sookensis",3,90163,"Macoma sookensis",3,90163,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"sookensis",NA,NA,NA,NA,23.03,28.1,"Macoma sookensis",5.07
"43",391886,"occ",37586,"Macoma twinensis cf.",3,90161,"Macoma (Macoma) twinensis",3,363030,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"twinensis","cf.",NA,NA,NA,23.03,28.1,"Macoma twinensis cf.",5.07
"44",391898,"occ",37586,"Modiolus restorationensis aff.",3,90152,"Modiolus restorationensis",3,90152,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Modiolus",77219,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Modiolus",NA,"restorationensis","aff.",NA,NA,NA,23.03,28.1,"Modiolus restorationensis aff.",5.07
"45",391899,"occ",37586,"Mytilus ? tichanovitchi aff.",3,90153,"Mytilus (Tumidimytilus) tichanovitchi",3,101932,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Mytilus","?","tichanovitchi","aff.",NA,NA,NA,23.03,28.1,"Mytilus ? tichanovitchi aff.",5.07
"46",391911,"occ",37592,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"47",391912,"occ",37592,"Macoma sookensis ?",3,90163,"Macoma sookensis",3,90163,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"sookensis","?",NA,NA,NA,23.03,28.1,"Macoma sookensis ?",5.07
"48",391915,"occ",37591,"Mytilus tichanovitchi aff.",3,90153,"Mytilus (Tumidimytilus) tichanovitchi",3,101932,"Chattian",28.1,23.03,"10046;10046",-124.098892,48.216667,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Mytilus",NA,"tichanovitchi","aff.",NA,NA,NA,23.03,28.1,"Mytilus tichanovitchi aff.",5.07
