Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
67,Cephalurus cephalus,Cephalurus cephalus,19166,19185,12.57,2,NO_ANNOT,,,Exact,0,"Cephalurus cephalus (Gilbert, 1892)",Cephalurus cephalus,SF3H,1,Catalogue of Life,
68,Cephalurus,Cephalurus,19581,19591,5.60,1,NO_ANNOT,,,Exact,0,Cephalurus,Cephalurus,3KJP,1,Catalogue of Life,
69,C. cephalus,C. cephalus,19655,19666,6.64,2,NO_ANNOT,,,NoMatch,,,,,,,
70,Parmaturus xaniurus,Parmaturus xaniurus,19753,19772,12.40,2,NO_ANNOT,,,Exact,0,"Parmaturus xaniurus (Gilbert, 1892)",Parmaturus xaniurus,4DNGD,1,Catalogue of Life,
71,(Eschmeyer,Eschmeyer,19830,19840,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
72,(Eschmeyer,Eschmeyer,19949,19959,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
73,Galeorhinus galeus,Galeorhinus galeus,20139,20157,10.96,2,NO_ANNOT,,,Exact,0,"Galeorhinus galeus (Linnaeus, 1758)",Galeorhinus galeus,3F43C,1,Catalogue of Life,
74,Galeorhinus zyopterus,Galeorhinus zyopterus,20716,20737,11.65,2,NO_ANNOT,,,Exact,0,"Galeorhinus zyopterus Jordan & Gilbert, 1883",Galeorhinus zyopterus,3F43K,1,Catalogue of Life,
75,G. zyopterus,G. zyopterus,20979,20991,6.63,2,NO_ANNOT,,,NoMatch,,,,,,,
76,Mustelus albipinnis,Mustelus albipinnis,21015,21034,13.05,2,NO_ANNOT,,,Exact,0,"Mustelus albipinnis Castro-Aguirre, Antuna-Mendiola, González-Acosta & de la Cruz-Agüero, 2005",Mustelus albipinnis,44QZN,1,Catalogue of Life,
77,Mustelus hacat,Mustelus hacat,21525,21539,9.30,2,NO_ANNOT,,,Exact,0,"Mustelus hacat Pérez-Jiménez, Nichizaki & Castillo Geniz, 2005",Mustelus hacat,44R27,1,Catalogue of Life,
78,Mustelus californicus,Mustelus californicus,21605,21626,13.23,2,NO_ANNOT,,,Exact,0,"Mustelus californicus Gill, 1864",Mustelus californicus,44QZT,1,Catalogue of Life,
79,(Eschmeyer,Eschmeyer,21790,21800,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
80,Isla,Isla,21823,21827,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
