"","name","rank","phylum","class","subclass","order","family","genus","species"
"9081",NA,NA,"Arthropoda","Ostracoda","Myodocopa","Halocyprida","Halocyprididae","Orthoconchoecia","Orthoconchoecia striola"
"9082",NA,NA,"Mollusca","Bivalvia","Autobranchia",NA,"Thraciidae",NA,NA
"9083",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Cystisomatidae","Cystisoma","Cystisoma fabricii"
"9084",NA,NA,"Porifera","Demospongiae","Heteroscleromorpha","Poecilosclerida","Coelosphaeridae","Lissodendoryx","Lissodendoryx (Lissodendoryx) amaknakensis"
"9085",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Muricidae","Nucella","Nucella lima"
"9086",NA,NA,"Annelida","Polychaeta","Sedentaria",NA,"Paraonidae","Aricidea","Aricidea (Aedicira) pacifica"
"9087",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Lafoeidae","Lafoea",NA
"9088",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Myoxocephalus",NA
"9089",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Eulimidae",NA,NA
"9090",NA,NA,"Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Myxicola",NA
"9091",NA,NA,"Echinodermata","Echinoidea","Euechinoidea","Spatangoida","Schizasteridae","Brisaster","Brisaster fragilis"
"9092",NA,NA,"Annelida",NA,NA,"Sipuncula","Golfingiidae","Themiste",NA
"9093",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Desmosomatidae","Desmosoma",NA
"9094",NA,NA,"Arthropoda","Copepoda",NA,"Harpacticoida","Dactylopusiidae","Dactylopusia",NA
"9095",NA,NA,"Arthropoda","Thecostraca","Cirripedia","Balanomorpha",NA,NA,NA
"9096",NA,NA,"Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Aeolidiidae","Aeolidia",NA
"9097",NA,NA,"Mollusca","Gastropoda","Vetigastropoda","Trochida","Turbinidae",NA,NA
"9098",NA,NA,"Mollusca","Bivalvia","Autobranchia","Cardiida","Psammobiidae","Nuttallia","Nuttallia nuttallii"
"9099",NA,NA,"Annelida","Polychaeta","Sedentaria","Spionida","Trochochaetidae",NA,NA
"9100",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Syllis","Syllis anops"
"9101",NA,NA,"Mollusca","Polyplacophora","Neoloricata","Chitonida","Mopaliidae","Mopalia","Mopalia cirrata"
"9102",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Umbonulidae","Rhamphostomella","Rhamphostomella plicata"
"9103",NA,NA,"Cnidaria","Anthozoa","Hexacorallia","Antipatharia","Schizopathidae","Bathypathes","Bathypathes alaskensis"
"9104",NA,NA,"Echinodermata","Asteroidea","Ambuloasteroidea","Brisingida","Brisingidae","Hymenodiscus",NA
"9105",NA,NA,"Annelida","Polychaeta","Sedentaria",NA,"Orbiniidae","Orbiniella","Orbiniella nuda"
"9106",NA,NA,"Chordata","Actinopteri","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus tenebrosus"
