Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Lycodapus poecilus,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodapus psarostomatus,Lycodapus,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes akuugun,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Lycodes albolineatus,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes beringi,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes brevipes,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes brunneofasciatus,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes concolor,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes cortezianus,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes diapterus,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes pacificus,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes palearis,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes polaris,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes raridens,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycodes turneri,Lycodes,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lyconema barbatum,Lyconema,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lyopsetta exilis,Lyopsetta,Hippoglossinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
