Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Acantholiparis caecus,Acantholiparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Acantholiparis opercularis,Acantholiparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Acantholumpenus mackayi,Acantholumpenus,NA,Lumpenidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acanthonus armatus,Acanthonus,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acanthopsetta nadeshnyi,Acanthopsetta,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acipenser medirostris,Acipenser,Acipenserinae,Acipenseridae,Acipenseriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Acipenser transmontanus,Acipenser,Acipenserinae,Acipenseridae,Acipenseriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Agonomalus mozinoi,Agonomalus,Hypsagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Agonopsis vulsa,Agonopsis,Agoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Albatrossia pectoralis,Albatrossia,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alectrias alectrolophus,Alectrias,Alectriinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alectridium aurantiacum,Alectridium,Xiphisterinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alepisaurus ferox,Alepisaurus,NA,Alepisauridae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alepocephalus tenebrosus,Alepocephalus,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus jordani,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus kallaion,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Allocareproctus tanix,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus unangas,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allocareproctus ungak,Allocareproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Allocyttus folletti,Allocyttus,Oreosomatinae,Oreosomatidae,Zeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Allosmerus elongatus,Allosmerus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Alopias superciliosus,Alopias,NA,Alopiidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Alopias vulpinus,Alopias,NA,Alopiidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Alosa sapidissima,Alosa,Alosinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",introduced
Amblyraja badia,Amblyraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",questionable
Ammodytes hexapterus,Ammodytes,NA,Ammodytidae,Perciformes/Uranoscopoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ammodytes personatus,Ammodytes,NA,Ammodytidae,Perciformes/Uranoscopoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Amphistichus koelzi,Amphistichus,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Amphistichus rhodoterus,Amphistichus,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anarhichas orientalis,Anarhichas,NA,Anarhichadidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anarrhichthys ocellatus,Anarrhichthys,NA,Anarhichadidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anisarchus medius,Anisarchus,NA,Lumpenidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anoplagonus inermis,Anoplagonus,Anoplagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anoplarchus insignis,Anoplarchus,Xiphisterinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anoplarchus purpurescens,Anoplarchus,Xiphisterinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anoplogaster cornuta,Anoplogaster,NA,Anoplogastridae,Trachichthyiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anoplopoma fimbria,Anoplopoma,NA,Anoplopomatidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Anotopterus nikparini,Anotopterus,NA,Paralepididae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Antimora microlepis,Antimora,NA,Moridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Aphanopus arigato,Aphanopus,Aphanopodinae,Trichiuridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Apodichthys flavidus,Apodichthys,Apodichthyinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Apodichthys fucorum,Apodichthys,Apodichthyinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Apristurus brunneus,Apristurus,NA,Pentanchidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Aptocyclus ventricosus,Aptocyclus,Liparopsinae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Archistes biseriatus,Archistes,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Arctoscopus japonicus,Arctoscopus,NA,Trichodontidae,Perciformes/Uranoscopoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Arctozenus risso,Arctozenus,NA,Paralepididae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Argentina sialis,Argentina,NA,Argentinidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Argyropelecus affinis,Argyropelecus,Sternoptychinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Argyropelecus hemigymnus,Argyropelecus,Sternoptychinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Argyropelecus lychnus,Argyropelecus,Sternoptychinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Argyropelecus sladeni,Argyropelecus,Sternoptychinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Aristostomias scintillans,Aristostomias,Malacosteinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artediellichthys nigripinnis,Artediellichthys,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artediellus miacanthus,Artediellus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artediellus pacificus,Artediellus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artediellus scaber,Artediellus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artedius corallinus,Artedius,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artedius fenestralis,Artedius,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artedius harringtoni,Artedius,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artedius lateralis,Artedius,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Artedius notospilotus,Artedius,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ascelichthys rhodorus,Ascelichthys,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Asemichthys taylori,Asemichthys,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Aspidophoroides monopterygius,Aspidophoroides,Anoplagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Aspidophoroides olrikii,Aspidophoroides,Anoplagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Atheresthes evermanni,Atheresthes,Atheresthinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Atheresthes stomias,Atheresthes,Atheresthinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Atherinops affinis,Atherinops,Atherinopsinae,Atherinopsidae,Atheriniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Atherinopsis californiensis,Atherinopsis,Atherinopsinae,Atherinopsidae,Atheriniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Atractoscion nobilis,Atractoscion,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Aulorhynchus flavidus,Aulorhynchus,NA,Aulorhynchidae,Perciformes/Gasterosteoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Avocettina infans,Avocettina,NA,Nemichthyidae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bajacalifornia megalops,Bajacalifornia,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Balistes polylepis,Balistes,NA,Balistidae,Tetraodontiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Barathronus pacificus,Barathronus,NA,Bythitidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Barbourisia rufa,Barbourisia,NA,Barbourisiidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bassozetus zenkevitchi,Bassozetus,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathophilus brevis,Bathophilus,Melanostomiinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathophilus flemingi,Bathophilus,Melanostomiinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathyagonus alascanus,Bathyagonus,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathyagonus infraspinatus,Bathyagonus,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathyagonus nigripinnis,Bathyagonus,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathyagonus pentacanthus,Bathyagonus,Bathyagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathycongrus varidens,Bathycongrus,Congrinae,Congridae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathylaco nigricans,Bathylaco,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathylagoides wesethi,Bathylagoides,NA,Bathylagidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathylagus pacificus,Bathylagus,NA,Bathylagidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathylychnops exilis,Bathylychnops,NA,Opisthoproctidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathymaster caeruleofasciatus,Bathymaster,NA,Bathymasteridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathymaster leurolepis,Bathymaster,NA,Bathymasteridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathymaster signatus,Bathymaster,NA,Bathymasteridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bathyraja abyssicola,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathyraja aleutica,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathyraja interrupta,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathyraja lindbergi,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathyraja mariposa,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",endemic
Bathyraja panthera,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",endemic
Bathyraja parmifera,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathyraja spinosissima,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathyraja trachura,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathyraja violacea,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bathysaurus mollis,Bathysaurus,NA,Bathysauridae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Benthalbella dentata,Benthalbella,NA,Scopelarchidae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Benthalbella linguidens,Benthalbella,NA,Scopelarchidae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Benthodesmus pacificus,Benthodesmus,Aphanopodinae,Trichiuridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Benthodesmus tenuis,Benthodesmus,Aphanopodinae,Trichiuridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Beringraja binoculata,Beringraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Beringraja inornata,Beringraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Beringraja rhina,Beringraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Beringraja stellulata,Beringraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Bertella idiomorpha,Bertella,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Blepsias bilobus,Blepsias,Hemitripteridae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Blepsias cirrhosus,Blepsias,Hemitripteridae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bolinia euryptera,Bolinia,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Boreogadus saida,Boreogadus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bothragonus swanii,Bothragonus,Bothragoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bothrocara brunneum,Bothrocara,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bothrocara molle,Bothrocara,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bothrocara nyx,Bothrocara,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Bothrocara pusillum,Bothrocara,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Brachyistius frenatus,Brachyistius,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Brama japonica,Brama,NA,Bramidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Brosmophycis marginata,Brosmophycis,NA,Bythitidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bryozoichthys lysimus,Bryozoichthys,Chirolophinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Bryozoichthys marjorius,Bryozoichthys,Chirolophinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Carcharodon carcharias,Carcharodon,NA,NA,NA,NA,NA,"Pacific, Northeast",native
Carcharodon carcharias,Carcharodon,NA,Lamnidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Careproctus abbreviatus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus ambustus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus attenuatus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus bowersianus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus colletti,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus comus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus cypselurus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus ectenes,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus faunus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus filamentosus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus furcellus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus gilberti,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus longifilis,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus lycopersicus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus melanurus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus microstomus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus mollis,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus oregonensis,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus ostentum,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus ovigerus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Careproctus phasma,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus pycnosoma,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus scottae,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus simus,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Careproctus spectrum,Careproctus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Caristius fasciatus,Caristius,NA,Caristiidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Caristius macropus,Caristius,NA,Caristiidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cataetyx rubrirostris,Cataetyx,NA,Bythitidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Catostomus catostomus,Catostomus,Catostominae,Catostomidae,Cypriniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Caulolatilus princeps,Caulolatilus,NA,Latilidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Caulophryne jordani,Caulophryne,NA,Caulophrynidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Caulophryne pelagica,Caulophryne,NA,Caulophrynidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cebidichthys violaceus,Cebidichthys,NA,Cebidichthyidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ceratoscopelus townsendi,Ceratoscopelus,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cetorhinus maximus,Cetorhinus,NA,Cetorhinidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Chaenophryne draco,Chaenophryne,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chaenophryne longiceps,Chaenophryne,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chauliodus macouni,Chauliodus,Chauliodontinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cheilopogon pinnatibarbatus californicus,Cheilopogon,NA,Exocoetidae,Beloniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chesnonia verrucosa,Chesnonia,Brachyopsinae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chiasmodon niger,Chiasmodon,NA,Chiasmodontidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chilara taylori,Chilara,Ophidiinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chirolophis decoratus,Chirolophis,Chirolophinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chirolophis nugator,Chirolophis,Chirolophinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chirolophis tarsodes,Chirolophis,Chirolophinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chitonotus pugetensis,Chitonotus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Chromis punctipinnis,Chromis,Pomacentrinae,Pomacentridae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Citharichthys sordidus,Citharichthys,NA,Cyclopsettidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Citharichthys stigmaeus,Citharichthys,NA,Cyclopsettidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Clevelandia ios,Clevelandia,Gobionellinae,Gobiidae,Gobiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Clidoderma asperrimum,Clidoderma,Hippoglossinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Clinocottus acuticeps,Clinocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Clinocottus embryum,Clinocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Clinocottus globiceps,Clinocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Clinocottus recalvus,Clinocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Clupea pallasii pallasii,Clupea,Clupeinae,Clupeidae,Clupeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cololabis saira,Cololabis,NA,Scomberesocidae,Beloniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Conocara salmoneum,Conocara,NA,Alepocephalidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coregonus autumnalis,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coregonus laurettae,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coregonus pidschian,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coregonus sardinella,Coregonus,Coregoninae,Salmonidae,Salmoniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaena hippurus,Coryphaena,NA,Coryphaenidae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides acrolepis,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides armatus,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides cinereus,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides filifer,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides leptolepis,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides liocephalus,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides longifilis,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Coryphaenoides spinulosus,Coryphaenoides,NA,Macrouridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cryptacanthodes aleutensis,Cryptacanthodes,NA,Cryptacanthodidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cryptacanthodes giganteus,Cryptacanthodes,NA,Cryptacanthodidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
