query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Cytherissa lacustris,Cytherideidae,42908,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa parva,Cytherideidae,108002,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa donquixotei,Cytherideidae,42907,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa cytheriformis,Cytherideidae,108011,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa parallela,Cytherideidae,108013,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa lata,Cytherideidae,108015,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa verrucosa,Cytherideidae,682027,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa triangulata,Cytherideidae,338632,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa pterygota,Cytherideidae,682033,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa golyschkinae,Cytherideidae,108009,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Cytherissa truncata,Cytherideidae,206022,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Romecytheridea ampla,Cytherideidae,158673,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Tanganyikacythere burtonensis,Cytherideidae,733413,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Romecytheridea longior,Cytherideidae,158671,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Kavalacythereis braconensis,Cytherideidae,158676,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Romecytheridea tenuisculpta,Cytherideidae,733417,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Tanganyikacythere caljoni,Cytherideidae,733415,127495,Cytherideidae,"Sars, 1925",accepted,NA,Family,127495,Cytherideidae,"Sars, 1925",127477,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,NA,0,NA,exact
Neoantistea quelpartensis,Hahniidae,1047880,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Bothriocroton concolor,Ixodidae,735709,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Bothriocroton undatum,Ixodidae,735703,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Robertsicus elaphensis,Ixodidae,1098064,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Amblyomma fimbriatum,Ixodidae,1035540,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Allopauropus lasiochlamis,Pauropodidae,467906,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Allopauropus tetrachotomous,Pauropodidae,467908,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Decapauropus biclavulus,Pauropodidae,843405,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Decapauropus crassescens,Pauropodidae,956397,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Decapauropus disphaeroides,Pauropodidae,1044614,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Donzelotauropus lanceus,Pauropodidae,1044622,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Donzelotauropus zijinensis,Pauropodidae,1044620,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Pauropus bifurcus,Pauropodidae,1044612,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Pauropus longiramus,Pauropodidae,404891,384689,Pauropodidae,"Lubbock, 1867",accepted,NA,Family,384689,Pauropodidae,"Lubbock, 1867",384688,Animalia,Arthropoda,Pauropoda,Tetramerocerata,NA,1,NA,1,1,NA,exact
Haemaphysalis doenitzi,Ixodidae,992177,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Stenosoma mediterraneum,Idoteidae,7122248,118283,Idoteidae,"Samouelle, 1819",accepted,NA,Family,118283,Idoteidae,"Samouelle, 1819",13800,Animalia,Arthropoda,Malacostraca,Isopoda,NA,1,0,1,0,NA,exact
Hyalomma anatolicum,Ixodidae,827325,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Hyalomma asiaticum,Ixodidae,705445,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
