"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"164","Nanhaipotamonnriense","Nanhaipotamonnriense","Nanhaipotamon nanriense",NA,199882,FALSE,NA
"165","Nanhaipotamon yongchuense","Nanhaipotamon yongchuense","Nanhaipotamon yongchuense","species",799086,FALSE,NA
"166","Nanhaipotamon","Nanhaipotamon","Nanhaipotamon","genus",199886,FALSE,NA
"167","Nanhaipotamon wupingense","Nanhaipotamon wupingense","Nanhaipotamon wupingense","species",389975,FALSE,NA
"168","Nanhaipotamon huaanense","Nanhaipotamon huaanense","Nanhaipotamon huaanense","species",337976,FALSE,NA
"169","Nanhaipotamon hongkongense","Nanhaipotamon hongkongense","Nanhaipotamon hongkongense","species",85518,FALSE,NA
"170","Huananpotamon angulatum","Huananpotamon angulatum","Huananpotamon angulatum","species",714125,FALSE,NA
"171","Yarepotamon gracilipa","Yarepotamon gracilipa","Yarepotamon gracilipa","species",7117609,FALSE,NA
"172","Longpotamon fujianense","Longpotamon fujianense","Longpotamon fujianense","species",2977310,FALSE,NA
"173","Austropotamobius pallipes","Austropotamobius pallipes","Austropotamobius pallipes","species",335542,FALSE,"sibling_higher"
"174","Geothelphusa siasiat","Geothelphusa siasiat","Geothelphusa siasiat","species",290162,FALSE,NA
"175","Geothelphusa candidiensis","Geothelphusa candidiensis","Geothelphusa candidiensis","species",413102,FALSE,NA
"176","Geothelphusa tali","Geothelphusa tali","Geothelphusa tali","species",290165,FALSE,NA
"177","Sinodiaptomus sarsi","Sinodiaptomus sarsi","Sinodiaptomus sarsi","species",326235,FALSE,NA
"178","Sinodiaptomus valkanovi","Sinodiaptomus valkanovi","Sinodiaptomus valkanovi","species",326233,FALSE,NA
"179","Heterocope appendiculata","Heterocope appendiculata","Heterocope appendiculata","species",900651,FALSE,NA
"180","Oncaea mediterranea broad form","Oncaea mediterranea broad form","Oncaea cf. mediterranea 'broad form'",NA,823813,TRUE,NA
