"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"90","Torrenticola","Torrenticola (genus in Opisthokonta)",NA,NA,NA,NA,542632,NA,"Torrenticola (genus in Opisthokonta)",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"91","Atractides","Atractides",NA,NA,NA,NA,728544,NA,"Atractides",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"92","Geothelphusa lili","Geothelphusa lili",NA,NA,NA,NA,264642,NA,"Geothelphusa lili",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"93","Scopimera curtelsoma","Scopimera curtelsoma",NA,NA,NA,NA,949613,NA,"Scopimera curtelsoma",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"94","Sayamia sexpunctata","Sayamia sexpunctata",NA,NA,NA,NA,511645,NA,"Sayamia sexpunctata",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"95","Sayamia maehongsonensisb","Sayamia maehongsonensis",NA,NA,NA,NA,4667060,NA,"Sayamia maehongsonensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"96","Geothelphusa minei","Geothelphusa minei",NA,NA,NA,NA,953257,NA,"Geothelphusa minei",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"97","Geothelphusa marginata","Geothelphusa marginata",NA,NA,NA,NA,139843,NA,"Geothelphusa marginata",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"98","Burmoniscus dasystylus","Burmoniscus dasystylus",NA,NA,NA,NA,926064,NA,"Burmoniscus dasystylus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"99","Burmoniscus ocellatus","Burmoniscus ocellatus",NA,NA,NA,NA,926062,NA,"Burmoniscus ocellatus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"100","Burmoniscus okinawaensis","Burmoniscus okinawaensis",NA,NA,NA,NA,926060,NA,"Burmoniscus okinawaensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"101","Burmoniscus purpura","Burmoniscus purpura",NA,NA,NA,NA,926058,NA,"Burmoniscus purpura",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
