query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Schistosoma curassoni,Schistosomatidae,413344,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Schistosoma bovis,Schistosomatidae,191482,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Brugia pahangi,Onchocercidae,510894,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Wuchereria bancrofti,Onchocercidae,245091,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Thelazia lacrymalis,Thelaziidae,758218,159669,Thelaziidae,"Skrjabin, 1915",accepted,NA,Family,159669,Thelaziidae,"Skrjabin, 1915",834793,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,NA,NA,exact
Acanthocheilonema viteae,Onchocercidae,295364,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Capillaria gastrica,Capillariidae,722814,834681,Capillariidae,"Railliet, 1915",accepted,NA,Family,834681,Capillariidae,"Railliet, 1915",22845,Animalia,Nematoda,Enoplea,Trichinellida,NA,1,1,1,1,NA,exact
Bunostomum trigonocephalum,Ancylostomatidae,514762,834871,Ancylostomatidae,"Looss, 1905",accepted,NA,Family,834871,Ancylostomatidae,"Looss, 1905",834868,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Uncinaria stenocephala,Ancylostomatidae,266993,834871,Ancylostomatidae,"Looss, 1905",accepted,NA,Family,834871,Ancylostomatidae,"Looss, 1905",834868,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Ancylostoma tubaeforme,Ancylostomatidae,459449,834871,Ancylostomatidae,"Looss, 1905",accepted,NA,Family,834871,Ancylostomatidae,"Looss, 1905",834868,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Ancylostoma duodenale,Ancylostomatidae,332059,834871,Ancylostomatidae,"Looss, 1905",accepted,NA,Family,834871,Ancylostomatidae,"Looss, 1905",834868,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Schistosoma intercalatum,Schistosomatidae,191479,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Schistosoma guineensis,Schistosomatidae,575276,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Schistosoma mattheei,Schistosomatidae,232967,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Schistosoma haematobium,Schistosomatidae,191481,108478,Schistosomatidae,"Stiles & Hassall, 1898",accepted,NA,Family,108478,Schistosomatidae,"Stiles & Hassall, 1898",108419,Animalia,Platyhelminthes,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Litomosa westi,Onchocercidae,987228,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Loa loa,Onchocercidae,555803,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Acanthocheilonema reconditum,Onchocercidae,758224,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Dipetalonema gracile,Onchocercidae,310659,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Waltonella,Onchocercidae,NULL,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Foleyella furcata,Onchocercidae,366566,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Filaria martis,Filariidae,835237,458826,Filariidae,"Chabaud & Anderson, 1959",accepted,NA,Family,458826,Filariidae,"Chabaud & Anderson, 1959",22875,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,NA,NA,exact
