taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Austroteneriffia,Teneriffiidae,NULL,510300,Teneriffiidae,"Sig Thor, 1911",accepted,NA,Family,510300,Teneriffiidae,"Sig Thor, 1911",762076,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,1,NA,NA,1,NA,exact
Gonodactylellus hendersoni,Gonodactylidae,304754,196127,Gonodactylidae,"Giesbrecht, 1910",accepted,NA,Family,196127,Gonodactylidae,"Giesbrecht, 1910",155825,Animalia,Arthropoda,Malacostraca,Stomatopoda,NA,1,NA,NA,NA,NA,exact
Gonodactylellus rubriguttatas,Gonodactylidae,304747,196127,Gonodactylidae,"Giesbrecht, 1910",accepted,NA,Family,196127,Gonodactylidae,"Giesbrecht, 1910",155825,Animalia,Arthropoda,Malacostraca,Stomatopoda,NA,1,NA,NA,NA,NA,exact
Alpheus canalis,Alpheidae,812811,106776,Alpheidae,"Rafinesque, 1815",accepted,NA,Family,106776,Alpheidae,"Rafinesque, 1815",106709,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,1,NA,NA,exact
Scopelocheirus schellenbergi,Scopelocheiridae,623778,176791,Scopelocheiridae,"Lowry & Stoddart, 1997",accepted,NA,Family,176791,Scopelocheiridae,"Lowry & Stoddart, 1997",176788,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,NA,NA,NA,NA,exact
Dermacentor,Ixodidae,NULL,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Heminothrus,Camisiidae,NULL,449173,Camisiidae,"Oudemans, 1900",accepted,NA,Family,449173,Camisiidae,"Oudemans, 1900",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,1,1,NA,exact
Rhinosuctobelba,Suctobelbidae,NULL,508164,Suctobelbidae,"Jacot, 1938",accepted,NA,Family,508164,Suctobelbidae,"Jacot, 1938",150380,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Charybdis feriata,Portunidae,513593,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Charybdis lucifera,Portunidae,468023,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Hydrachna,Hydrachnidae,NULL,1578526,Hydrachnidae,"Leach, 1815",accepted,NA,Family,1578526,Hydrachnidae,"Leach, 1815",762090,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,1,1,NA,NA,exact
Dinothrombium,Trombidiidae,NULL,150430,Trombidiidae,NA,accepted,NA,Family,150430,Trombidiidae,NA,762085,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,1,NA,NA,1,NA,exact
Meriola decepta,Xanthidae,7117738,106769,Xanthidae,"MacLeay, 1838",accepted,NA,Family,106769,Xanthidae,"MacLeay, 1838",106703,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Dermacentor variabilis,Ixodidae,925113,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Alonopsis elongata,Chydoridae,205252,148356,Chydoridae,"Dybowski & Grochowski, 1894",accepted,NA,Family,148356,Chydoridae,"Dybowski & Grochowski, 1894",106259,Animalia,Arthropoda,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Crangon communis,Crangonidae,213796,106782,Crangonidae,"Haworth, 1825",accepted,NA,Family,106782,Crangonidae,"Haworth, 1825",106712,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Bosmaella japonica,Sacculinidae,458891,134764,Sacculinidae,"Lilljeborg, 1861",accepted,NA,Family,134764,Sacculinidae,"Lilljeborg, 1861",1109,Animalia,Arthropoda,Thecostraca,NA,NA,1,1,1,0,0,exact
Munida leviantennata,Munididae,753489,562645,Munididae,"Ahyong, Baba, Macpherson & Poore, 2010",accepted,NA,Family,562645,Munididae,"Ahyong, Baba, Macpherson & Poore, 2010",106685,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Munida ofella,Munididae,230438,562645,Munididae,"Ahyong, Baba, Macpherson & Poore, 2010",accepted,NA,Family,562645,Munididae,"Ahyong, Baba, Macpherson & Poore, 2010",106685,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Paramunida granulata,Munididae,1051237,562645,Munididae,"Ahyong, Baba, Macpherson & Poore, 2010",accepted,NA,Family,562645,Munididae,"Ahyong, Baba, Macpherson & Poore, 2010",106685,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Paramysis intermedia,Mysidae,7122336,119822,Mysidae,"Haworth, 1825",accepted,NA,Family,119822,Mysidae,"Haworth, 1825",149668,Animalia,Arthropoda,Malacostraca,Mysida,NA,1,1,1,0,NA,exact
Uropoda orbicularis,Uropodidae,158767,150330,Uropodidae,NA,accepted,NA,Family,150330,Uropodidae,NA,762047,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,1,NA,NA,1,NA,exact
Eucyclopinae,Cyclopidae,NULL,106413,Cyclopidae,"Rafinesque, 1815",accepted,NA,Family,106413,Cyclopidae,"Rafinesque, 1815",1381344,Animalia,Arthropoda,Copepoda,Cyclopoida,NA,1,1,1,NA,NA,exact
Bosmina liederi,Bosminidae,390247,106262,Bosminidae,"Baird, 1845",accepted,NA,Family,106262,Bosminidae,"Baird, 1845",106259,Animalia,Arthropoda,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
