query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Eunice antarctica,Eunicidae,773151,966,Eunicidae,"Berthold, 1827",accepted,NA,Family,966,Eunicidae,"Berthold, 1827",895,Animalia,Annelida,Polychaeta,Eunicida,NA,1,0,0,0,0,exact
Domanibdella palmyrae,Haemadipsidae,1082089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella pungens,Haemadipsidae,1082091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoterrabdella australis,Haemadipsidae,1082094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella tanae,Haemadipsidae,555625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Domanibdella,Haemadipsidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella mediorubra,Haemadipsidae,1082097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella niarchosorum,Haemadipsidae,831374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella vagans,Haemadipsidae,831371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella gloriosi,Haemadipsidae,1082087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Planobdella,Haemadipsidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobdella,Haemadipsidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophryotrocha permanni,Dorvilleidae,399252,971,Dorvilleidae,"Chamberlin, 1919",accepted,NA,Family,971,Dorvilleidae,"Chamberlin, 1919",895,Animalia,Annelida,Polychaeta,Eunicida,NA,1,0,0,0,0,exact
Epigamia macrophtalma,Syllidae,390013,948,Syllidae,"Grube, 1850",accepted,NA,Family,948,Syllidae,"Grube, 1850",928,Animalia,Annelida,Polychaeta,Phyllodocida,NA,1,0,0,0,0,exact
