"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"103","Patelloida mauritiana","Patelloida mauritiana","Patelloida mauritiana","species",128458,FALSE,NA
"104","Patelloidagrosulcata","Patelloidagrosulcata","Patelloida nigrosulcata",NA,383237,FALSE,NA
"105","Scurria parasitica","Scurria parasitica","Scurria parasitica","species",908441,FALSE,NA
"106","Cellanagrolineata","Cellanagrolineata","Cellana nigrolineata",NA,911626,FALSE,NA
"107","Bathyacmaeapponica","Bathyacmaeapponica","Bathyacmaea nipponica",NA,212296,FALSE,NA
"108","Emarginulaegata","Emarginulaegata","Emarginula fissura",NA,2886782,FALSE,NA
"109","Camaena","Camaena","Camaena","genus",394815,FALSE,"sibling_higher"
"110","Satsuma myomphala","Satsuma myomphala","Satsuma myomphala","species",1008091,FALSE,NA
"111","Satsuma sadamii","Satsuma sadamii","Satsuma sadamii","species",1008087,FALSE,NA
"112","Satsuma eucosmia","Satsuma eucosmia","Satsuma eucosmia","species",1008094,FALSE,NA
"113","Satsuma largillierti","Satsuma largillierti","Satsuma largillierti","species",1008088,FALSE,NA
"114","Satsuma amanoi","Satsuma amanoi","Satsuma amanoi","species",1008092,FALSE,NA
"115","Satsuma adelinae","Satsuma adelinae","Satsuma adelinae","species",1091071,FALSE,NA
"116","Satsuma sororcula","Satsuma sororcula","Satsuma sororcula","species",380995,FALSE,NA
"117","Satsuma shigetai","Satsuma shigetai","Satsuma shigetai","species",380994,FALSE,NA
"118","Satsuma tokunoshimana","Satsuma tokunoshimana","Satsuma tokunoshimana","species",380993,FALSE,NA
"119","Satsuma hemihelvus","Satsuma hemihelvus","Satsuma hemihelvus","species",95590,FALSE,NA
"120","Satsuma omoro","Satsuma omoro","Satsuma omoro","species",95587,FALSE,NA
"121","Scapharca globosa","Scapharca globosa","Scapharca globosa","species",245276,FALSE,NA
"122","Gigantidas crypta","Gigantidas crypta","Adipicola crypta","species",867101,TRUE,NA
"123","Idas iwaotakii","Idas iwaotakii","Adipicola iwaotakii","species",867102,TRUE,NA
