"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"204","Hiodon alosoides","Hiodon alosoides","Hiodon alosoides","species",133409,FALSE,NA
"205","Lamprogrammusger","Lamprogrammusger","Lamprogrammus",NA,913373,FALSE,NA
"206","Bregmacerosctabanus","Bregmacerosctabanus","Bregmaceros nectabanus",NA,887845,FALSE,NA
"207","Monocentris japonicus","Monocentris japonicus","Monocentris japonicus",NA,837716,FALSE,NA
"208","Indostomus paradoxus","Indostomus paradoxus","Indostomus paradoxus","species",989902,FALSE,NA
"209","Cottus reinii","Cottus reinii","Cottus reinii","species",1000755,FALSE,NA
"210","Eleotris acanthopoma","Eleotris acanthopoma","Eleotris acanthopoma","species",78295,FALSE,NA
"211","Iriatherina werneri","Iriatherina werneri","Iriatherina werneri","species",731206,FALSE,NA
"212","Oryzias marmoratus","Oryzias marmoratus","Oryzias marmoratus","species",270079,FALSE,NA
"213","Coreoperca kawamebari","Coreoperca kawamebari","Coreoperca kawamebari","species",105922,FALSE,NA
"214","Lepomis macrochirus","Lepomis macrochirus","Lepomis macrochirus","species",836783,FALSE,NA
"215","Etheostoma zonale","Etheostoma zonale","Etheostoma zonale","species",915663,FALSE,NA
"216","Centropyge loricula","Centropyge loricula","Centropyge loricula","species",222637,FALSE,NA
"217","Neolamprologus brichardi","Neolamprologus brichardi","Neolamprologus brichardi","species",279935,FALSE,NA
"218","Tropheus duboisi","Tropheus duboisi","Tropheus duboisi","species",135962,FALSE,NA
"219","Foetorepus altivelis","Foetorepus altivelis","Foetorepus altivelis",NA,3632718,FALSE,NA
"220","Trichogaster lalius","Trichogaster lalius","Trichogaster lalius","species",956318,FALSE,NA
"221","Macropodus chinensis","Macropodus chinensis","Macropodus chinensis","species",1033364,FALSE,NA
"222","Channa argus","Channa argus","Channa argus","species",229205,FALSE,NA
"223","Parachanna insignis","Parachanna insignis","Parachanna insignis","species",229217,FALSE,NA
"224","Sundasalanx mekongensis","Sundasalanx mekongensis","Sundasalanx mekongensis","species",481653,FALSE,NA
"225","Megapteravaeangliae","Megapteravaeangliae","Megaptera novaeangliae",NA,226198,FALSE,NA
"226","Xenotoca eiseni","Xenotoca eiseni","Xenotoca eiseni","species",134571,FALSE,NA
"227","Percichthys trucha","Percichthys trucha","Percichthys trucha","species",599903,FALSE,NA
"228","Elassoma zonatum","Elassoma zonatum","Elassoma zonatum","species",777473,FALSE,NA
"229","Anguillabulosa","Anguillabulosa","Anguilla nebulosa",NA,730880,FALSE,NA
"230","Cromeria occidentalis","Cromeria occidentalis","Cromeria occidentalis","species",328732,FALSE,NA
"231","Denticeps clupeoides","Denticeps clupeoides","Denticeps clupeoides","species",80438,FALSE,NA
"232","Grasseichthys gabonensis","Grasseichthys gabonensis","Grasseichthys gabonensis","species",80435,FALSE,NA
