"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"528","Callyspongia siphonella","Callyspongia siphonella","species",NA,166452,2245959,373437,NA,"Callyspongia siphonella","Callyspongia siphonella","Callyspongia siphonella (Lévi, 1965)","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"529","Narella hawaiinensis","Narella hawaiinensis","species",NA,514172,6473521,515386,NA,"Narella hawaiinensis","Narella hawaiinensis","Narella hawaiinensis Cairns & Bayer, 2007","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"530","Embata commensalis","Embata commensalis","species",NA,682769,1000940,841828,NA,"Embata commensalis","Embata commensalis","Embata commensalis (Western, 1893)","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"531","Embata laticornis","Embata laticornis","species",NA,682770,1000939,4953079,NA,"Embata laticornis","Embata laticornis","Embata laticornis (Murray, 1905)","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"532","Habrotrocha bidens","Habrotrocha bidens","species",NA,682771,1001199,267241,NA,"Habrotrocha bidens","Habrotrocha bidens","Habrotrocha bidens (Gosse, 1851)","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"533","Habrotrocha elusa","Habrotrocha elusa","species",NA,752030,1001224,267240,NA,"Habrotrocha elusa","Habrotrocha elusa","Habrotrocha elusa Milne, 1916","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"534","Habrotrocha ligula","Habrotrocha ligula","species",NA,682773,1001247,4952883,NA,"Habrotrocha ligula","Habrotrocha ligula","Habrotrocha ligula Bryce, 1913","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"535","Macrotrachela habita","Macrotrachela habita","species",NA,247809,1001042,267237,NA,"Macrotrachela habita","Macrotrachela habita","Macrotrachela habita (Bryce, 1894)","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"536","Macrotrachela papillosa","Macrotrachela papillosa","species",NA,682774,1000972,267232,NA,"Macrotrachela papillosa","Macrotrachela papillosa","Macrotrachela papillosa Thompson, 1892","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"537","Mniobia magna","Mniobia magna","species",NA,682776,1000882,4953124,NA,"Mniobia magna","Mniobia magna","Mniobia magna (Plate, 1889)","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"538","Philodinavus paradoxus","Philodinavus paradoxus","species",NA,682781,1001330,633720,NA,"Philodinavus paradoxus","Philodinavus paradoxus","Philodinavus paradoxus (Murray, 1905)","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"539","Pleuretra hystrix","Pleuretra hystrix","species",NA,682782,1000821,790565,NA,"Pleuretra hystrix","Pleuretra hystrix","Pleuretra hystrix Bartoš, 1950","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"540","Brachionus sessilis","Brachionus sessilis","species",NA,682792,4984201,2941943,NA,"Brachionus sessilis","Brachionus sessilis","Brachionus sessilis Varga, 1951","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"541","Cephalothrix alba","Cephalothrix alba","species",NA,650007,6487495,2931213,NA,"Cephalothrix alba","Cephalothrix alba","Cephalothrix alba Gibson & Sundberg, 1992","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"542","Ototyphlonemertes macintoshi","Ototyphlonemertes macintoshi","species",NA,652868,2507542,847363,NA,"Ototyphlonemertes macintoshi","Ototyphlonemertes macintoshi","Ototyphlonemertes macintoshi Bürger, 1895","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"543","Ototyphlonemertes duplex","Ototyphlonemertes duplex","species",NA,652865,2507566,847362,NA,"Ototyphlonemertes duplex","Ototyphlonemertes duplex","Ototyphlonemertes duplex Bürger, 1895","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"544","Campanularia subantarctica","Campanularia subantarctica","species",NA,717398,5186131,3683851,NA,"Campanularia lennoxensis","Campanularia subantarctica","Campanularia subantarctica Millard, 1971","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"545","Echiniscus jenningsi","Echiniscus jenningsi","species",NA,683398,2253066,530433,NA,"Echiniscus jenningsi","Echiniscus jenningsi","Echiniscus jenningsi Dastych, 1984","Tardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"546","Diphascon puniceum","Diphascon puniceum","species",NA,683399,2253994,530430,NA,"Diphascon puniceum","Diphascon puniceum","Diphascon puniceum (Jennings, 1976)","Tardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
