"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"68","Pelophila borealis","Pelophila borealis",NA,NA,NA,NA,5421009,NA,"Pelophila borealis",NA,NA,"Xenacoelomorpha",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"69","Dipleuchlanis propatula","Dipleuchlanis propatula",NA,NA,NA,NA,2942300,NA,"Dipleuchlanis propatula",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"70","Eunapiusor","Euryparyphes",NA,NA,NA,NA,53667,NA,"Euryparyphes",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"71","Rotaria rotatoria","Rotaria rotatoria",NA,NA,NA,NA,1018353,NA,"Rotaria rotatoria",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"72","Rotaria socialis","Rotaria socialis",NA,NA,NA,NA,48507,NA,"Rotaria socialis",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"73","Rotaria sordida","Rotaria sordida",NA,NA,NA,NA,48506,NA,"Rotaria sordida",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"74","Rotaria tardigrada","Rotaria tardigrada",NA,NA,NA,NA,48499,NA,"Rotaria tardigrada",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"75","Echiniscidae","Echiniscidae",NA,NA,NA,NA,963273,NA,"Echiniscidae",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"76","Bradyscela clauda","Bradyscela clauda",NA,NA,NA,NA,991847,NA,"Bradyscela clauda",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"77","Adineta","Adineta",NA,NA,NA,NA,681218,NA,"Adineta",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"78","Adineta steineri","Adineta steineri",NA,NA,NA,NA,743723,NA,"Adineta steineri",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"79","Adineta vaga","Adineta vaga",NA,NA,NA,NA,681215,NA,"Adineta vaga",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"80","Hymeniacidon sinapium","Hymeniacidon sinapium",NA,NA,NA,NA,372516,NA,"Hymeniacidon sinapium",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"81","Echiniscus testudo","Echiniscus testudo",NA,NA,NA,NA,66117,NA,"Echiniscus testudo",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"82","Lubomirskia baikalensis","Lubomirskia baikalensis",NA,NA,NA,NA,2835174,NA,"Lubomirskia baikalensis",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"83","Swartschewskia papyracea","Swartschewskia papyracea",NA,NA,NA,NA,386303,NA,"Swartschewskia papyracea",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"84","Echiniscus blumi","Echiniscus blumi",NA,NA,NA,NA,279871,NA,"Echiniscus blumi",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"85","Rotaria macroceros","Rotaria macroceros",NA,NA,NA,NA,755138,NA,"Rotaria macroceros",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"86","Rotaria magnacalcarata","Rotaria magnacalcarata",NA,NA,NA,NA,48505,NA,"Rotaria magnacalcarata",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"87","Richtersius coronifer","Richtersius coronifer",NA,NA,NA,NA,176559,NA,"Richtersius coronifer",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"88","Favia danae","Dipsastraea danai",NA,NA,NA,NA,826595,NA,"Dipsastraea danai",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"89","Favia favus","Dipsastraea favus",NA,NA,NA,NA,145361,NA,"Dipsastraea favus",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"90","Favites paraflexuosa","Favites paraflexuosus",NA,NA,NA,NA,98779,NA,"Favites paraflexuosus",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"91","Favia laxa","Dipsastraea laxa",NA,NA,NA,NA,3675701,NA,"Dipsastraea laxa",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"92","Favia","Favia","genus",NA,29901,10241599,992408,NA,"Favia","Favia","Favia De Blainville, 1820","Cnidaria","accepted",NA,FALSE,"",NA,"Animalia","Anthozoa","Scleractinia","Scleractinia incertae sedis","Favia","0","0"
"93","Borealibius zetlandicus","Borealibius zetlandicus",NA,NA,NA,NA,37214,NA,"Borealibius zetlandicus",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"94","Gelatinella toanensis","Gelatinella toanensis",NA,NA,NA,NA,1089103,NA,"Gelatinella toanensis",NA,NA,"Bryozoa",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"95","Pectinatella magnifica","Pectinatella magnifica",NA,NA,NA,NA,189631,NA,"Pectinatella magnifica",NA,NA,"Bryozoa",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
