taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Ocenebra hispidula,Muricidae,774404,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Ocenebra edwardsii,Muricidae,2909166,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Ocenebra ingloria,Muricidae,2909182,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Ocenebra piantonii,Muricidae,2909164,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Ocenebra nicolai,Muricidae,2909189,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Ocenebra leukos,Muricidae,2909160,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Merica boucheti,Cancellariidae,260207,13600,Cancellariidae,"Forbes & Hanley, 1851",accepted,NA,Family,13600,Cancellariidae,"Forbes & Hanley, 1851",1055738,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,0,exact
Pareledone felix,Megaleledonidae,31645,834050,Megaleledonidae,"Taki, 1961",accepted,NA,Family,834050,Megaleledonidae,"Taki, 1961",14672,Animalia,Mollusca,Cephalopoda,Octopoda,NA,1,NA,0,0,NA,exact
Duplicaria bernardii,Terebridae,330019,160424,Terebridae,"Mörch, 1852",accepted,NA,Family,160424,Terebridae,"Mörch, 1852",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Terebra formosa,Terebridae,228045,160424,Terebridae,"Mörch, 1852",accepted,NA,Family,160424,Terebridae,"Mörch, 1852",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Lophiotoma jickeli,Turridae,1000914,152,Turridae,"H. Adams & A. Adams, 1853 (1838)",accepted,NA,Family,152,Turridae,"H. Adams & A. Adams, 1853 (1838)",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Tomopleura reevii,Borsoniidae,989825,153870,Borsoniidae,"Bellardi, 1875",accepted,NA,Family,153870,Borsoniidae,"Bellardi, 1875",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Clionella kraussii,Clavatulidae,2913642,411813,Clavatulidae,"Gray, 1853",accepted,NA,Family,411813,Clavatulidae,"Gray, 1853",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Conasprella mcgintyi,Conidae,2903401,14107,Conidae,"J. Fleming, 1822",accepted,NA,Family,14107,Conidae,"J. Fleming, 1822",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,0,0,0,0,exact
Triplostephanus fenestratus,Terebridae,718019,160424,Terebridae,"Mörch, 1852",accepted,NA,Family,160424,Terebridae,"Mörch, 1852",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Clavatulidae,Clavatulidae,NULL,411813,Clavatulidae,"Gray, 1853",accepted,NA,Family,411813,Clavatulidae,"Gray, 1853",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Lienardia nigrotincta,Clathurellidae,78088,153873,Clathurellidae,"H. Adams & A. Adams, 1858",accepted,NA,Family,153873,Clathurellidae,"H. Adams & A. Adams, 1858",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Eclogavena quadrimaculata,Cypraeidae,561905,23022,Cypraeidae,"Rafinesque, 1815",accepted,NA,Family,23022,Cypraeidae,"Rafinesque, 1815",14774,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Canarium fusiforme,Strombidae,1039288,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Canarium wilsonorum,Strombidae,2430,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Canarium microurceus,Strombidae,584382,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
