query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Chaetonotus daphnes,Chaetonotidae,520721,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus microchaetus,Chaetonotidae,521412,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus heideri,Chaetonotidae,1046091,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus similis,Chaetonotidae,300138,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus aemilianus,Chaetonotidae,962918,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus dispar,Chaetonotidae,2844441,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus polyspinosus,Chaetonotidae,300177,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus acanthocephalus,Chaetonotidae,695364,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus oculifer,Chaetonotidae,2844427,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus armatus,Chaetonotidae,695651,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus laroides,Chaetonotidae,520947,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus hystrix,Chaetonotidae,521020,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Chaetonotus sphagnophilus,Chaetonotidae,2844466,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Ichthydium skandicum,Chaetonotidae,744028,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",accepted,NA,Family,114416,Chaetonotidae,"Gosse, 1864 sensu Leasi & Todaro, 2008",154555,Animalia,Gastrotricha,NA,Chaetonotida,NA,1,0,1,0,NA,exact
Pallisentis celatus,Quadrigyridae,751490,20302,Quadrigyridae,"Van Cleave, 1920",accepted,NA,Family,20302,Quadrigyridae,"Van Cleave, 1920",20301,Animalia,Acanthocephala,Eoacanthocephala,Gyracanthocephala,NA,1,1,1,NA,NA,exact
Brachionus falcatus,Brachionidae,700608,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Keratella morenoi,Brachionidae,620072,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Lecane crepida,Lecanidae,429871,134921,Lecanidae,"Remane, 1933",accepted,NA,Family,134921,Lecanidae,"Remane, 1933",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Lecane rhenana,Lecanidae,349144,134921,Lecanidae,"Remane, 1933",accepted,NA,Family,134921,Lecanidae,"Remane, 1933",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Lecane spinulifera,Lecanidae,581939,134921,Lecanidae,"Remane, 1933",accepted,NA,Family,134921,Lecanidae,"Remane, 1933",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,0,exact
Macrochaetus collinsi,Trichotriidae,563703,368565,Trichotriidae,"Harring, 1913",accepted,NA,Family,368565,Trichotriidae,"Harring, 1913",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,NA,1,NA,NA,exact
Trichocerca longiseta,Trichocercidae,352613,134925,Trichocercidae,"Harring, 1913",accepted,NA,Family,134925,Trichocercidae,"Harring, 1913",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,1,NA,exact
Brachionus sericus,Brachionidae,797562,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Prosadenoporus spectaculum,Prosorhochmidae,5476482,122328,Prosorhochmidae,"Bürger, 1895",accepted,NA,Family,122328,Prosorhochmidae,"Bürger, 1895",568218,Animalia,Nemertea,Hoplonemertea,Monostilifera,NA,1,1,0,0,0,exact
Pelophila borealis,Actinoposthiidae,5421009,379797,Actinoposthiidae,"Hooge, 2001",accepted,NA,Family,379797,Actinoposthiidae,"Hooge, 2001",2847,Animalia,Xenacoelomorpha,NA,Acoela,NA,1,NA,NA,NA,NA,exact
Callyspongia siphonella,Callyspongiidae,373437,131635,Callyspongiidae,"Laubenfels, 1936",accepted,NA,Family,131635,Callyspongiidae,"Laubenfels, 1936",131598,Animalia,Porifera,Demospongiae,Haplosclerida,NA,1,0,0,0,0,exact
Embata commensalis,Philodinidae,841828,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Embata laticornis,Philodinidae,4953079,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Macrotrachela papillosa,Philodinidae,267232,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Mniobia magna,Philodinidae,4953124,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Pleuretra hystrix,Philodinidae,790565,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Brachionus sessilis,Brachionidae,2941943,134918,Brachionidae,"Ehrenberg, 1838",accepted,NA,Family,134918,Brachionidae,"Ehrenberg, 1838",17904,Animalia,Rotifera,Eurotatoria,Ploima,NA,1,1,1,NA,NA,exact
Callinera kasyanovi,Tubulanidae,5677263,122321,Tubulanidae,"Bürger, 1905",accepted,NA,Family,122321,Tubulanidae,"Bürger, 1905",1451609,Animalia,Nemertea,Palaeonemertea,Tubulaniformes,NA,1,NA,NA,NA,NA,exact
