query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Meridiopyrgus muaukau,Tateidae,392292,722759,Tateidae,"Thiele, 1925",accepted,NA,Family,722759,Tateidae,"Thiele, 1925",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Astralium mactanensis,Turbinidae,525135,503,Turbinidae,"Rafinesque, 1815",accepted,NA,Family,503,Turbinidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Melanoides truncatelliformis,Thiaridae,26213,196287,Thiaridae,"Gill, 1871 (1823)",accepted,NA,Family,196287,Thiaridae,"Gill, 1871 (1823)",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,0,1,1,0,NA,exact
Melanoides pubiformis,Thiaridae,599130,196287,Thiaridae,"Gill, 1871 (1823)",accepted,NA,Family,196287,Thiaridae,"Gill, 1871 (1823)",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,0,1,1,0,NA,exact
Melanoides nyassana/polymorpha,Thiaridae,599128,196287,Thiaridae,"Gill, 1871 (1823)",accepted,NA,Family,196287,Thiaridae,"Gill, 1871 (1823)",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,0,1,1,0,NA,exact
Tryonia (genus in Opisthokonta,Cochliopidae,NULL,411706,Cochliopidae,"Tryon, 1866",accepted,NA,Family,411706,Cochliopidae,"Tryon, 1866",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,0,NA,exact
Diloma samoaensis,Trochidae,538080,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma coracina,Trochidae,150227,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma bicanaliculata,Trochidae,150229,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma zelandica,Trochidae,150232,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma arida,Trochidae,150233,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Diloma subrostrata,Trochidae,150234,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Melagraphia aethiops,Trochidae,673144,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Mollusca,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Pitar sulfureum,Veneridae,258787,243,Veneridae,"Rafinesque, 1815",accepted,NA,Family,243,Veneridae,"Rafinesque, 1815",14638,Animalia,Mollusca,Bivalvia,Venerida,NA,1,1,NA,NA,NA,exact
Lavigeria (genus in Opisthokonta,Thiaridae,NULL,196287,Thiaridae,"Gill, 1871 (1823)",accepted,NA,Family,196287,Thiaridae,"Gill, 1871 (1823)",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,0,1,1,0,NA,exact
