"query","species"
"Maurolicus muelleri","Maurolicus muelleri"
"Sternoptyx diaphana","Sternoptyx diaphana"
"Sternoptyx obscura","Sternoptyx obscura"
"Sternoptyx pseudobscura","Sternoptyx pseudobscura"
"Valenciennellus tripunctulatus","Valenciennellus tripunctulatus"
"Ichthyococcus elongatus","Ichthyococcus elongatus"
"Ichthyococcus irregularis","Ichthyococcus irregularis"
"Vinciguerria lucetia","Vinciguerria lucetia"
"Vinciguerria nimbaria","Vinciguerria nimbaria"
"Vinciguerria poweriae","Vinciguerria poweriae"
"Woodsia nonsuchae","Woodsia nonsuchae"
"Aristostomias scintillans","Aristostomias scintillans"
"Bathophilus brevis","Bathophilus brevis"
"Bathophilus filifer","Bathophilus filifer"
"Bathophilus flemingi","Bathophilus flemingi"
"Borostomias panamensis","Borostomias panamensis"
"Chauliodus macouni","Chauliodus macouni"
"Chauliodus sloani","Chauliodus sloani"
"Eustomias perplexus","Eustomias perplexus"
"Flagellostomias boureei","Flagellostomias boureei"
"Idiacanthus antrostomus","Idiacanthus antrostomus"
"Idiacanthus fasciola","Idiacanthus fasciola"
"Malacosteus niger","Malacosteus niger"
"Melanostomias valdiviae","Melanostomias valdiviae"
"Neonesthes capensis","Neonesthes capensis"
"Opostomias mitsuii","Opostomias mitsuii"
"Pachystomias microdon","Pachystomias microdon"
"Photonectes margarita","Photonectes margarita"
"Photonectes intermedius","Photonectes margarita"
"Rhadinesthes decimus","Rhadinesthes decimus"
"Stomias atriventer","Stomias atriventer"
"Tactostoma macropus","Tactostoma macropus"
"Aulopus bajacali","Aulopus bajacali"
"Synodus evermanni","Synodus evermanni"
"Synodus lacertinus","Synodus lacertinus"
"Synodus lucioceps","Synodus lucioceps"
"Synodus scituliceps","Synodus scituliceps"
"Synodus sechurae","Synodus sechurae"
"Benthalbella dentata","Benthalbella dentata"
"Benthalbella linguidens","Benthalbella linguidens"
"Rosenblattichthys volucris","Rosenblattichthys volucris"
"Scopelarchoides nicholsi","Scopelarchoides nicholsi"
"Scopelarchus analis","Scopelarchus analis"
"Scopelarchus guentheri","Scopelarchus guentheri"
"Evermannella ahlstromi","Evermannella ahlstromi"
"Alepisaurus ferox","Alepisaurus ferox"
"Anotopterus nikparini","Anotopterus nikparini"
"Anotopterus pharao","Anotopterus pharao"
"Arctozenus risso","Arctozenus risso"
"Notolepis coruscans","Arctozenus risso"
"Lestidiops neles","Lestidiops neles"
"Lestidiops pacificus","Lestidiops pacificus"
"Lestidiops jayakari","Lestidiops jayakari"
"Lestidiops jayakari","Lestidiops pseudosphyraenoides"
"Lestidiops ringens","Lestidiops ringens"
"Lestidiops sphyraenopsis","Lestidiops sphyraenopsis"
"Macroparalepis johnfitchi","Macroparalepis johnfitchi"
"Lestidium johnfitchi","Macroparalepis johnfitchi"
"Magnisudis atlantica","Magnisudis atlantica"
"Stemonosudis macrura","Stemonosudis macrura"
"Sudis atrox","Sudis atrox"
"Bathysaurus mollis","Bathysaurus mollis"
"Ahliesaurus brevis","Ahliesaurus brevis"
"Scopelosaurus adleri","Scopelosaurus adleri"
"Scopelosaurus harryi","Scopelosaurus harryi"
"Bathypterois atricolor","Bathypterois atricolor"
"Bathypterois ventralis","Bathypterois ventralis"
"Gigantura indica","Gigantura indica"
"Bathyleptus lisae","Gigantura indica"
"Neoscopelus macrolepidotus","Neoscopelus macrolepidotus"
"Scopelengys tristis","Scopelengys tristis"
"Benthosema glaciale","Benthosema glaciale"
"Benthosema panamense","Benthosema panamense"
"Benthosema pterotum","Benthosema pterotum"
"Benthosema suborbitale","Benthosema suborbitale"
"Bolinichthys longipes","Bolinichthys longipes"
"Bolinichthys pyrsobolus","Bolinichthys pyrsobolus"
"Centrobranchus nigroocellatus","Centrobranchus nigroocellatus"
"Centrobranchus andreae","Centrobranchus andreae"
"Ceratoscopelus townsendi","Ceratoscopelus townsendi"
"Diaphus anderseni","Diaphus anderseni"
"Diaphus fulgens","Diaphus fulgens"
"Diaphus rafinesquii","Diaphus rafinesquii"
"Diaphus kuroshio","Diaphus kuroshio"
"Diaphus pacificus","Diaphus pacificus"
"Diaphus parri","Diaphus parri"
"Diaphus theta","Diaphus theta"
"Diaphus trachops","Diaphus trachops"
"Diogenichthys atlanticus","Diogenichthys atlanticus"
"Diogenichthys laternatus","Diogenichthys laternatus"
"Electrona risso","Electrona risso"
"Gonichthys tenuiculus","Gonichthys tenuiculus"
"Hygophum atratum","Hygophum atratum"
"Hygophum proximum","Hygophum proximum"
"Hygophum reinhardti","Hygophum reinhardtii"
"Lampadena urophaos","Lampadena urophaos"
"Lampadena yaquinae","Lampadena yaquinae"
"Lampanyctus festivus","Lampanyctus festivus"
"Lampanyctus tenuiformis","Lampanyctus tenuiformis"
"Lampanyctus jordani","Lampanyctus jordani"
"Lampanyctus nobilis","Lampanyctus nobilis"
"Lampanyctus parvicauda","Lampanyctus parvicauda"
"Lampanyctus steinbecki","Lampanyctus steinbecki"
"Loweina rara","Loweina rara"
"Loweina laurae","Loweina rara"
"Myctophum aurolaternatum","Myctophum aurolaternatum"
"Myctophum nitidulum","Myctophum nitidulum"
"Nannobrachium bristori","Nannobrachium bristori"
"Lampanyctus bristori","Nannobrachium bristori"
"Nannobrachium fernae","Nannobrachium fernae"
"Lampanyctus fernae","Nannobrachium fernae"
"Nannobrachium gibbsi","Nannobrachium gibbsi"
"Nannobrachium hawaiiensis","Nannobrachium hawaiiensis"
"Lampanyctus hawaiiensis","Nannobrachium hawaiiensis"
"Nannobrachium idostigma","Nannobrachium idostigma"
"Lampanyctus idostigma","Nannobrachium idostigma"
"Nannobrachium nigrum","Nannobrachium nigrum"
"Lampanyctus niger","Nannobrachium nigrum"
"Nannobrachium regale","Nannobrachium regale"
"Lampanyctus regalis","Nannobrachium regale"
"Nannobrachium ritteri","Nannobrachium ritteri"
"Lampanyctus ritteri","Nannobrachium ritteri"
"Notolychnus valdiviae","Notolychnus valdiviae"
"Notoscopelus japonicus","Notoscopelus japonicus"
"Notoscopelus resplendens","Notoscopelus resplendens"
"Parvilux ingens","Parvilux ingens"
"Protomyctophum crockeri","Protomyctophum crockeri"
"Protomyctophum thompsoni","Protomyctophum thompsoni"
"Stenobrachius leucopsarus","Stenobrachius leucopsarus"
"Stenobrachius nannochir","Stenobrachius nannochir"
"Symbolophorus californiensis","Symbolophorus californiensis"
"Symbolophorus evermanni","Symbolophorus evermanni"
"Symbolophorus reversus","Symbolophorus reversus"
"Taaningichthys bathyphilus","Taaningichthys bathyphilus"
"Taaningichthys minimus","Taaningichthys minimus"
"Taaningichthys paurolychnus","Taaningichthys paurolychnus"
"Tarletonbeania crenularis","Tarletonbeania crenularis"
"Tarletonbeania taylori","Tarletonbeania taylori"
"Triphoturus mexicanus","Triphoturus mexicanus"
"Triphoturus nigrescens","Triphoturus nigrescens"
"Lampris guttatus","Lampris guttatus"
"Lampris incognitus","Lampris incognitus"
"Lampris megalopsis","Lampris megalopsis"
"Lophotus capellei","Lophotus capellei"
"Lophotus lacepede","Lophotus lacepede"
"Desmodema lorum","Desmodema lorum"
"Trachipterus altivelis","Trachipterus altivelis"
"Trachipterus trachypterus","Trachipterus trachypterus"
"Trachipterus fukuzakii","Trachipterus fukuzakii"
"Zu cristatus","Zu cristatus"
"Regalecus russelii","Regalecus russelii"
"Regalecus russellii","Regalecus russelii"
"Stylephorus chordatus","Stylephorus chordatus"
"Bregmaceros bathymaster","Bregmaceros bathymaster"
"Bregmaceros atlanticus","Bregmaceros atlanticus"
"Coelorinchus scaphopsis","Coelorinchus scaphopsis"
"Coryphaenoides acrolepis","Coryphaenoides acrolepis"
"Coryphaenoides anguliceps","Coryphaenoides anguliceps"
"Coryphaenoides armatus","Coryphaenoides armatus"
"Coryphaenoides capito","Coryphaenoides capito"
"Coryphaenoides cinereus","Coryphaenoides cinereus"
"Coryphaenoides filifer","Coryphaenoides filifer"
"Chalinura filifera","Coryphaenoides filifer"
"Coryphaenoides leptolepis","Coryphaenoides leptolepis"
"Coryphaenoides liocephalus","Coryphaenoides liocephalus"
"Coryphaenoides longifilis","Coryphaenoides longifilis"
"Bogoslovius clarki","Coryphaenoides longifilis"
"Coryphaenoides pectoralis","Albatrossia pectoralis"
"Albatrossia pectoralis","Albatrossia pectoralis"
"Coryphaenoides yaquinae","Coryphaenoides yaquinae"
"Malacocephalus laevis","Malacocephalus laevis"
"Mesovagus berryi","Mesobius berryi"
"Mesobius berryi","Mesobius berryi"
"Nezumia convergens","Nezumia convergens"
"Nezumia kensmithi","Nezumia kensmithi"
"Nezumia liolepis","Nezumia liolepis"
"Nezumia stelgidolepis","Nezumia stelgidolepis"
"Echinomacrurus occidentalis","Echinomacrurus occidentalis"
"Antimora microlepis","Antimora microlepis"
"Antimora rostrata","Antimora rostrata"
"Halargyreus johnsonii","Halargyreus johnsonii"
"Laemonema longipes","Laemonema longipes"
"Laemonema verecundum","Laemonema verecundum"
"Microlepedium verecundum","Laemonema verecundum"
"Lepidion schmidti","Lepidion schmidti"
"Lepidion inosimae","Lepidion inosimae"
"Physiculus nematopus","Physiculus nematopus"
"Physiculus rastrelliger","Physiculus rastrelliger"
"Physiculus talarae","Physiculus talarae"
"Melanonus zugmayeri","Melanonus zugmayeri"
"Merluccius productus","Merluccius productus"
"Merluccius angustimanus","Merluccius angustimanus"
"Arctogadus glacialis","Arctogadus glacialis"
"Arctogadus borisovi","Arctogadus glacialis"
