"","species","ednafish","mifishlist","npfish","hakaiseinefish"
"4972","Congriscus megastomus",0,1,1,0
"4973","Congrogadus spinifer",0,1,0,0
"4974","Congrogadus subducens",0,1,0,0
"4975","Conidens laticephalus",0,1,0,0
"4976","Conocara kreffti",0,1,0,0
"4977","Conocara macropterum",0,1,0,0
"4978","Conocara murrayi",0,1,0,0
"4979","Conocara nigrum",0,1,0,0
"4980","Conocara salmoneum",0,1,1,0
"4981","Conodon nobilis",0,1,0,0
"4982","Conodon serrifer",0,1,0,0
"4983","Conorhynchos conirostris",0,1,0,0
"4984","Conta conta",0,1,0,0
"4985","Cookeolus japonicus",0,1,0,0
"4986","Copadichromis borleyi",0,1,0,0
"4987","Copadichromis jacksoni",0,1,0,0
"4988","Copadichromis mbenjii",0,1,0,0
"4989","Copadichromis mloto",0,1,0,0
"4990","Copadichromis quadrimaculatus",0,1,0,0
"4991","Copadichromis trimaculatus",0,1,0,0
"4992","Copadichromis virginalis",0,1,0,0
"4993","Copella arnoldi",0,1,0,0
"4994","Copella carsevennensis",0,1,0,0
"4995","Copella nattereri",0,1,0,0
"4996","Copella nigrofasciata",0,1,0,0
"4997","Cophecheilus bamen",0,1,0,0
"4998","Copionodon lianae",0,1,0,0
"4999","Copionodon orthiocarinatus",0,1,0,0
"5000","Copionodon pecten",0,1,0,0
"5001","Coptobrycon bilineatus",0,1,0,0
"5002","Coptodon bakossiorum",0,1,0,0
"5003","Coptodon bemini",0,1,0,0
"5004","Coptodon bythobates",0,1,0,0
"5005","Coptodon camerunensis",0,1,0,0
"5006","Coptodon congicus",0,1,0,0
"5007","Coptodon dageti",0,1,0,0
"5008","Coptodon deckerti",0,1,0,0
"5009","Coptodon discolor",0,1,0,0
"5010","Coptodon guineensis",0,1,0,0
"5011","Coptodon kottae",0,1,0,0
"5012","Coptodon louka",0,1,0,0
"5013","Coptodon nyongana",0,1,0,0
"5014","Coptodon rendalli",0,1,0,0
"5015","Coptodon snyderae",0,1,0,0
"5016","Coptodon tholloni",0,1,0,0
"5017","Coptodon walteri",0,1,0,0
"5018","Coptodon zillii",0,1,0,0
"5019","Coptostomabarbus wittei",0,1,0,0
"5020","Coradion altivelis",0,1,0,0
"5021","Coradion chrysozonus",0,1,0,0
"5022","Coradion melanopus",0,1,0,0
"5023","Coralliozetus angelicus",0,1,0,0
"5024","Coralliozetus boehlkei",0,1,0,0
"5025","Coralliozetus cardonae",0,1,0,0
"5026","Coralliozetus rosenblatti",0,1,0,0
"5027","Coralliozetus springeri",0,1,0,0
"5028","Coranthus polyacanthus",0,1,0,0
"5029","Corcyrogobius liechtensteini",0,1,0,0
"5030","Corcyrogobius lubbocki",0,1,0,0
"5031","Corcyrogobius pulcher",0,1,0,0
"5032","Cordylancistrus platycephalus",0,1,0,0
"5033","Cordylancistrus santarosensis",0,1,0,0
"5034","Cordylancistrus torbesensis",0,1,0,0
"5035","Coregonus albula",0,1,0,0
"5036","Coregonus anaulorum",0,1,0,0
"5037","Coregonus arenicolus",0,1,0,0
"5038","Coregonus artedi",0,1,0,0
"5039","Coregonus autumnalis",0,1,0,0
"5040","Coregonus baerii",0,1,0,0
"5041","Coregonus baicalensis",0,1,0,0
"5042","Coregonus baunti",0,1,0,0
"5043","Coregonus bavaricus",0,1,0,0
"5044","Coregonus chadary",0,1,0,0
"5045","Coregonus clupeaformis",0,1,0,0
"5046","Coregonus fluviatilis",0,1,0,0
"5047","Coregonus fontanae",0,1,0,0
"5048","Coregonus holsatus",0,1,0,0
"5049","Coregonus hoyi",0,1,0,0
"5050","Coregonus huntsmani",0,1,0,0
"5051","Coregonus kiyi",0,1,0,0
"5052","Coregonus laurettae",0,1,1,0
"5053","Coregonus lavaretus",0,1,0,0
"5054","Coregonus lucinensis",0,1,0,0
"5055","Coregonus macrophthalmus",0,1,0,0
"5056","Coregonus maraena",0,1,0,0
"5057","Coregonus migratorius",0,1,0,0
"5058","Coregonus muksun",0,1,0,0
"5059","Coregonus nasus",0,1,0,0
"5060","Coregonus nigripinnis",0,1,0,0
"5061","Coregonus oxyrinchus",0,1,0,0
"5062","Coregonus peled",0,1,0,0
"5063","Coregonus pidschian",0,1,1,0
"5064","Coregonus pollan",0,1,0,0
"5065","Coregonus pravdinellus",0,1,0,0
"5066","Coregonus sardinella",0,1,1,0
"5067","Coregonus subautumnalis",0,1,0,0
"5068","Coregonus tugun",0,1,0,0
"5069","Coregonus ussuriensis",0,1,0,0
"5070","Coregonus zenithicus",0,1,0,0
"5071","Coreius guichenoti",0,1,0,0
"5072","Coreius heterodon",0,1,0,0
"5073","Coreoleuciscus aeruginos",0,1,0,0
"5074","Coreoleuciscus splendidus",0,1,0,0
"5075","Coreoperca herzi",0,1,0,0
"5076","Coreoperca kawamebari",0,1,0,0
"5077","Coreoperca whiteheadi",0,1,0,0
"5078","Corica laciniata",0,1,0,0
"5079","Corica soborna",0,1,0,0
"5080","Coris atlantica",0,1,0,0
"5081","Coris auricularis",0,1,0,0
"5082","Coris aurilineata",0,1,0,0
"5083","Coris aygula",0,1,0,0
"5084","Coris batuensis",0,1,0,0
"5085","Coris bulbifrons",0,1,0,0
"5086","Coris caudimacula",0,1,0,0
"5087","Coris cuvieri",0,1,0,0
"5088","Coris debueni",0,1,0,0
"5089","Coris dorsomacula",0,1,0,0
"5090","Coris flavovittata",0,1,0,0
"5091","Coris formosa",0,1,0,0
"5092","Coris frerei",0,1,0,0
"5093","Coris gaimard",0,1,0,0
"5094","Coris hewetti",0,1,0,0
"5095","Coris julis",0,1,0,0
"5096","Coris marquesensis",0,1,0,0
"5097","Coris melanura",0,1,0,0
"5098","Coris picta",0,1,0,0
"5099","Coris pictoides",0,1,0,0
"5100","Coris roseoviridis",0,1,0,0
"5101","Coris sandeyeri",0,1,0,0
"5102","Coris venusta",0,1,0,0
"5103","Corniger spinosus",0,1,0,0
"5104","Corumbataia britskii",0,1,0,0
"5105","Corumbataia cuestae",0,1,0,0
"5106","Corumbataia liliai",0,1,0,0
"5107","Corumbataia lucianoi",0,1,0,0
"5108","Corumbataia tocantinensis",0,1,0,0
"5109","Corumbataia veadeiros",0,1,0,0
"5110","Corvula macrops",0,1,0,0
"5111","Corvula sanctaeluciae",0,1,0,0
"5112","Corydoras acrensis",0,1,0,0
"5113","Corydoras acutus",0,1,0,0
"5114","Corydoras adolfoi",0,1,0,0
"5115","Corydoras aeneus",0,1,0,0
"5116","Corydoras agassizii",0,1,0,0
"5117","Corydoras albolineatus",0,1,0,0
"5118","Corydoras amapaensis",0,1,0,0
"5119","Corydoras ambiacus",0,1,0,0
"5120","Corydoras araguaiaensis",0,1,0,0
"5121","Corydoras arcuatus",0,1,0,0
"5122","Corydoras armatus",0,1,0,0
"5123","Corydoras atropersonatus",0,1,0,0
"5124","Corydoras aurofrenatus",0,1,0,0
"5125","Corydoras axelrodi",0,1,0,0
"5126","Corydoras bicolor",0,1,0,0
"5127","Corydoras bilineatus",0,1,0,0
"5128","Corydoras blochi",0,1,0,0
"5129","Corydoras boesemani",0,1,0,0
"5130","Corydoras bondi",0,1,0,0
"5131","Corydoras breei",0,1,0,0
"5132","Corydoras brevirostris",0,1,0,0
"5133","Corydoras britskii",0,1,0,0
"5134","Corydoras burgessi",0,1,0,0
"5135","Corydoras carlae",0,1,0,0
"5136","Corydoras caudimaculatus",0,1,0,0
"5137","Corydoras cervinus",0,1,0,0
"5138","Corydoras concolor",0,1,0,0
"5139","Corydoras condiscipulus",0,1,0,0
"5140","Corydoras copei",0,1,0,0
"5141","Corydoras coppenamensis",0,1,0,0
"5142","Corydoras coriatae",0,1,0,0
"5143","Corydoras cruziensis",0,1,0,0
"5144","Corydoras crypticus",0,1,0,0
"5145","Corydoras davidsandsi",0,1,0,0
"5146","Corydoras delphax",0,1,0,0
"5147","Corydoras difluviatilis",0,1,0,0
"5148","Corydoras diphyes",0,1,0,0
"5149","Corydoras duplicareus",0,1,0,0
"5150","Corydoras ehrhardti",0,1,0,0
"5151","Corydoras elegans",0,1,0,0
"5152","Corydoras ellisae",0,1,0,0
"5153","Corydoras ephippifer",0,1,0,0
"5154","Corydoras eques",0,1,0,0
"5155","Corydoras filamentosus",0,1,0,0
"5156","Corydoras flaveolus",0,1,0,0
"5157","Corydoras fowleri",0,1,0,0
"5158","Corydoras garbei",0,1,0,0
"5159","Corydoras geoffroy",0,1,0,0
"5160","Corydoras geryi",0,1,0,0
"5161","Corydoras gomezi",0,1,0,0
"5162","Corydoras gossei",0,1,0,0
"5163","Corydoras gracilis",0,1,0,0
"5164","Corydoras griseus",0,1,0,0
"5165","Corydoras guapore",0,1,0,0
"5166","Corydoras guianensis",0,1,0,0
"5167","Corydoras habrosus",0,1,0,0
"5168","Corydoras haraldschultzi",0,1,0,0
"5169","Corydoras hastatus",0,1,0,0
"5170","Corydoras imitator",0,1,0,0
"5171","Corydoras julii",0,1,0,0
"5172","Corydoras kanei",0,1,0,0
"5173","Corydoras lacerdai",0,1,0,0
"5174","Corydoras leopardus",0,1,0,0
"5175","Corydoras leucomelas",0,1,0,0
"5176","Corydoras loretoensis",0,1,0,0
"5177","Corydoras loxozonus",0,1,0,0
"5178","Corydoras maculifer",0,1,0,0
"5179","Corydoras melanistius",0,1,0,0
"5180","Corydoras melanotaenia",0,1,0,0
"5181","Corydoras melini",0,1,0,0
"5182","Corydoras metae",0,1,0,0
"5183","Corydoras multimaculatus",0,1,0,0
"5184","Corydoras nanus",0,1,0,0
"5185","Corydoras napoensis",0,1,0,0
"5186","Corydoras narcissus",0,1,0,0
"5187","Corydoras nattereri",0,1,0,0
"5188","Corydoras negro",0,1,0,0
"5189","Corydoras nijsseni",0,1,0,0
"5190","Corydoras oiapoquensis",0,1,0,0
"5191","Corydoras orcesi",0,1,0,0
"5192","Corydoras ornatus",0,1,0,0
"5193","Corydoras osteocarus",0,1,0,0
"5194","Corydoras ourastigma",0,1,0,0
"5195","Corydoras oxyrhynchus",0,1,0,0
"5196","Corydoras paleatus",0,1,0,0
"5197","Corydoras panda",0,1,0,0
"5198","Corydoras pantanalensis",0,1,0,0
"5199","Corydoras paragua",0,1,0,0
"5200","Corydoras pastazensis",0,1,0,0
"5201","Corydoras polystictus",0,1,0,0
"5202","Corydoras potaroensis",0,1,0,0
"5203","Corydoras pulcher",0,1,0,0
"5204","Corydoras punctatus",0,1,0,0
"5205","Corydoras pygmaeus",0,1,0,0
"5206","Corydoras rabauti",0,1,0,0
"5207","Corydoras reticulatus",0,1,0,0
"5208","Corydoras reynoldsi",0,1,0,0
"5209","Corydoras robineae",0,1,0,0
"5210","Corydoras robustus",0,1,0,0
"5211","Corydoras schwartzi",0,1,0,0
"5212","Corydoras semiaquilus",0,1,0,0
"5213","Corydoras septentrionalis",0,1,0,0
"5214","Corydoras serratus",0,1,0,0
"5215","Corydoras seussi",0,1,0,0
"5216","Corydoras similis",0,1,0,0
"5217","Corydoras simulatus",0,1,0,0
"5218","Corydoras sipaliwini",0,1,0,0
"5219","Corydoras sodalis",0,1,0,0
"5220","Corydoras solox",0,1,0,0
"5221","Corydoras sp",0,1,0,0
"5222","Corydoras spilurus",0,1,0,0
"5223","Corydoras stenocephalus",0,1,0,0
"5224","Corydoras sterbai",0,1,0,0
"5225","Corydoras sychri",0,1,0,0
"5226","Corydoras treitlii",0,1,0,0
"5227","Corydoras trilineatus",0,1,0,0
"5228","Corydoras tukano",0,1,0,0
"5229","Corydoras undulatus",0,1,0,0
"5230","Corydoras virginiae",0,1,0,0
"5231","Corydoras vittatus",0,1,0,0
"5232","Corydoras weitzmani",0,1,0,0
"5233","Corydoras zygatus",0,1,0,0
"5234","Corymbophanes kaiei",0,1,0,0
"5235","Corynopoma riisei",0,1,0,0
"5236","Coryogalops adamsoni",0,1,0,0
"5237","Coryogalops anomolus",0,1,0,0
"5238","Coryogalops tessellatus",0,1,0,0
"5239","Coryphaena equiselis",0,1,0,0
"5240","Coryphaena hippurus",0,1,1,0
"5241","Coryphaenoides acrolepis",0,1,1,0
"5242","Coryphaenoides alateralis",0,1,0,0
"5243","Coryphaenoides anguliceps",0,1,0,0
"5244","Coryphaenoides armatus",0,1,1,0
"5245","Coryphaenoides asper",0,1,0,0
"5246","Coryphaenoides brevibarbis",0,1,0,0
"5247","Coryphaenoides capito",0,1,0,0
"5248","Coryphaenoides carapinus",0,1,0,0
"5249","Coryphaenoides carminifer",0,1,0,0
"5250","Coryphaenoides cinereus",0,1,1,0
"5251","Coryphaenoides dossenus",0,1,0,0
"5252","Coryphaenoides ferrieri",0,1,0,0
"5253","Coryphaenoides filifer",0,1,1,0
"5254","Coryphaenoides guentheri",0,1,0,0
"5255","Coryphaenoides lecointei",0,1,0,0
"5256","Coryphaenoides leptolepis",0,1,1,0
"5257","Coryphaenoides longifilis",0,1,1,0
"5258","Coryphaenoides marginatus",0,1,0,0
"5259","Coryphaenoides marshalli",0,1,0,0
"5260","Coryphaenoides mcmillani",0,1,0,0
"5261","Coryphaenoides mediterraneus",0,1,0,0
"5262","Coryphaenoides mexicanus",0,1,0,0
"5263","Coryphaenoides microps",0,1,0,0
"5264","Coryphaenoides microstomus",0,1,0,0
"5265","Coryphaenoides murrayi",0,1,0,0
"5266","Coryphaenoides nasutus",0,1,0,0
"5267","Coryphaenoides paramarshalli",0,1,0,0
"5268","Coryphaenoides profundicolus",0,1,0,0
"5269","Coryphaenoides rudis",0,1,0,0
"5270","Coryphaenoides rupestris",0,1,0,0
"5271","Coryphaenoides serrulatus",0,1,0,0
"5272","Coryphaenoides soyoae",0,1,0,0
"5273","Coryphaenoides striaturus",0,1,0,0
"5274","Coryphaenoides subserrulatus",0,1,0,0
"5275","Coryphaenoides yaquinae",0,1,0,0
"5276","Coryphaenoides zaniophorus",0,1,0,0
"5277","Coryphoblennius galerita",0,1,0,0
"5278","Coryphopterus alloides",0,1,0,0
"5279","Coryphopterus bol",0,1,0,0
"5280","Coryphopterus curasub",0,1,0,0
"5281","Coryphopterus dicrus",0,1,0,0
"5282","Coryphopterus eidolon",0,1,0,0
"5283","Coryphopterus glaucofraenum",0,1,0,0
"5284","Coryphopterus hyalinus",0,1,0,0
"5285","Coryphopterus kuna",0,1,0,0
"5286","Coryphopterus lipernes",0,1,0,0
"5287","Coryphopterus personatus",0,1,0,0
"5288","Coryphopterus thrix",0,1,0,0
"5289","Coryphopterus tortugae",0,1,0,0
"5290","Coryphopterus urospilus",0,1,0,0
"5291","Coryphopterus venezuelae",0,1,0,0
"5292","Corythoichthys amplexus",0,1,0,0
"5293","Corythoichthys flavofasciatus",0,1,0,0
"5294","Corythoichthys haematopterus",0,1,0,0
"5295","Corythoichthys intestinalis",0,1,0,0
"5296","Corythoichthys nigripectus",0,1,0,0
"5297","Corythoichthys schultzi",0,1,0,0
"5298","Cosmocampus albirostris",0,1,0,0
"5299","Cosmocampus arctus",0,1,0,0
"5300","Cosmocampus balli",0,1,0,0
"5301","Cosmocampus banneri",0,1,0,0
"5302","Cosmocampus elucens",0,1,0,0
"5303","Cosmocampus howensis",0,1,0,0
"5304","Cosmochilus cardinalis",0,1,0,0
"5305","Cosmochilus harmandi",0,1,0,0
"5306","Cottapistus cottoides",0,1,0,0
"5307","Cottinella boulengeri",0,1,0,0
"5308","Cottiusculus gonez",0,1,0,0
"5309","Cottiusculus nihonkaiensis",0,1,0,0
"5310","Cottiusculus schmidti",0,1,0,0
"5311","Cottocomephorus comephoroides",0,1,0,0
"5312","Cottocomephorus grewingki",0,1,0,0
"5313","Cottocomephorus inermis",0,1,0,0
"5314","Cottoperca gobio",0,1,0,0
"5315","Cottoperca trigloides",0,1,0,0
"5316","Cottunculus microps",0,1,0,0
"5317","Cottunculus nudus",0,1,0,0
"5318","Cottunculus thomsonii",0,1,0,0
"5319","Cottus aleuticus",0,1,1,0
"5320","Cottus amblystomopsis",0,1,0,0
"5321","Cottus asperrimus",0,1,0,0
"5322","Cottus aturi",0,1,0,0
"5323","Cottus baileyi",0,1,0,0
"5324","Cottus bairdii",0,1,0,0
"5325","Cottus beldingii",0,1,0,0
"5326","Cottus bendirei",0,1,0,0
"5327","Cottus caeruleomentum",0,1,0,0
"5328","Cottus carolinae",0,1,0,0
"5329","Cottus chattahoochee",0,1,0,0
"5330","Cottus confusus",0,1,1,0
"5331","Cottus czerskii",0,1,0,0
"5332","Cottus duranii",0,1,0,0
"5333","Cottus extensus",0,1,0,0
"5334","Cottus ferrugineus",0,1,0,0
"5335","Cottus girardi",0,1,0,0
"5336","Cottus gobio",0,1,0,0
"5337","Cottus greenei",0,1,0,0
"5338","Cottus gulosus",0,1,1,0
"5339","Cottus hispaniolensis",0,1,0,0
"5340","Cottus hubbsi",0,1,0,0
"5341","Cottus hypselurus",0,1,0,0
"5342","Cottus immaculatus",0,1,0,0
"5343","Cottus kazika",0,1,0,0
"5344","Cottus klamathensis",0,1,0,0
"5345","Cottus kolymensis",0,1,0,0
"5346","Cottus koreanus",0,1,0,0
"5347","Cottus leiopomus",0,1,0,0
"5348","Cottus marginatus",0,1,0,0
"5349","Cottus microstomus",0,1,0,0
"5350","Cottus nozawae",0,1,0,0
"5351","Cottus paulus",0,1,0,0
"5352","Cottus perifretum",0,1,0,0
"5353","Cottus perplexus",0,1,1,0
"5354","Cottus pitensis",0,1,0,0
"5355","Cottus poecilopus",0,1,0,0
"5356","Cottus pollux",0,1,0,0
"5357","Cottus princeps",0,1,0,0
"5358","Cottus reinii",0,1,0,0
"5359","Cottus rhenanus",0,1,0,0
"5360","Cottus rhotheus",0,1,1,0
"5361","Cottus ricei",0,1,0,0
"5362","Cottus scaturigo",0,1,0,0
"5363","Cottus schitsuumsh",0,1,0,0
"5364","Cottus sibiricus",0,1,0,0
"5365","Cottus spinulosus",0,1,0,0
"5366","Cottus szanaga",0,1,0,0
"5367","Cottus tallapoosae",0,1,0,0
"5368","Cottus tenuis",0,1,0,0
"5369","Cottus volki",0,1,0,0
"5370","Cotylopus acutipinnis",0,1,0,0
"5371","Cotylopus rubripinnis",0,1,0,0
"5372","Couesius plumbeus",0,1,0,0
"5373","Cranoglanis bouderius",0,1,0,0
"5374","Crapatalus angusticeps",0,1,0,0
"5375","Crassinarke dormitor",0,1,0,0
"5376","Craterocephalus amniculus",0,1,0,0
"5377","Craterocephalus capreoli",0,1,0,0
"5378","Craterocephalus centralis",0,1,0,0
"5379","Craterocephalus cuneiceps",0,1,0,0
"5380","Craterocephalus dalhousiensis",0,1,0,0
"5381","Craterocephalus eyresii",0,1,0,0
"5382","Craterocephalus fluviatilis",0,1,0,0
"5383","Craterocephalus gloveri",0,1,0,0
"5384","Craterocephalus helenae",0,1,0,0
"5385","Craterocephalus honoriae",0,1,0,0
"5386","Craterocephalus lentiginosus",0,1,0,0
"5387","Craterocephalus marianae",0,1,0,0
"5388","Craterocephalus marjoriae",0,1,0,0
"5389","Craterocephalus mugiloides",0,1,0,0
"5390","Craterocephalus munroi",0,1,0,0
"5391","Craterocephalus nouhuysi",0,1,0,0
"5392","Craterocephalus pauciradiatus",0,1,0,0
"5393","Craterocephalus randi",0,1,0,0
"5394","Craterocephalus stercusmuscarum",0,1,0,0
"5395","Craterocephalus stercusmuscarum x Craterocephalus stramineus",0,1,0,0
"5396","Craterocephalus stramineus",0,1,0,0
"5397","Cratinus agassizii",0,1,0,0
"5398","Creagrutus affinis",0,1,0,0
"5399","Creagrutus atrisignum",0,1,0,0
"5400","Creagrutus barrigai",0,1,0,0
"5401","Creagrutus beni",0,1,0,0
"5402","Creagrutus bolivari",0,1,0,0
"5403","Creagrutus brevipinnis",0,1,0,0
"5404","Creagrutus britskii",0,1,0,0
"5405","Creagrutus changae",0,1,0,0
"5406","Creagrutus ignotus",0,1,0,0
"5407","Creagrutus maxillaris",0,1,0,0
"5408","Creagrutus melanzonus",0,1,0,0
"5409","Creagrutus meridionalis",0,1,0,0
"5410","Creagrutus muelleri",0,1,0,0
"5411","Creagrutus occidaneus",0,1,0,0
"5412","Creagrutus paraguayensis",0,1,0,0
"5413","Creagrutus peruanus",0,1,0,0
"5414","Creagrutus phasma",0,1,0,0
"5415","Creagrutus pila",0,1,0,0
"5416","Creagrutus seductus",0,1,0,0
"5417","Creagrutus ungulus",0,1,0,0
"5418","Creagrutus zephyrus",0,1,0,0
"5419","Cremnochorites capensis",0,1,0,0
"5420","Crenicara punctulatum",0,1,0,0
"5421","Crenichthys baileyi",0,1,0,0
"5422","Crenichthys nevadae",0,1,0,0
"5423","Crenicichla acutirostris",0,1,0,0
"5424","Crenicichla albopunctata",0,1,0,0
"5425","Crenicichla alta",0,1,0,0
"5426","Crenicichla anthurus",0,1,0,0
"5427","Crenicichla biocellata",0,1,0,0
"5428","Crenicichla brasiliensis",0,1,0,0
"5429","Crenicichla britskii",0,1,0,0
"5430","Crenicichla cametana",0,1,0,0
"5431","Crenicichla celidochilus",0,1,0,0
"5432","Crenicichla cincta",0,1,0,0
"5433","Crenicichla compressiceps",0,1,0,0
"5434","Crenicichla cyanonotus",0,1,0,0
"5435","Crenicichla cyclostoma",0,1,0,0
"5436","Crenicichla dandara",0,1,0,0
"5437","Crenicichla elegans",0,1,0,0
"5438","Crenicichla empheres",0,1,0,0
"5439","Crenicichla frenata",0,1,0,0
"5440","Crenicichla gaucho",0,1,0,0
"5441","Crenicichla geayi",0,1,0,0
"5442","Crenicichla hadrostigma",0,1,0,0
"5443","Crenicichla haroldoi",0,1,0,0
"5444","Crenicichla hu",0,1,0,0
"5445","Crenicichla igara",0,1,0,0
"5446","Crenicichla iguapina",0,1,0,0
"5447","Crenicichla iguassuensis",0,1,0,0
"5448","Crenicichla inpa",0,1,0,0
"5449","Crenicichla isbrueckeri",0,1,0,0
"5450","Crenicichla jaguarensis",0,1,0,0
"5451","Crenicichla jegui",0,1,0,0
"5452","Crenicichla johanna",0,1,0,0
"5453","Crenicichla jupiaensis",0,1,0,0
"5454","Crenicichla jurubi",0,1,0,0
"5455","Crenicichla labrina",0,1,0,0
"5456","Crenicichla lacustris",0,1,0,0
"5457","Crenicichla lenticulata",0,1,0,0
"5458","Crenicichla lepidota",0,1,0,0
"5459","Crenicichla lucenai",0,1,0,0
"5460","Crenicichla lugubris",0,1,0,0
"5461","Crenicichla macrophthalma",0,1,0,0
"5462","Crenicichla maculata",0,1,0,0
"5463","Crenicichla mandelburgeri",0,1,0,0
"5464","Crenicichla marmorata",0,1,0,0
"5465","Crenicichla menezesi",0,1,0,0
"5466","Crenicichla minuano",0,1,0,0
"5467","Crenicichla missioneira",0,1,0,0
"5468","Crenicichla multispinosa",0,1,0,0
"5469","Crenicichla nickeriensis",0,1,0,0
"5470","Crenicichla niederleinii",0,1,0,0
"5471","Crenicichla notophthalmus",0,1,0,0
"5472","Crenicichla obtusirostris",0,1,0,0
"5473","Crenicichla percna",0,1,0,0
"5474","Crenicichla punctata",0,1,0,0
"5475","Crenicichla regani",0,1,0,0
"5476","Crenicichla reticulata",0,1,0,0
"5477","Crenicichla saxatilis",0,1,0,0
"5478","Crenicichla scottii",0,1,0,0
"5479","Crenicichla semicincta",0,1,0,0
"5480","Crenicichla semifasciata",0,1,0,0
"5481","Crenicichla stocki",0,1,0,0
"5482","Crenicichla sveni",0,1,0,0
"5483","Crenicichla taikyra",0,1,0,0
"5484","Crenicichla tapii",0,1,0,0
"5485","Crenicichla tendybaguassu",0,1,0,0
"5486","Crenicichla ternetzi",0,1,0,0
"5487","Crenicichla tesay",0,1,0,0
"5488","Crenicichla tingui",0,1,0,0
"5489","Crenicichla tuca",0,1,0,0
"5490","Crenicichla vittata",0,1,0,0
"5491","Crenicichla wallacii",0,1,0,0
"5492","Crenicichla yaha",0,1,0,0
"5493","Crenicichla ypo",0,1,0,0
"5494","Crenicichla zebrina",0,1,0,0
"5495","Crenidens crenidens",0,1,0,0
"5496","Crenidens indicus",0,1,0,0
"5497","Crenimugil buchanani",0,1,0,0
"5498","Crenimugil crenilabis",0,1,0,0
"5499","Crenuchus spilurus",0,1,0,0
"5500","Creocele cardinalis",0,1,0,0
"5501","Creteuchiloglanis bumdelingensis",0,1,0,0
"5502","Creteuchiloglanis gongshanensis",0,1,0,0
"5503","Creteuchiloglanis kamengensis",0,1,0,0
"5504","Creteuchiloglanis macropterus",0,1,0,0
"5505","Cribroheros alfari",0,1,0,0
"5506","Cribroheros altifrons",0,1,0,0
"5507","Cribroheros bussingi",0,1,0,0
"5508","Cribroheros diquis",0,1,0,0
"5509","Cribroheros longimanus",0,1,0,0
"5510","Cribroheros rhytisma",0,1,0,0
"5511","Cribroheros robertsoni",0,1,0,0
"5512","Cribroheros rostratus",0,1,0,0
"5513","Crinodus lophodon",0,1,0,0
"5514","Cristatogobius lophius",0,1,0,0
"5515","Cristatogobius nonatoae",0,1,0,0
"5516","Cristiceps argyropleura",0,1,0,0
"5517","Cristiceps aurantiacus",0,1,0,0
"5518","Cristiceps australis",0,1,0,0
"5519","Crocodilichthys gracilis",0,1,0,0
"5520","Croilia mossambica",0,1,0,0
"5521","Cromeria nilotica",0,1,0,0
"5522","Cromeria occidentalis",0,1,0,0
"5523","Cromileptes altivelis",0,1,0,0
"5524","Cromileptes altivelis x Epinephelus lanceolatus",0,1,0,0
"5525","Cromileptes altivelis x Epinephelus tukula",0,1,0,0
"5526","Crossocheilus atrilimes",0,1,0,0
"5527","Crossocheilus langei",0,1,0,0
"5528","Crossocheilus latius",0,1,0,0
"5529","Crossocheilus nigriloba",0,1,0,0
"5530","Crossocheilus oblongus",0,1,0,0
"5531","Crossocheilus periyarensis",0,1,0,0
"5532","Crossocheilus reticulatus",0,1,0,0
"5533","Crossocheilus siamensis",0,1,0,0
"5534","Crossoloricaria bahuaja",0,1,0,0
"5535","Crossoloricaria cephalaspis",0,1,0,0
"5536","Crossoloricaria rhami",0,1,0,0
"5537","Crossoloricaria variegata",0,1,0,0
"5538","Crossoloricaria venezuelae",0,1,0,0
"5539","Crossorhombus azureus",0,1,0,0
"5540","Crossorhombus howensis",0,1,0,0
"5541","Crossorhombus kanekonis",0,1,0,0
"5542","Crossorhombus kobensis",0,1,0,0
"5543","Crossorhombus valderostratus",0,1,0,0
"5544","Crossosalarias macrospilus",0,1,0,0
"5545","Cruciglanis pacifici",0,1,0,0
"5546","Cruriraja hulleyi",0,1,0,0
"5547","Cruriraja parcomaculata",0,1,0,0
"5548","Cruriraja triangularis",0,1,0,0
"5549","Cryodraco antarcticus",0,1,0,0
"5550","Cryodraco atkinsoni",0,1,0,0
"5551","Cryothenia amphitreta",0,1,0,0
"5552","Cryothenia peninsulae",0,1,0,0
"5553","Cryptacanthodes aleutensis",0,1,1,0
"5554","Cryptacanthodes bergi",0,1,0,0
"5555","Cryptacanthodes maculatus",0,1,0,0
"5556","Cryptancistrus similis",0,1,0,0
"5557","Cryptarius truncatus",0,1,0,0
"5558","Cryptocentroides arabicus",0,1,0,0
"5559","Cryptocentroides cristatus",0,1,0,0
"5560","Cryptocentroides gobioides",0,1,0,0
"5561","Cryptocentroides insignis",0,1,0,0
"5562","Cryptocentrus albidorsus",0,1,0,0
"5563","Cryptocentrus caeruleomaculatus",0,1,0,0
"5564","Cryptocentrus cebuanus",0,1,0,0
"5565","Cryptocentrus cinctus",0,1,0,0
"5566","Cryptocentrus cryptocentrus",0,1,0,0
"5567","Cryptocentrus cyanotaenia",0,1,0,0
"5568","Cryptocentrus inexplicatus",0,1,0,0
"5569","Cryptocentrus leptocephalus",0,1,0,0
"5570","Cryptocentrus lutheri",0,1,0,0
"5571","Cryptocentrus malindiensis",0,1,0,0
"5572","Cryptocentrus maudae",0,1,0,0
"5573","Cryptocentrus melanopus",0,1,0,0
"5574","Cryptocentrus nigrocellatus",0,1,0,0
"5575","Cryptocentrus pavoninoides",0,1,0,0
"5576","Cryptocentrus sericus",0,1,0,0
