taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,subclass,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,aphia_id
Onchocerca flexuosa,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca flexuosa,species,NA,462406,4557119,415708,NA,Onchocerca flexuosa,Onchocerca flexuosa,"Onchocerca flexuosa (Wedl, 1956)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Trichuris muris,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris muris,species,NA,896245,4554211,349934,NA,Trichuris muris,Trichuris muris,"Trichuris muris (Schrank, 1788)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Trichuris trichiura,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris trichiura,species,NA,493837,4554218,206556,NA,Trichuris trichiura,Trichuris trichiura,"Trichuris trichiura (Linnaeus, 1771)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Bursaphelenchus abietinus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus abietinus,species,NA,27569,5889670,369536,NA,Bursaphelenchus abietinus,Bursaphelenchus abietinus,"Bursaphelenchus abietinus Braasch & Schmutzenhofer, 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus borealis,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus borealis,species,NA,27568,5889654,1052047,NA,Bursaphelenchus borealis,Bursaphelenchus borealis,"Bursaphelenchus borealis Korenchenko, 1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus cocophilus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus cocophilus,NA,NA,NA,NA,876726,NA,Bursaphelenchus cocophilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus eggersi,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus eggersi,species,NA,27566,2284385,977619,NA,Bursaphelenchus eggersi,Bursaphelenchus eggersi,"Bursaphelenchus eggersi Ruhm, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus fungivorus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus fungivorus,species,NA,27564,4631108,977618,NA,Bursaphelenchus fungivorus,Bursaphelenchus fungivorus,"Bursaphelenchus fungivorus Franklin & Hooper, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus hellenicus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus hellenicus,species,NA,27563,5777792,977621,NA,Bursaphelenchus hellenicus,Bursaphelenchus hellenicus,"Bursaphelenchus hellenicus Skarmoutsos, Braasch & Michalopoulou, 1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus hofmanni,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus hofmanni,species,NA,27562,5889682,977620,NA,Bursaphelenchus hofmanni,Bursaphelenchus hofmanni,"Bursaphelenchus hofmanni Braasch, 1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus hylobianum,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus hylobianum,species,NA,27561,7021914,1052616,NA,Bursaphelenchus hylobianum,Bursaphelenchus hylobianum,Bursaphelenchus hylobianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus gerberae,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus gerberae,NA,NA,NA,NA,977630,NA,Bursaphelenchus gerberae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus anatolius,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus anatolius,NA,NA,NA,NA,1067131,NA,Bursaphelenchus anatolius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus platzeri,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus platzeri,NA,NA,NA,NA,379587,NA,Bursaphelenchus platzeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus paracorneolus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus paracorneolus,species,NA,27556,5889648,401516,NA,Bursaphelenchus paracorneolus,Bursaphelenchus paracorneolus,"Bursaphelenchus paracorneolus Braasch, 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus poligraphi,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus poligraphi,species,NA,27555,7021894,401517,NA,Bursaphelenchus poligraphi,Bursaphelenchus poligraphi,"Bursaphelenchus poligraphi Fuchs, 1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus seani,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus seani,species,NA,27554,7021900,401518,NA,Bursaphelenchus seani,Bursaphelenchus seani,Bursaphelenchus seani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus sexdentati,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus sexdentati,species,NA,27553,5777797,401519,NA,Bursaphelenchus sexdentati,Bursaphelenchus sexdentati,"Bursaphelenchus sexdentati Rühm, 1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
