taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Chilostoma conemenosi,Chilostoma conemenosi,Chilostoma conemenosi,Chilostoma,species,2879840,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma phocaea,Chilostoma phocaea,Chilostoma phocaea,Chilostoma,species,2879845,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma subzonata,Chilostoma subzonata,Chilostoma subzonata,Chilostoma,species,2879813,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma kollari,Chilostoma kollari,Chilostoma kollari,Chilostoma,species,2879873,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma ambrosi,Chilostoma ambrosi,Chilostoma ambrosi,Chilostoma,species,2879843,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma ziegleri,Chilostoma ziegleri,Chilostoma ziegleri,Chilostoma,species,2879853,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma albanograeca,Chilostoma albanograeca,Chilostoma albanograeca,Chilostoma,species,2879857,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma setigera,Chilostoma setigera,Chilostoma setigera,Chilostoma,species,2879859,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma stenomphala,Chilostoma stenomphala,Chilostoma stenomphala,Chilostoma,species,2879838,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma sztolcmani,Chilostoma sztolcmani,Chilostoma sztolcmani,Chilostoma,NA,2879830,FALSE,NA,Chilostoma,accepted,1,0,871085
Trochulus phorochaetius,Trochulus phorochaetius,Trochulus phorochaetius,Trochulus,NA,5264535,FALSE,NA,Euconulus,unaccepted,1,0,999495
Trochulus phorochaetius,Trochulus phorochaetius,Trochulus phorochaetius,Trochulus,NA,5264535,FALSE,NA,Trochulus,accepted,1,0,996567
Theba gittenbergeri,Theba gittenbergeri,Theba gittenbergeri,Theba,species,5517760,FALSE,NA,Theba,accepted,1,0,426410
Aegista permellita,Aegista permellita,Aegista permellita,Aegista,species,5757706,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Helicostyla pan,Helicostyla pan,Helicostyla pan,Helicostyla,NA,5973624,FALSE,NA,Helicostyla,accepted,1,0,993127
Helicostyla cryptica,Helicostyla cryptica,Helicostyla cryptica,Helicostyla,species,5973622,FALSE,NA,Helicostyla,accepted,1,0,993127
Helicostyla butleri,Helicostyla butleri,Helicostyla butleri,Helicostyla,species,5973633,FALSE,sibling_higher,Helicostyla,accepted,1,0,993127
Helicostyla corticolor,Helicostyla corticolor,Helicostyla corticolor,Helicostyla,species,5973635,FALSE,sibling_higher,Helicostyla,accepted,1,0,993127
Helicostyla portei,Helicostyla portei,Helicostyla portei,Helicostyla,species,5973645,FALSE,sibling_higher,Helicostyla,accepted,1,0,993127
Pupilla alluvionica,Pupilla alluvionica,Pupilla alluvionica,Pupilla,species,5758804,FALSE,NA,Pupilla,accepted,1,0,426395
Pupilla turcmenica,Pupilla turcmenica,Pupilla turcmenica,Pupilla,species,5758808,FALSE,NA,Pupilla,accepted,1,0,426395
Anodonta euscaphys,Anodonta euscaphys,Anodonta euscaphys,Anodonta,species,5718833,FALSE,sibling_higher,Anodonta,accepted,NA,1,224838
Semisulcospira dolorosa,Semisulcospira dolorosa,Semisulcospira dolorosa,Semisulcospira,species,689393,FALSE,hidden_inherited,Semisulcospira,accepted,0,1,741120
Camaena jinpingensis,Camaena jinpingensis,Camaena jinpingensis,Camaena,species,5973590,FALSE,sibling_higher,Camaena,accepted,1,0,835673
Bythiospeum septentrionale,Bythiospeum septentrionale,Bythiospeum septentrionale,Bythiospeum,species,7495389,FALSE,NA,Bythiospeum,accepted,0,1,475218
Cochlostoma arnautorum,Cochlostoma arnautorum,Cochlostoma arnautorum,Cochlostoma,species,7494391,FALSE,NA,Cochlostoma,accepted,1,0,934001
Cochlostoma mnelense,Cochlostoma mnelense,Cochlostoma mnelense,Cochlostoma,species,7494395,FALSE,NA,Cochlostoma,accepted,1,0,934001
