taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Nelima parva,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nelima similis,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Systenocentrus japonicus,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum montanum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum kohyai,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum curvipalpi,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum tohokuense,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum townsendi,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum desertum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krusa metallica,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum politum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum verrucosum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum flavum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum formosum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
