taxa_query,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,genus_split,bold_taxon,gbif_sciname,phylum,class,subclass,order,family,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Onchocerca suzukii,Onchocerca suzukii,species,NA,666673,7031768,39022,NA,Onchocerca suzukii,Onchocerca,Onchocerca suzukii,Onchocerca suzukii,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca volvulus,Onchocerca volvulus,species,NA,30457,7031770,819809,NA,Onchocerca volvulus,Onchocerca,Onchocerca volvulus,"Onchocerca volvulus Leuckart, 1893",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca flexuosa,Onchocerca flexuosa,species,NA,462406,4557119,415708,NA,Onchocerca flexuosa,Onchocerca,Onchocerca flexuosa,"Onchocerca flexuosa (Wedl, 1956)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Trichuris muris,Trichuris muris,species,NA,896245,4554211,349934,NA,Trichuris muris,Trichuris,Trichuris muris,"Trichuris muris (Schrank, 1788)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Trichuris trichiura,Trichuris trichiura,species,NA,493837,4554218,206556,NA,Trichuris trichiura,Trichuris,Trichuris trichiura,"Trichuris trichiura (Linnaeus, 1771)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Bursaphelenchus abietinus,Bursaphelenchus abietinus,species,NA,27569,5889670,369536,NA,Bursaphelenchus abietinus,Bursaphelenchus,Bursaphelenchus abietinus,"Bursaphelenchus abietinus Braasch & Schmutzenhofer, 2000",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus borealis,Bursaphelenchus borealis,species,NA,27568,5889654,1052047,NA,Bursaphelenchus borealis,Bursaphelenchus,Bursaphelenchus borealis,"Bursaphelenchus borealis Korenchenko, 1980",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus cocophilus,Bursaphelenchus cocophilus,NA,NA,NA,NA,876726,NA,Bursaphelenchus cocophilus,Bursaphelenchus,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus eggersi,Bursaphelenchus eggersi,species,NA,27566,2284385,977619,NA,Bursaphelenchus eggersi,Bursaphelenchus,Bursaphelenchus eggersi,"Bursaphelenchus eggersi Ruhm, 1956",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus fungivorus,Bursaphelenchus fungivorus,species,NA,27564,4631108,977618,NA,Bursaphelenchus fungivorus,Bursaphelenchus,Bursaphelenchus fungivorus,"Bursaphelenchus fungivorus Franklin & Hooper, 1962",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
