taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Loxosceles kaiba,Loxosceles kaiba,Loxosceles kaiba,Loxosceles,species,1069381,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles arizonica,Loxosceles arizonica,Loxosceles arizonica,Loxosceles,species,120964,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles blanda,Loxosceles blanda,Loxosceles blanda,Loxosceles,species,1069407,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles apachea,Loxosceles apachea,Loxosceles apachea,Loxosceles,species,1017855,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles sabina,Loxosceles sabina,Loxosceles sabina,Loxosceles,species,541801,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles deserta,Loxosceles deserta,Loxosceles deserta,Loxosceles,species,313889,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles colima,Loxosceles colima,Loxosceles colima,Loxosceles,species,1069397,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles reclusa,Loxosceles reclusa,Loxosceles reclusa,Loxosceles,species,673746,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles chinateca,Loxosceles chinateca,Loxosceles chinateca,Loxosceles,species,1069393,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles lacta,Loxosceles lacta,Loxosceles lacta,Loxosceles,species,1069385,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles amazonica,Loxosceles amazonica,Loxosceles amazonica,Loxosceles,species,932151,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxoscelesegata,Loxoscelesegata,Loxosceles baja,Loxosceles,NA,1017853,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles intermedia,Loxosceles intermedia,Loxosceles intermedia,Loxosceles,species,653111,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles spadicea,Loxosceles spadicea,Loxosceles spadicea,Loxosceles,species,917989,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles hirsuta,Loxosceles hirsuta,Loxosceles hirsuta,Loxosceles,species,1069390,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles laeta,Loxosceles laeta,Loxosceles laeta,Loxosceles,species,653131,FALSE,NA,Loxosceles,accepted,1,NA,1491329
