species_verbatim,query,domain,kingdom,phylum,class,subclass,order,family,genus,species,ottid_species,rank
Merluccius merluccius,Merluccius merluccius,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Merlucciidae,Merluccius,Merluccius merluccius,62642,NA
Merluccius paradoxus,Merluccius paradoxus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Merlucciidae,Merluccius,Merluccius paradoxus,183164,NA
Merluccius polli,Merluccius polli,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Merlucciidae,Merluccius,Merluccius polli,834108,NA
Merluccius productus,Merluccius productus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Merlucciidae,Merluccius,Merluccius productus,183169,NA
Merluccius senegalensis,Merluccius senegalensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Merlucciidae,Merluccius,Merluccius senegalensis,834309,NA
Mesobius antipodum,Mesobius antipodum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Macrouridae,Mesobius,Mesobius antipodum,956292,NA
Mesoborus crocodilus,Mesoborus crocodilus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,NA,Mesoborus,Mesoborus crocodilus,284961,NA
Mesocottus haitej,Mesocottus haitej,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cottidae,Mesocottus,Mesocottus haitej,3632247,NA
Mesogobio tumenensis,Mesogobio tumenensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Mesogobio,Mesogobio tumenensis,344705,NA
Mesogobius batrachocephalus,Mesogobius batrachocephalus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Mesogobius,Mesogobius batrachocephalus,496709,NA
Mesoheros atromaculatus,Mesoheros atromaculatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Mesoheros,Mesoheros atromaculatus,10098,NA
Mesoheros festae,Mesoheros festae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Mesoheros,Mesoheros festae,372859,NA
Mesoheros ornatus,Mesoheros ornatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Mesoheros,Mesoheros ornatus,3636196,NA
Mesonauta egregius,Mesonauta egregius,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Mesonauta,Mesonauta egregius,467395,NA
Mesonauta festivus,Mesonauta festivus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Mesonauta,Mesonauta festivus,139584,NA
Mesonauta insignis,Mesonauta insignis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Mesonauta,Mesonauta insignis,795511,NA
Mesonauta mirificus,Mesonauta mirificus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cichlidae,Mesonauta,Mesonauta mirificus,3636265,NA
Mesonoemacheilus guentheri,Mesonoemacheilus guentheri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus guentheri,3628015,NA
Mesonoemacheilus herrei,Mesonoemacheilus herrei,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus herrei,3627957,NA
Mesonoemacheilus menoni,Mesonoemacheilus menoni,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus menoni,3627958,NA
Mesonoemacheilus pambarensis,Mesonoemacheilus pambarensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus pambarensis,3627959,NA
Mesonoemacheilus periyarensis,Mesonoemacheilus periyarensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus periyarensis,7066304,NA
Mesonoemacheilus petrubanarescui,Mesonoemacheilus petrubanarescui,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus petrubanarescui,3628020,NA
Mesonoemacheilus tambaraparniensis,Mesonoemacheilus tambaraparniensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus tambaraparniensis,7066305,NA
Mesonoemacheilus triangularis,Mesonoemacheilus triangularis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Mesonoemacheilus,Mesonoemacheilus triangularis,398525,NA
Mesopotamichthys sharpeyi,Mesopotamichthys sharpeyi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Mesopotamichthys,Mesopotamichthys sharpeyi,969866,NA
Mesopristes argenteus,Mesopristes argenteus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Terapontidae,Mesopristes,Mesopristes argenteus,687942,NA
Mesopristes cancellatus,Mesopristes cancellatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Terapontidae,Mesopristes,Mesopristes cancellatus,903484,NA
Mesopristes iravi,Mesopristes iravi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Terapontidae,Mesopristes,Mesopristes iravi,3634461,NA
Metahomaloptera omeiensis,Metahomaloptera omeiensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Balitoridae,Metahomaloptera,Metahomaloptera omeiensis,390256,NA
Metaloricaria nijsseni,Metaloricaria nijsseni,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Metaloricaria,Metaloricaria nijsseni,3622785,NA
Metaloricaria paucidens,Metaloricaria paucidens,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Metaloricaria,Metaloricaria paucidens,584017,NA
Metavelifer multiradiatus,Metavelifer multiradiatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Veliferidae,Metavelifer,Metavelifer multiradiatus,788084,NA
Metelectrona ventralis,Metelectrona ventralis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Myctophiformes,Myctophidae,Metelectrona,Metelectrona ventralis,776091,NA
Metynnis altidorsalis,Metynnis altidorsalis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis altidorsalis,3625344,NA
Metynnis calmoni,Metynnis calmoni,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis calmoni,1012140,NA
Metynnis cuiaba,Metynnis cuiaba,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis cuiaba,3625347,NA
Metynnis fasciatus,Metynnis fasciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis fasciatus,3625340,NA
Metynnis guaporensis,Metynnis guaporensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis guaporensis,3625338,NA
Metynnis hypsauchen,Metynnis hypsauchen,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis hypsauchen,506575,NA
Metynnis lippincottianus,Metynnis lippincottianus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis lippincottianus,1095505,NA
Metynnis luna,Metynnis luna,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis luna,3625346,NA
Metynnis maculatus,Metynnis maculatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis maculatus,3625341,NA
Metynnis melanogrammus,Metynnis melanogrammus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis melanogrammus,7065522,NA
Metynnis mola,Metynnis mola,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis mola,1095531,NA
Metynnis polystictus,Metynnis polystictus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Serrasalmidae,Metynnis,Metynnis polystictus,3625343,NA
Metzia formosae,Metzia formosae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Metzia,Metzia formosae,778964,NA
Metzia lineata,Metzia lineata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Metzia,Metzia lineata,932689,NA
Metzia longinasus,Metzia longinasus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Metzia,Metzia longinasus,3627433,NA
Metzia mesembrinum,Metzia mesembrinum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Metzia,Metzia mesembrinum,3627430,NA
Meuschenia australis,Meuschenia australis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Meuschenia,Meuschenia australis,149948,NA
Meuschenia flavolineata,Meuschenia flavolineata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Meuschenia,Meuschenia flavolineata,3631269,NA
Meuschenia freycineti,Meuschenia freycineti,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Meuschenia,Meuschenia freycineti,3631271,NA
Meuschenia hippocrepis,Meuschenia hippocrepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Meuschenia,Meuschenia hippocrepis,425104,NA
Meuschenia scaber,Meuschenia scaber,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Meuschenia,Meuschenia scaber,149951,NA
Meuschenia trachylepis,Meuschenia trachylepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Meuschenia,Meuschenia trachylepis,333690,NA
Micracanthicus vandragti,Micracanthicus vandragti,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Micracanthicus,Micracanthicus vandragti,3623055,NA
Micralestes acutidens,Micralestes acutidens,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Alestidae,Micralestes,Micralestes acutidens,763331,NA
Micralestes humilis,Micralestes humilis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Alestidae,Micralestes,Micralestes humilis,927222,NA
Micralestes lualabae,Micralestes lualabae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Alestidae,Micralestes,Micralestes lualabae,400803,NA
Micralestes occidentalis,Micralestes occidentalis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Alestidae,Micralestes,Micralestes occidentalis,655656,NA
Micralestes pabrensis,Micralestes pabrensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Alestidae,Micralestes,Micralestes pabrensis,990634,NA
Micralestes stormsi,Micralestes stormsi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Alestidae,Micralestes,Micralestes stormsi,927220,NA
Micrenophrys lilljeborgii,Micrenophrys lilljeborgii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cottidae,Micrenophrys,Micrenophrys lilljeborgii,3632202,NA
Microcambeva barbata,Microcambeva barbata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Trichomycteridae,Microcambeva,Microcambeva barbata,3622234,NA
Microcambeva ribeirae,Microcambeva ribeirae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Trichomycteridae,Microcambeva,Microcambeva ribeirae,3622236,NA
Microcanthus strigatus,Microcanthus strigatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Kyphosidae,Microcanthus,Microcanthus strigatus,188292,NA
Microcharacidium eleotrioides,Microcharacidium eleotrioides,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Crenuchidae,Microcharacidium,Microcharacidium eleotrioides,3624724,NA
Microcharacidium weitzmani,Microcharacidium weitzmani,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Crenuchidae,Microcharacidium,Microcharacidium weitzmani,3624716,NA
Microchirus azevia,Microchirus azevia,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Soleidae,Microchirus,Microchirus azevia,579367,NA
Microchirus boscanion,Microchirus boscanion,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Soleidae,Microchirus,Microchirus boscanion,173301,NA
Microchirus frechkopi,Microchirus frechkopi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Soleidae,Microchirus,Microchirus frechkopi,275767,NA
Microchirus ocellatus,Microchirus ocellatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Soleidae,Microchirus,Microchirus ocellatus,186726,NA
Microchirus variegatus,Microchirus variegatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Soleidae,Microchirus,Microchirus variegatus,186731,NA
Microcobitis misgurnoides,Microcobitis misgurnoides,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cobitidae,Microcobitis,Microcobitis misgurnoides,844010,NA
Microcottus sellaris,Microcottus sellaris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cottidae,Microcottus,Microcottus sellaris,355889,NA
Microctenopoma ansorgii,Microctenopoma ansorgii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Anabantidae,Microctenopoma,Microctenopoma ansorgii,731114,NA
Microctenopoma damasi,Microctenopoma damasi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Anabantidae,Microctenopoma,Microctenopoma damasi,1082655,NA
Microctenopoma fasciolatum,Microctenopoma fasciolatum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Anabantidae,Microctenopoma,Microctenopoma fasciolatum,731130,NA
Microctenopoma nanum,Microctenopoma nanum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Anabantidae,Microctenopoma,Microctenopoma nanum,731131,NA
Microctenopoma uelense,Microctenopoma uelense,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Anabantidae,Microctenopoma,Microctenopoma uelense,3638897,NA
Microdesmus bahianus,Microdesmus bahianus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microdesmus,Microdesmus bahianus,132265,NA
Microdesmus carri,Microdesmus carri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microdesmus,Microdesmus carri,17381,NA
Microdesmus dipus,Microdesmus dipus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microdesmus,Microdesmus dipus,1064913,NA
Microdesmus longipinnis,Microdesmus longipinnis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microdesmus,Microdesmus longipinnis,755472,NA
Microdevario gatesi,Microdevario gatesi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microdevario,Microdevario gatesi,923554,NA
Microdevario kubotai,Microdevario kubotai,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microdevario,Microdevario kubotai,521493,NA
Microdevario nana,Microdevario nana,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microdevario,Microdevario nana,780671,NA
Microdevario nanus,Microdevario nanus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microdevario,Microdevario nanus,7066723,NA
Microdous chalmersi,Microdous chalmersi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Odontobutidae,Microdous,Microdous chalmersi,7062930,NA
Microgadus proximus,Microgadus proximus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gadidae,Microgadus,Microgadus proximus,56889,NA
Microgadus tomcod,Microgadus tomcod,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gadidae,Microgadus,Microgadus tomcod,874100,NA
Microglanis cottoides,Microglanis cottoides,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Pseudopimelodidae,Microglanis,Microglanis cottoides,3624176,NA
Microglanis garavelloi,Microglanis garavelloi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Pseudopimelodidae,Microglanis,Microglanis garavelloi,873171,NA
Microglanis iheringi,Microglanis iheringi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Pseudopimelodidae,Microglanis,Microglanis iheringi,1087479,NA
Microglanis leptostriatus,Microglanis leptostriatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Pseudopimelodidae,Microglanis,Microglanis leptostriatus,498421,NA
Microglanis malabarbai,Microglanis malabarbai,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Pseudopimelodidae,Microglanis,Microglanis malabarbai,3624171,NA
Microglanis pataxo,Microglanis pataxo,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Pseudopimelodidae,Microglanis,Microglanis pataxo,3624180,NA
Microglanis poecilus,Microglanis poecilus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Pseudopimelodidae,Microglanis,Microglanis poecilus,3624183,NA
Micrognathus andersonii,Micrognathus andersonii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Micrognathus,Micrognathus andersonii,3642343,NA
Micrognathus natans,Micrognathus natans,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Micrognathus,Micrognathus natans,3642271,NA
Microgobius brevispinis,Microgobius brevispinis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius brevispinis,197568,NA
Microgobius carri,Microgobius carri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius carri,76609,NA
Microgobius emblematicus,Microgobius emblematicus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius emblematicus,197571,NA
Microgobius erectus,Microgobius erectus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius erectus,197576,NA
Microgobius gulosus,Microgobius gulosus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius gulosus,318802,NA
Microgobius microlepis,Microgobius microlepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius microlepis,318824,NA
Microgobius miraflorensis,Microgobius miraflorensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius miraflorensis,3637450,NA
Microgobius signatus,Microgobius signatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius signatus,1008029,NA
Microgobius thalassinus,Microgobius thalassinus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius thalassinus,197580,NA
Microgobius urraca,Microgobius urraca,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Microgobius,Microgobius urraca,23577,NA
Microlepidogaster arachas,Microlepidogaster arachas,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Microlepidogaster,Microlepidogaster arachas,6141700,NA
Microlepidogaster dimorpha,Microlepidogaster dimorpha,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Microlepidogaster,Microlepidogaster dimorpha,214957,NA
Microlepidogaster longicolla,Microlepidogaster longicolla,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Microlepidogaster,Microlepidogaster longicolla,3622967,NA
Microlepidotus brevipinnis,Microlepidotus brevipinnis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Haemulidae,Microlepidotus,Microlepidotus brevipinnis,295204,NA
Microlepidotus inornatus,Microlepidotus inornatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Haemulidae,Microlepidotus,Microlepidotus inornatus,206201,NA
Microlipophrys adriaticus,Microlipophrys adriaticus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Blenniidae,Microlipophrys,Microlipophrys adriaticus,586338,NA
Microlipophrys bauchotae,Microlipophrys bauchotae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Blenniidae,Microlipophrys,Microlipophrys bauchotae,404707,NA
Microlipophrys caboverdensis,Microlipophrys caboverdensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Blenniidae,Microlipophrys,Microlipophrys caboverdensis,898538,NA
Microlipophrys canevae,Microlipophrys canevae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Blenniidae,Microlipophrys,Microlipophrys canevae,623353,NA
Microlipophrys dalmatinus,Microlipophrys dalmatinus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Blenniidae,Microlipophrys,Microlipophrys dalmatinus,898532,NA
Microlipophrys nigriceps,Microlipophrys nigriceps,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Blenniidae,Microlipophrys,Microlipophrys nigriceps,778010,NA
Microlipophrys velifer,Microlipophrys velifer,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Blenniidae,Microlipophrys,Microlipophrys velifer,404714,NA
Microlophichthys microlophus,Microlophichthys microlophus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Oneirodidae,Microlophichthys,Microlophichthys microlophus,3630346,NA
Micromesistius australis,Micromesistius australis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gadidae,Micromesistius,Micromesistius australis,67151,NA
Micromesistius poutassou,Micromesistius poutassou,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gadidae,Micromesistius,Micromesistius poutassou,780760,NA
Micrometrus minimus,Micrometrus minimus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Embiotocidae,Micrometrus,Micrometrus minimus,338064,NA
Micromischodus sugillatus,Micromischodus sugillatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Hemiodontidae,Micromischodus,Micromischodus sugillatus,3624397,NA
NA,Micromoema xiphophorus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,NA,Micromoema,Micromoema xiphophorus,1018489,NA
Micromyzon akamai,Micromyzon akamai,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Aspredinidae,Micromyzon,Micromyzon akamai,113061,NA
Micronemacheilus cruciatus,Micronemacheilus cruciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Micronemacheilus,Micronemacheilus cruciatus,3628065,NA
Micropanchax kingii,Micropanchax kingii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Procatopodidae,Micropanchax,Micropanchax kingii,3641903,NA
Micropanchax scheeli,Micropanchax scheeli,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Procatopodidae,Micropanchax,Micropanchax scheeli,3641911,NA
NA,Lacustricola vitschumbaensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Poeciliidae,Lacustricola,Lacustricola vitschumbaensis,3641904,NA
Micropercops swinhonis,Micropercops swinhonis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Odontobutidae,Micropercops,Micropercops swinhonis,599809,NA
Microphilypnus ternetzi,Microphilypnus ternetzi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Eleotridae,Microphilypnus,Microphilypnus ternetzi,464527,NA
Microphis aculeatus,Microphis aculeatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Microphis,Microphis aculeatus,6141285,NA
Microphis cuncalus,Microphis cuncalus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Microphis,Microphis cuncalus,3642143,NA
Microphis deocata,Microphis deocata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Microphis,Microphis deocata,3642140,NA
Microphis lineatus,Microphis lineatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Microphis,Microphis lineatus,6141286,NA
Microphis retzii,Microphis retzii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Syngnathidae,Microphis,Microphis retzii,3642147,NA
Microphysogobio alticorpus,Microphysogobio alticorpus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microphysogobio,Microphysogobio alticorpus,3626267,NA
Microphysogobio amurensis,Microphysogobio amurensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microphysogobio,Microphysogobio amurensis,124670,NA
Microphysogobio brevirostris,Microphysogobio brevirostris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microphysogobio,Microphysogobio brevirostris,3626271,NA
NA,Huigobio chenhsienensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Huigobio,Huigobio chenhsienensis,3627651,NA
Microphysogobio chinssuensis,Microphysogobio chinssuensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microphysogobio,Microphysogobio chinssuensis,767340,NA
Microphysogobio elongatus,Microphysogobio elongatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Microphysogobio,Microphysogobio elongatus,252061,NA
