"","rank","found_taxa","ncbi_sp","genus","family","order","class","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","freshwater_only","hybrid"
"99","species","Gobiesox barbatulus","Gobiesox barbatulus","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox barbatulus","Gobiesox barbatulus",275665,275665,"accepted",NA,0,NA
"100","species","Gobiesox daedaleus","Gobiesox daedaleus","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox daedaleus","Gobiesox daedaleus",275668,275668,"accepted",NA,0,NA
"101","species","Gobiesox strumosus","Gobiesox strumosus","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox strumosus","Gobiesox strumosus",158787,158787,"accepted",NA,0,NA
"102","species","Arcos nudus","Arcos nudus","Arcos","Gobiesocidae","Gobiesociformes","Teleostei","Arcos nudus","Arcos nudus",1020567,1020567,"accepted",NA,0,NA
"103","species","Gobiesox nigripinnis","Gobiesox nigripinnis","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox nigripinnis","Gobiesox nigripinnis",275675,275675,"accepted",NA,0,NA
"104","species","Gobiesox juradoensis","Gobiesox juradoensis","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox juradoensis","Gobiesox juradoensis",1383540,1383540,"accepted",NA,1,NA
"105","species","Gobiesox punctulatus","Gobiesox punctulatus","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox punctulatus","Gobiesox punctulatus",275678,275678,"accepted",NA,0,NA
"106","species","Gobiesox potamius","Gobiesox potamius","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox potamius","Gobiesox potamius",1012829,1012829,"accepted",NA,1,NA
"107","species","Gobiesox pinniger","Gobiesox pinniger","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox pinniger","Gobiesox pinniger",275677,275677,"accepted",NA,0,NA
"108","species","Gobiesox rhessodon","Gobiesox rhessodon","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox rhessodon","Gobiesox rhessodon",275679,275679,"accepted",NA,0,NA
"109","species","Gobiesox mexicanus","Gobiesox mexicanus","Gobiesox","Gobiesocidae","Gobiesociformes","Teleostei","Gobiesox mexicanus","Gobiesox mexicanus",1013754,1013754,"accepted",NA,1,NA
"110","species","Pherallodiscus funebris","Pherallodiscus funebris","Pherallodiscus","Gobiesocidae","Gobiesociformes","Teleostei","Pherallodiscus funebris","Pherallodiscus funebris",282237,282237,"accepted",NA,0,NA
"111","species","Rimicola muscarum","Rimicola muscarum","Rimicola","Gobiesocidae","Gobiesociformes","Teleostei","Rimicola muscarum","Rimicola muscarum",282617,282617,"accepted",NA,0,NA
"112","species","Acyrtops beryllinus","Acyrtops beryllinus","Acyrtops","Gobiesocidae","Gobiesociformes","Teleostei","Acyrtops beryllinus","Acyrtops beryllinus",279504,279504,"accepted",NA,0,NA
"113","species","Arcos erythrops","Arcos erythrops","Arcos","Gobiesocidae","Gobiesociformes","Teleostei","Arcos erythrops","Arcos erythrops",279682,279682,"accepted",NA,0,NA
"114","species","Sicyases sanguineus","Sicyases sanguineus","Sicyases","Gobiesocidae","Gobiesociformes","Teleostei","Sicyases sanguineus","Sicyases sanguineus",282773,282773,"accepted",NA,0,NA
"115","species","Tomicodon boehlkei","Tomicodon boehlkei","Tomicodon","Gobiesocidae","Gobiesociformes","Teleostei","Tomicodon boehlkei","Tomicodon boehlkei",282987,282987,"accepted",NA,0,NA
"116","species","Tomicodon humeralis","Tomicodon humeralis","Tomicodon","Gobiesocidae","Gobiesociformes","Teleostei","Tomicodon humeralis","Tomicodon humeralis",282994,282994,"accepted",NA,0,NA
"117","species","Tomicodon myersi","Tomicodon myersi","Tomicodon","Gobiesocidae","Gobiesociformes","Teleostei","Tomicodon myersi","Tomicodon myersi",282997,282997,"accepted",NA,0,NA
"118","species","Tomicodon zebra","Tomicodon zebra","Tomicodon","Gobiesocidae","Gobiesociformes","Teleostei","Tomicodon zebra","Tomicodon zebra",283004,283004,"accepted",NA,0,NA
"119","genus","Tomicodon","Tomicodon","Tomicodon","Gobiesocidae","Gobiesociformes","Teleostei","Tomicodon","Tomicodon",271102,271102,"accepted",NA,0,NA
"120","species","Diademichthys lineatus","Diademichthys lineatus","Diademichthys","Gobiesocidae","Gobiesociformes","Teleostei","Diademichthys lineatus","Diademichthys lineatus",219756,219756,"accepted",NA,0,NA
"121","species","Lepadichthys frenatus","Lepadichthys frenatus","Lepadichthys","Gobiesocidae","Gobiesociformes","Teleostei","Lepadichthys frenatus","Lepadichthys frenatus",279218,279218,"accepted",NA,0,NA
"122","species","Discotrema crinophilum","Discotrema crinophila","Discotrema","Gobiesocidae","Gobiesociformes","Teleostei","Discotrema crinophila","Discotrema crinophilum",398425,280569,"unaccepted","misspelling",0,NA
"123","species","Chorisochismus dentex","Chorisochismus dentex","Chorisochismus","Gobiesocidae","Gobiesociformes","Teleostei","Chorisochismus dentex","Chorisochismus dentex",219755,219755,"accepted",NA,0,NA
"124","species","Cochleoceps orientalis","Cochleoceps orientalis","Cochleoceps","Gobiesocidae","Gobiesociformes","Teleostei","Cochleoceps orientalis","Cochleoceps orientalis",280233,280233,"accepted",NA,0,NA
"125","species","Alabes hoesei","Alabes hoesei","Alabes","Gobiesocidae","Gobiesociformes","Teleostei","Alabes hoesei","Alabes hoesei",279538,279538,"accepted",NA,0,NA
"126","species","Parvicrepis parvipinnis","Parvicrepis parvipinnis","Parvicrepis","Gobiesocidae","Gobiesociformes","Teleostei","Parvicrepis parvipinnis","Parvicrepis parvipinnis",282176,282176,"accepted",NA,0,NA
"127","species","Aspasmogaster costata","Aspasmogaster costata","Aspasmogaster","Gobiesocidae","Gobiesociformes","Teleostei","Aspasmogaster costata","Aspasmogaster costata",279749,279749,"accepted",NA,0,NA
"128","species","Apletodon dentatus","Apletodon dentatus","Apletodon","Gobiesocidae","Gobiesociformes","Teleostei","Apletodon dentatus","Apletodon dentatus",126510,126510,"accepted",NA,0,NA
"129","species","Lepadogaster purpurea","Lepadogaster purpurea","Lepadogaster","Gobiesocidae","Gobiesociformes","Teleostei","Lepadogaster purpurea","Lepadogaster purpurea",126519,126519,"accepted",NA,0,NA
"130","species","Xiphister atropurpureus","Xiphister atropurpureus","Xiphister","Stichaeidae","Perciformes","Teleostei","Xiphister atropurpureus","Xiphister atropurpureus",283194,283194,"accepted",NA,0,NA
"131","species","Ambloplites rupestris","Ambloplites rupestris","Ambloplites","Centrarchidae","Centrarchiformes","Teleostei","Ambloplites rupestris","Ambloplites rupestris",151293,151293,"accepted",NA,1,NA
"132","species","Etheostoma caeruleum","Etheostoma caeruleum","Etheostoma","Percidae","Perciformes","Teleostei","Etheostoma caeruleum","Etheostoma caeruleum",1022036,1022036,"accepted",NA,1,NA
"133","species","Diodon hystrix","Diodon hystrix","Diodon","Diodontidae","Tetraodontiformes","Teleostei","Diodon hystrix","Diodon hystrix",127403,127403,"accepted",NA,0,NA
"134","species","Acentrogobius viridipunctatus","Acentrogobius viridipunctatus","Acentrogobius","Gobiidae","Gobiiformes","Teleostei","Acentrogobius viridipunctatus","Acentrogobius viridipunctatus",219369,219369,"accepted",NA,0,NA
"135","species","Kryptopterus vitreolus","Kryptopterus vitreolus","Kryptopterus","Siluridae","Siluriformes","Teleostei","Kryptopterus vitreolus","Kryptopterus vitreolus",1007332,1007332,"accepted",NA,1,NA
"136","species","Sorubim lima","Sorubim lima","Sorubim","Pimelodidae","Siluriformes","Teleostei","Sorubim lima","Sorubim lima",1016883,1016883,"accepted",NA,1,NA
"137","species","Etheostoma okaloosae","Etheostoma okaloosae","Etheostoma","Percidae","Perciformes","Teleostei","Etheostoma okaloosae","Etheostoma okaloosae",1525185,1525185,"accepted",NA,1,NA
"138","species","Clarias batrachus","Clarias batrachus","Clarias","Clariidae","Siluriformes","Teleostei","Clarias batrachus","Clarias batrachus",280201,280201,"accepted",NA,0,NA
