"","rank","found_taxa","ncbi_sp","genus","family","order","class","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","freshwater_only","hybrid"
"17105","genus","Cyprinella","Cyprinella mosa mosa","Cyprinella","Cyprinidae","Cypriniformes","Teleostei","Cyprinella","Cyprinella",NA,NA,NA,NA,NA,NA
"17106","genus","Oncorhynchus","Oncorhynchus clarkii virginalis","Oncorhynchus","Salmonidae","Salmoniformes","Teleostei","Oncorhynchus","Oncorhynchus",126140,NA,"accepted",NA,0,NA
"17107","genus","Seriola","Seriola lali iolalali","Seriola","Carangidae","Carangiformes","Teleostei","Seriola","Seriola",NA,NA,NA,NA,NA,NA
"17108","genus","Pampus","Pampus chinensis  Ngpt","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17109","genus","Pampus","Pampus chinensis  WBngl","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17110","genus","Pampus","Pampus chinensis  Puri","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17111","genus","Pampus","Pampus chinensis  Pdch","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17112","genus","Epibulus","Epibulus insidiator  AS Female","Epibulus","Labridae","Eupercaria incertae sedis","Teleostei","Epibulus","Epibulus",NA,NA,NA,NA,NA,NA
"17113","genus","Epibulus","Epibulus insidiator  AS male","Epibulus","Labridae","Eupercaria incertae sedis","Teleostei","Epibulus","Epibulus",NA,NA,NA,NA,NA,NA
"17114","genus","Epibulus","Epibulus insidiator  AS Juvenile","Epibulus","Labridae","Eupercaria incertae sedis","Teleostei","Epibulus","Epibulus",NA,NA,NA,NA,NA,NA
"17115","genus","Pampus","Pampus  Puri","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17116","genus","Pampus","Pampus  WBngl","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17117","genus","Pampus","Pampus  Pdch","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17118","genus","Pampus","Pampus cidus","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17119","genus","Pampus","Pampus cidus  Ngpt","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17120","genus","Pampus","Pampus cidus  Pmbn","Pampus","Stromateidae","Scombriformes","Teleostei","Pampus","Pampus",126089,NA,"accepted",NA,0,NA
"17121","genus","Opsariichthys","Opsariichthys uncirostris amurensis","Opsariichthys","Cyprinidae","Cypriniformes","Teleostei","Opsariichthys","Opsariichthys",270110,NA,"accepted",NA,1,NA
"17122","genus","Cyprinodon","Cyprinodon salinus salinus","Cyprinodon","Cyprinodontidae","Cyprinodontiformes","Teleostei","Cyprinodon","Cyprinodon",NA,NA,NA,NA,NA,NA
"17123","genus","Tor","Tor tambra  Java","Tor","Cyprinidae","Cypriniformes","Teleostei","Tor","Tor",NA,NA,NA,NA,NA,NA
"17124","genus","Johnius","Johnius  BNTc","Johnius","Sciaenidae","Eupercaria incertae sedis","Teleostei","Johnius","Johnius",159317,NA,"accepted",NA,0,NA
"17125","genus","Johnius","Johnius  KKa","Johnius","Sciaenidae","Eupercaria incertae sedis","Teleostei","Johnius","Johnius",159317,NA,"accepted",NA,0,NA
"17126","genus","Johnius","Johnius  KKf","Johnius","Sciaenidae","Eupercaria incertae sedis","Teleostei","Johnius","Johnius",159317,NA,"accepted",NA,0,NA
"17127","genus","Johnius","Johnius  MIRIg","Johnius","Sciaenidae","Eupercaria incertae sedis","Teleostei","Johnius","Johnius",159317,NA,"accepted",NA,0,NA
"17128","genus","Johnius","Johnius  MIRIi","Johnius","Sciaenidae","Eupercaria incertae sedis","Teleostei","Johnius","Johnius",159317,NA,"accepted",NA,0,NA
"17129","genus","Champsodon","Champsodon atridorsalis  champcmfricfd","Champsodon","Champsodontidae","Acropomatiformes","Teleostei","Champsodon","Champsodon",206066,NA,"accepted",NA,0,NA
"17130","genus","Champsodon","Champsodon atridorsalis  champcfd","Champsodon","Champsodontidae","Acropomatiformes","Teleostei","Champsodon","Champsodon",206066,NA,"accepted",NA,0,NA
"17131","genus","Lates","Lates mariae  Lama","Lates","Latidae","Carangaria incertae sedis","Teleostei","Lates","Lates",NA,NA,NA,NA,NA,NA
"17132","genus","Lates","Lates microlepis  Lami","Lates","Latidae","Carangaria incertae sedis","Teleostei","Lates","Lates",NA,NA,NA,NA,NA,NA
"17133","genus","Lates","Lates angustifrons  Laan","Lates","Latidae","Carangaria incertae sedis","Teleostei","Lates","Lates",NA,NA,NA,NA,NA,NA
"17134","genus","Lates","Lates niloticus  Lani","Lates","Latidae","Carangaria incertae sedis","Teleostei","Lates","Lates",NA,NA,NA,NA,NA,NA
"17135","genus","Typhlachirus","Typhlachirus elongatus  Tyhpelt","Typhlachirus","Soleidae","Pleuronectiformes","Teleostei","Typhlachirus","Typhlachirus",271175,271175,"accepted",NA,0,NA
"17136","genus","Typhlachirus","Typhlachirus elongatus  Tyhpel","Typhlachirus","Soleidae","Pleuronectiformes","Teleostei","Typhlachirus","Typhlachirus",271175,271175,"accepted",NA,0,NA
"17137","genus","Cirrhinus","Cirrhinus cirrhosus  Chittagong","Cirrhinus","Cyprinidae","Cypriniformes","Teleostei","Cirrhinus","Cirrhinus",268775,NA,"accepted",NA,0,NA
"17138","genus","Salvelinus","Salvelinus alpinus erythrinus","Salvelinus","Salmonidae","Salmoniformes","Teleostei","Salvelinus","Salvelinus",126142,NA,"accepted",NA,0,NA
"17139","genus","Sinocyclocheilus","Sinocyclocheilus liboensis  Libo","Sinocyclocheilus","Cyprinidae","Cypriniformes","Teleostei","Sinocyclocheilus","Sinocyclocheilus",270909,NA,"accepted",NA,1,NA
"17140","genus","Epinephelus","Epinephelus itajara  Sample","Epinephelus","Serranidae","Perciformes","Teleostei","Epinephelus","Epinephelus",126068,NA,"accepted",NA,0,NA
"17141","genus","Pomadasys","Rhonciscus crocro  Sample","Pomadasys","Haemulidae","Eupercaria incertae sedis","Teleostei","Rhonciscus","Pomadasys",126011,205939,"unaccepted","synonym",NA,NA
"17142","genus","Lycodapus","Lycodapus  EPLr","Lycodapus","Zoarcidae","Perciformes","Teleostei","Lycodapus","Lycodapus",234573,NA,"accepted",NA,0,NA
"17143","genus","Melanostigma","Melanostigma pammelas  EPb","Melanostigma","Zoarcidae","Perciformes","Teleostei","Melanostigma","Melanostigma",NA,NA,NA,NA,NA,NA
"17144","genus","Esox","Esox lucius  Eslu","Esox","Esocidae","Esociformes","Teleostei","Esox","Esox",NA,NA,NA,NA,NA,NA
"17145","genus","Pseudophoxinus","Pseudophoxinus egridiri  Pegridiri","Pseudophoxinus","Cyprinidae","Cypriniformes","Teleostei","Pseudophoxinus","Pseudophoxinus",NA,NA,NA,NA,NA,NA
"17146","genus","Thunnus","Thunnus  abtuna","Thunnus","Scombridae","Scombriformes","Teleostei","Thunnus","Thunnus",NA,NA,NA,NA,NA,NA
"17147","genus","Coris","Coris melanura  Baleares","Coris","Labridae","Eupercaria incertae sedis","Teleostei","Coris","Coris",NA,NA,NA,NA,NA,NA
"17148","genus","Hypleurochilus","Hypleurochilus fissicornis  NewChile","Hypleurochilus","Blenniidae","Blenniiformes","Teleostei","Hypleurochilus","Hypleurochilus",159601,NA,"accepted",NA,0,NA
"17149","genus","Hypsoblennius","Hypsoblennius sordidus  NewChile","Hypsoblennius","Blenniidae","Blenniiformes","Teleostei","Hypsoblennius","Hypsoblennius",NA,NA,NA,NA,NA,NA
"17150","genus","Clupeonella","Clupeonella cultriventris  daClcul","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17151","genus","Clupeonella","Clupeonella cultriventris  daBlackSea","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17152","genus","Clupeonella","Clupeonella cultriventris  dbBlackSea","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17153","genus","Clupeonella","Clupeonella cultriventris  dSaratov","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17154","genus","Clupeonella","Clupeonella cultriventris  daKamaPerm","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17155","genus","Clupeonella","Clupeonella cultriventris  dbKamaPerm","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17156","genus","Clupeonella","Clupeonella cultriventris  daCaspianSea","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17157","genus","Clupeonella","Clupeonella cultriventris  dbCaspianSea","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17158","family","Clupeidae","Clupeidae  daTallinnMarket  daClupeidaeTallinnMarket",NA,"Clupeidae","Clupeiformes","Teleostei","Clupeidae","Clupeidae",125464,125464,"accepted",NA,0,NA
"17159","family","Clupeidae","Clupeidae  dbTallinnMarket  dbClupeidaeTallinnMarket",NA,"Clupeidae","Clupeiformes","Teleostei","Clupeidae","Clupeidae",125464,125464,"accepted",NA,0,NA
"17160","genus","Sprattus","Sprattus sprattus  dSprattusTallinn","Sprattus","Clupeidae","Clupeiformes","Teleostei","Sprattus","Sprattus",NA,NA,NA,NA,NA,NA
"17161","genus","Clupeonella","Clupeonella cultriventris  daLower","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17162","genus","Clupeonella","Clupeonella cultriventris  dbLower","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17163","genus","Clupeonella","Clupeonella cultriventris  dcLower","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17164","genus","Clupeonella","Clupeonella cultriventris  daKamaNizhnekamskoye","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17165","genus","Clupeonella","Clupeonella cultriventris  dbKamaNizhnekamskoye","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17166","genus","Clupeonella","Clupeonella cultriventris  daKamaVotkinskoye","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17167","genus","Clupeonella","Clupeonella cultriventris  dbKamaVotkinskoye","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17168","genus","Clupeonella","Clupeonella cultriventris  daSaratovskoye","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17169","genus","Clupeonella","Clupeonella cultriventris  dbSaratovskoye","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17170","genus","Clupeonella","Clupeonella cultriventris  dKuybyshevskoe","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17171","genus","Neogobius","Neogobius melanostomus  dNmelCheboksarskoye","Neogobius","Gobiidae","Gobiiformes","Teleostei","Neogobius","Neogobius",NA,NA,NA,NA,NA,NA
"17172","genus","Ponticola","Ponticola syrman  dNsyr","Ponticola","Gobiidae","Gobiiformes","Teleostei","Ponticola","Ponticola",NA,NA,NA,NA,NA,NA
"17173","genus","Perccottus","Perccottus glenii  dleVolgogradskoye","Perccottus","Odontobutidae","Gobiiformes","Teleostei","Perccottus","Perccottus",NA,NA,NA,NA,NA,NA
"17174","genus","Ponticola","Ponticola gorlap  dNgor","Ponticola","Gobiidae","Gobiiformes","Teleostei","Ponticola","Ponticola",NA,NA,NA,NA,NA,NA
"17175","genus","Neogobius","Neogobius fluviatilis  Lower","Neogobius","Gobiidae","Gobiiformes","Teleostei","Neogobius","Neogobius",NA,NA,NA,NA,NA,NA
"17176","genus","Neogobius","Neogobius fluviatilis  Volgogradskoye","Neogobius","Gobiidae","Gobiiformes","Teleostei","Neogobius","Neogobius",NA,NA,NA,NA,NA,NA
"17177","genus","Benthophilus","Benthophilus stellatus  dBstel","Benthophilus","Gobiidae","Gobiiformes","Teleostei","Benthophilus","Benthophilus",125978,NA,"accepted",NA,0,NA
"17178","genus","Benthophilus","Benthophilus stellatus  daBstelCheboksarskoye","Benthophilus","Gobiidae","Gobiiformes","Teleostei","Benthophilus","Benthophilus",125978,NA,"accepted",NA,0,NA
"17179","genus","Benthophilus","Benthophilus stellatus  dbBstelCheboksarskoye","Benthophilus","Gobiidae","Gobiiformes","Teleostei","Benthophilus","Benthophilus",125978,NA,"accepted",NA,0,NA
"17180","genus","Benthophilus","Benthophilus stellatus  dBstelSaratovskoye","Benthophilus","Gobiidae","Gobiiformes","Teleostei","Benthophilus","Benthophilus",125978,NA,"accepted",NA,0,NA
"17181","genus","Ponticola","Ponticola gorlap  dGobiidae","Ponticola","Gobiidae","Gobiiformes","Teleostei","Ponticola","Ponticola",NA,NA,NA,NA,NA,NA
"17182","genus","Benthophilus","Benthophilus stellatus  dGobiidae","Benthophilus","Gobiidae","Gobiiformes","Teleostei","Benthophilus","Benthophilus",125978,NA,"accepted",NA,0,NA
"17183","genus","Benthophilus","Benthophilus stellatus  dTeleosteiKama","Benthophilus","Gobiidae","Gobiiformes","Teleostei","Benthophilus","Benthophilus",125978,NA,"accepted",NA,0,NA
"17184","genus","Pseudorasbora","Pseudorasbora parva  daPpar","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17185","genus","Pseudorasbora","Pseudorasbora parva  dbPpar","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17186","genus","Pseudorasbora","Pseudorasbora parva  dcPpar","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17187","genus","Pseudorasbora","Pseudorasbora parva Ppar","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17188","genus","Clupeonella","Clupeonella cultriventris  dLower","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17189","genus","Pseudorasbora","Pseudorasbora parva  daPparUkraine","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17190","genus","Pseudorasbora","Pseudorasbora parva  dbPparUkraine","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17191","genus","Clupeonella","Clupeonella cultriventris  da","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17192","genus","Clupeonella","Clupeonella cultriventris  db","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17193","genus","Clupeonella","Clupeonella cultriventris  dc","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17194","genus","Clupeonella","Clupeonella cultriventris  de","Clupeonella","Ehiravidae","Clupeiformes","Teleostei","Clupeonella","Clupeonella",NA,NA,NA,NA,NA,NA
"17195","genus","Pseudorasbora","Pseudorasbora parva  daPparTerek","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17196","genus","Pseudorasbora","Pseudorasbora parva  dbPparTerek","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17197","genus","Pseudorasbora","Pseudorasbora parva  dcPparTerek","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17198","genus","Pseudorasbora","Pseudorasbora parva  dPparDon","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17199","genus","Pseudorasbora","Pseudorasbora parva  dPparSevDonec","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17200","genus","Pseudorasbora","Pseudorasbora parva  daPparCrimea","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17201","genus","Pseudorasbora","Pseudorasbora parva  dbPparCrimea","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17202","genus","Pseudorasbora","Pseudorasbora parva  daPparMongolia","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17203","genus","Pseudorasbora","Pseudorasbora parva  dbPparMongolia","Pseudorasbora","Cyprinidae","Cypriniformes","Teleostei","Pseudorasbora","Pseudorasbora",NA,NA,NA,NA,NA,NA
"17204","genus","Lepidosiren","Lepidosiren paradoxa","Lepidosiren","Lepidosirenidae","Ceratodontiformes","Dipneusti","Lepidosiren","Lepidosiren",269641,269641,"accepted",NA,1,NA
"17205","genus","Neoceratodus","Neoceratodus steri","Neoceratodus","Neoceratodontidae","Ceratodontiformes","Dipneusti","Neoceratodus","Neoceratodus",269990,269990,"accepted",NA,1,NA
"17206","genus","Protopterus","Protopterus","Protopterus","Protopteridae","Ceratodontiformes","Dipneusti","Protopterus","Protopterus",270544,270544,"accepted",NA,1,NA
"17207","genus","Protopterus","Protopterus annectens","Protopterus","Protopteridae","Ceratodontiformes","Dipneusti","Protopterus","Protopterus",270544,270544,"accepted",NA,1,NA
"17208","genus","Protopterus","Protopterus aethiopicus","Protopterus","Protopteridae","Ceratodontiformes","Dipneusti","Protopterus","Protopterus",270544,270544,"accepted",NA,1,NA
"17209","genus","Protopterus","Protopterus annectens annectens","Protopterus","Protopteridae","Ceratodontiformes","Dipneusti","Protopterus","Protopterus",270544,270544,"accepted",NA,1,NA
"17210","genus","Protopterus","Protopterus aethiopicus aethiopicus","Protopterus","Protopteridae","Ceratodontiformes","Dipneusti","Protopterus","Protopterus",270544,270544,"accepted",NA,1,NA
"17211","genus","Pegasus","Pegasus volitans  Pegasusvolitans","Pegasus","Pegasidae","Dactylopteriformes","Teleostei","Pegasus","Pegasus",206710,NA,"accepted",NA,0,NA
"17212","genus","Tachysurus","Tachysurus ussuriensis x Tachysurus fulvidraco","Tachysurus","Bagridae","Siluriformes","Teleostei","Tachysurus","Tachysurus",205029,NA,"accepted",NA,0,NA
"17213","genus","Carangoides","Carangoides bajad","Carangoides","Carangidae","Carangiformes","Teleostei","Carangoides","Carangoides",159473,159473,"accepted",NA,0,NA
"17214","genus","Etheostoma","Etheostoma fusime","Etheostoma","Percidae","Perciformes","Teleostei","Etheostoma","Etheostoma",NA,NA,NA,NA,NA,NA
"17215","genus","Morone","Morone mississippiensis  Brooke","Morone","Moronidae","Eupercaria incertae sedis","Teleostei","Morone","Morone",NA,NA,NA,NA,NA,NA
"17216","genus","Synbranchus","Synbranchus madeirae  MLP uncataloged","Synbranchus","Synbranchidae","Synbranchiformes","Teleostei","Synbranchus","Synbranchus",271018,NA,"accepted",NA,0,NA
"17217","genus","Synbranchus","Synbranchus  ANSP","Synbranchus","Synbranchidae","Synbranchiformes","Teleostei","Synbranchus","Synbranchus",271018,NA,"accepted",NA,0,NA
"17218","genus","Synbranchus","Synbranchus  MLP uncatalogued A  MLP uncataloged","Synbranchus","Synbranchidae","Synbranchiformes","Teleostei","Synbranchus","Synbranchus",271018,NA,"accepted",NA,0,NA
"17219","genus","Synbranchus","Synbranchus  INPA","Synbranchus","Synbranchidae","Synbranchiformes","Teleostei","Synbranchus","Synbranchus",271018,NA,"accepted",NA,0,NA
"17220","genus","Synbranchus","Synbranchus  r","Synbranchus","Synbranchidae","Synbranchiformes","Teleostei","Synbranchus","Synbranchus",271018,NA,"accepted",NA,0,NA
"17221","genus","Epalzeorhynchos","Epalzeorhynchos frenatus","Epalzeorhynchos","Cyprinidae","Cypriniformes","Teleostei","Epalzeorhynchos","Epalzeorhynchos",NA,NA,NA,NA,NA,NA
"17222","genus","Onychostoma","Onychostoma ovale rhomboides","Onychostoma","Cyprinidae","Cypriniformes","Teleostei","Onychostoma","Onychostoma",270095,NA,"accepted",NA,0,NA
"17223","genus","Gyrinocheilus","Gyrinocheilus aymonieri en Algae Eater","Gyrinocheilus","Gyrinocheilidae","Cypriniformes","Teleostei","Gyrinocheilus","Gyrinocheilus",269299,NA,"accepted",NA,1,NA
"17224","genus","Giuris","Giuris margaritacea","Giuris","Eleotridae","Gobiiformes","Teleostei","Giuris","Giuris",296689,296689,"accepted",NA,0,NA
"17225","genus","Carangoides","Carangoides gymnostethus","Carangoides","Carangidae","Carangiformes","Teleostei","Carangoides","Carangoides",159473,159473,"accepted",NA,0,NA
"17226","genus","Ulua","Ulua mentalis","Ulua","Carangidae","Carangiformes","Teleostei","Ulua","Ulua",NA,NA,NA,NA,NA,NA
"17227","genus","Carangoides","Carangoides coeruleopinnatus","Carangoides","Carangidae","Carangiformes","Teleostei","Carangoides","Carangoides",159473,159473,"accepted",NA,0,NA
"17228","genus","Chromis","Chromis lineata","Chromis","Pomacentridae","Ovalentaria incertae sedis","Teleostei","Chromis","Chromis",126045,NA,"accepted",NA,0,NA
"17229","genus","Carangoides","Carangoides fulvoguttatus","Carangoides","Carangidae","Carangiformes","Teleostei","Carangoides","Carangoides",159473,159473,"accepted",NA,0,NA
"17230","genus","Carangoides","Carangoides ferdau","Carangoides","Carangidae","Carangiformes","Teleostei","Carangoides","Carangoides",159473,159473,"accepted",NA,0,NA
"17231","genus","Etheostoma","Etheostoma mihileze  Eric","Etheostoma","Percidae","Perciformes","Teleostei","Etheostoma","Etheostoma",NA,NA,NA,NA,NA,NA
"17232","genus","Lepomis","Lepomis marginatus  Eric","Lepomis","Centrarchidae","Centrarchiformes","Teleostei","Lepomis","Lepomis",NA,NA,NA,NA,NA,NA
"17233","genus","Etheostoma","Etheostoma burri  Eric","Etheostoma","Percidae","Perciformes","Teleostei","Etheostoma","Etheostoma",NA,NA,NA,NA,NA,NA
"17234","genus","Percina","Percina phoxocephala  Eric","Percina","Percidae","Perciformes","Teleostei","Percina","Percina",NA,NA,NA,NA,NA,NA
"17235","genus","Percina","Percina fulvitaenia  Eric","Percina","Percidae","Perciformes","Teleostei","Percina","Percina",NA,NA,NA,NA,NA,NA
"17236","genus","Percina","Percina maculata  Brooke","Percina","Percidae","Perciformes","Teleostei","Percina","Percina",NA,NA,NA,NA,NA,NA
"17237","genus","Poeciliopsis","Poeciliopsis monacha x P lucida","Poeciliopsis","Poeciliidae","Cyprinodontiformes","Teleostei","Poeciliopsis","Poeciliopsis",270464,NA,"accepted",NA,0,NA
"17238","genus","Poeciliopsis","Poeciliopsis monacha x P latidens","Poeciliopsis","Poeciliidae","Cyprinodontiformes","Teleostei","Poeciliopsis","Poeciliopsis",270464,NA,"accepted",NA,0,NA
"17239","genus","Poeciliopsis","Poeciliopsis monacha x P lucida x P viriosa","Poeciliopsis","Poeciliidae","Cyprinodontiformes","Teleostei","Poeciliopsis","Poeciliopsis",270464,NA,"accepted",NA,0,NA
"17240","genus","Poeciliopsis","Poeciliopsis monacha x P monacha x P lucida","Poeciliopsis","Poeciliidae","Cyprinodontiformes","Teleostei","Poeciliopsis","Poeciliopsis",270464,NA,"accepted",NA,0,NA
"17241","genus","Poeciliopsis","Poeciliopsis monacha x P lucida x P lucida","Poeciliopsis","Poeciliidae","Cyprinodontiformes","Teleostei","Poeciliopsis","Poeciliopsis",270464,NA,"accepted",NA,0,NA
"17242","genus","Rhizoprionodon","Rhizoprionodon lalii","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Rhizoprionodon","Rhizoprionodon",105723,NA,"accepted",NA,0,NA
"17243","genus","Lepomis","Lepomis gibbosus  LgibCalder","Lepomis","Centrarchidae","Centrarchiformes","Teleostei","Lepomis","Lepomis",NA,NA,NA,NA,NA,NA
"17244","genus","Gasterosteus","Gasterosteus aculeatus  ata","Gasterosteus","Gasterosteidae","Perciformes","Teleostei","Gasterosteus","Gasterosteus",NA,NA,NA,NA,NA,NA
"17245","genus","Nematistius","Nematistius pectoralis mito","Nematistius","Nematistiidae","Carangiformes","Teleostei","Nematistius","Nematistius",NA,NA,NA,NA,NA,NA
"17246","genus","Catostomus","Catostomus occidentalis lacusanserinus","Catostomus","Catostomidae","Cypriniformes","Teleostei","Catostomus","Catostomus",NA,NA,NA,NA,NA,NA
"17247","genus","Siphateles","Siphateles bicolor eurysoma","Siphateles","Cyprinidae","Cypriniformes","Teleostei","Siphateles","Siphateles",NA,NA,NA,NA,NA,NA
"17248","genus","Siphateles","Siphateles bicolor thalassinus","Siphateles","Cyprinidae","Cypriniformes","Teleostei","Siphateles","Siphateles",NA,NA,NA,NA,NA,NA
"17249","genus","Cottus","Cottus klamathensis polyporus","Cottus","Cottidae","Perciformes","Teleostei","Cottus","Cottus",126148,NA,"accepted",NA,0,NA
"17250","genus","Oncorhynchus","Oncorhynchus mykiss gairdneri","Oncorhynchus","Salmonidae","Salmoniformes","Teleostei","Oncorhynchus","Oncorhynchus",126140,NA,"accepted",NA,0,NA
"17251","genus","Oncorhynchus","Oncorhynchus mykiss irideus","Oncorhynchus","Salmonidae","Salmoniformes","Teleostei","Oncorhynchus","Oncorhynchus",126140,NA,"accepted",NA,0,NA
"17252","genus","Richardsonius","Richardsonius balteatus hydrophlox","Richardsonius","Cyprinidae","Cypriniformes","Teleostei","Richardsonius","Richardsonius",NA,NA,NA,NA,NA,NA
"17253","genus","Siphateles","Siphateles bicolor obesus","Siphateles","Cyprinidae","Cypriniformes","Teleostei","Siphateles","Siphateles",NA,NA,NA,NA,NA,NA
"17254","genus","Oncorhynchus","Oncorhynchus mykiss newberrii","Oncorhynchus","Salmonidae","Salmoniformes","Teleostei","Oncorhynchus","Oncorhynchus",126140,NA,"accepted",NA,0,NA
"17255","genus","Enteromius","Enteromius  Kalwungwishi","Enteromius","Cyprinidae","Cypriniformes","Teleostei","Enteromius","Enteromius",1006777,NA,"accepted",NA,0,NA
"17256","genus","Enteromius","Enteromius bifrenatus Kalungwishi","Enteromius","Cyprinidae","Cypriniformes","Teleostei","Enteromius","Enteromius",1006777,NA,"accepted",NA,0,NA
"17257","genus","Poecilia","Poecilia parae  Blue Melanzona","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei","Poecilia","Poecilia",154394,NA,"accepted",NA,0,NA
