taxa_query,ott_id,genus,worms_genus,terrestrial_only,freshwater_only
Nesticus obcaecatus,734407,Nesticus,231925,1,NA
Nesticus luquei,734411,Nesticus,231925,1,NA
Nesticus ionescui,734413,Nesticus,231925,1,NA
Loxosceles caribbaea,1069415,Loxosceles,1491329,1,NA
Loxosceles baja,1017853,Loxosceles,1491329,1,NA
Loxosceles kaiba,1069381,Loxosceles,1491329,1,NA
Loxosceles arizonica,120964,Loxosceles,1491329,1,NA
Loxosceles blanda,1069407,Loxosceles,1491329,1,NA
Loxosceles apachea,1017855,Loxosceles,1491329,1,NA
Loxosceles sabina,541801,Loxosceles,1491329,1,NA
Loxosceles deserta,313889,Loxosceles,1491329,1,NA
Loxosceles colima,1069397,Loxosceles,1491329,1,NA
Loxosceles reclusa,673746,Loxosceles,1491329,1,NA
Loxosceles chinateca,1069393,Loxosceles,1491329,1,NA
Loxosceles lacta,1069385,Loxosceles,1491329,1,NA
Loxosceles amazonica,932151,Loxosceles,1491329,1,NA
Loxoscelesegata,1017853,Loxosceles,1491329,1,NA
Loxosceles intermedia,653111,Loxosceles,1491329,1,NA
Loxosceles spadicea,917989,Loxosceles,1491329,1,NA
Loxosceles hirsuta,1069390,Loxosceles,1491329,1,NA
Loxosceles laeta,653131,Loxosceles,1491329,1,NA
Loxosceles vonwredei,461653,Loxosceles,1491329,1,NA
Loxosceles spinulosa,1068112,Loxosceles,1491329,1,NA
Loxosceles speluncarum,917979,Loxosceles,1491329,1,NA
Limnadia lenticularis,401740,Limnadia,1459821,0,1
Eulimnadia cylindrova,427149,Eulimnadia,1459816,0,1
Eulimnadia dahli,630870,Eulimnadia,1459816,0,1
Limnadopsis parvispinus,952924,Limnadopsis,1459824,0,1
Limnadia sordida,802312,Limnadia,1459821,0,1
Limnadia badia,746551,Limnadia,1459821,0,1
Limnadopsis tatei,222972,Limnadopsis,1459824,0,1
Limnadiapponica,230072,Limnadia,1459821,0,1
Eulimnadia africana,630871,Eulimnadia,1459816,0,1
Eulimnadia diversa,952926,Eulimnadia,1459816,0,1
Cyzicus gynecia,952922,Cyzicus,593225,NA,1
Limnadopsis birchii,964999,Limnadopsis,1459824,0,1
Limnadopsis paradoxa,1021583,Limnadopsis,1459824,0,1
Loxosceles gaucho,653133,Loxosceles,1491329,1,NA
Loxosceles mrazig,47316,Loxosceles,1491329,1,NA
Dermanyssus apodis,463955,Dermanyssus,1513098,1,NA
Loxosceles foutadjalloni,166785,Loxosceles,1491329,1,NA
