sample_id,kingdom,phylum,phylum_read_raw,phylum_read_index,phylum_pa,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species,species_read_raw,species_read_index,species_pa,terrestrial,holoplankton
GH122,Animalia,Annelida,0,0,0,Polychaeta,0,0,0,Phyllodocida,0,0,0,Nereididae,0,0,0,Nereis,0,0,0,Nereis vexillosa,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Gastropoda,0,0,0,Nudibranchia,0,0,0,Myrrhinidae,0,0,0,Hermissenda,0,0,0,Hermissenda crassicornis,0,0,0,0,0
GH122,Animalia,Annelida,0,0,0,Polychaeta,0,0,0,Phyllodocida,0,0,0,Sigalionidae,0,0,0,Sthenelais,0,0,0,Sthenelais berkeleyi,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Cephalopoda,0,0,0,Octopoda,0,0,0,Enteroctopodidae,0,0,0,Enteroctopus,0,0,0,Enteroctopus dofleini,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Gastropoda,0,0,0,Nudibranchia,0,0,0,Tethydidae,0,0,0,Melibe,0,0,0,Melibe leonina,0,0,0,0,0
GH122,Animalia,Annelida,0,0,0,Polychaeta,0,0,0,Eunicida,0,0,0,Onuphidae,0,0,0,Diopatra,0,0,0,Diopatra ornata,0,0,0,0,0
GH122,Animalia,Porifera,0,0,0,Demospongiae,0,0,0,Clionaida,0,0,0,Clionaidae,0,0,0,Cliona,0,0,0,Cliona chilensis,0,0,0,0,0
GH122,Animalia,Arthropoda,910,0.9498956158663883,1,Hexanauplia,910,0.9498956158663883,1,Calanoida,910,0.9498956158663883,1,Paracalanidae,0,0,0,Paracalanus,0,0,0,Paracalanus parvus,0,0,0,0,1
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Hydrozoa,25,0.026096033402922755,1,Leptothecata,25,0.026096033402922755,1,Aglaopheniidae,0,0,0,Aglaophenia,0,0,0,Aglaophenia struthionides,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Holothuroidea,0,0,0,Synallactida,0,0,0,Stichopodidae,0,0,0,Apostichopus,0,0,0,Apostichopus californicus,0,0,0,0,0
GH122,Animalia,Arthropoda,910,0.9498956158663883,1,Malacostraca,0,0,0,Decapoda,0,0,0,Varunidae,0,0,0,Hemigrapsus,0,0,0,Hemigrapsus nudus,0,0,0,0,0
GH122,Animalia,Nemertea,0,0,0,Pilidiophora,0,0,0,Heteronemertea,0,0,0,Lineidae,0,0,0,Maculaura,0,0,0,Maculaura alaskensis,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Gastropoda,0,0,0,Neogastropoda,0,0,0,Columbellidae,0,0,0,Alia,0,0,0,Alia carinata,0,0,0,0,0
GH122,Animalia,Arthropoda,910,0.9498956158663883,1,Malacostraca,0,0,0,Decapoda,0,0,0,Paguridae,0,0,0,Pagurus,0,0,0,Pagurus hirsutiusculus,0,0,0,0,0
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Anthozoa,0,0,0,Actiniaria,0,0,0,Actiniidae,0,0,0,Anthopleura,0,0,0,Anthopleura elegantissima,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Bivalvia,0,0,0,Cardiida,0,0,0,Cardiidae,0,0,0,Clinocardium,0,0,0,Clinocardium nuttallii,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Gastropoda,0,0,0,Littorinimorpha,0,0,0,Littorinidae,0,0,0,Littorina,0,0,0,Littorina sitkana,0,0,0,0,0
GH122,Animalia,Arthropoda,910,0.9498956158663883,1,Malacostraca,0,0,0,Decapoda,0,0,0,Varunidae,0,0,0,Hemigrapsus,0,0,0,Hemigrapsus oregonensis,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Echinoidea,15,0.032975367208470024,1,Clypeasteroida,15,0.23587446966125664,1,Dendrasteridae,15,0.23587446966125664,1,Dendraster,15,0.23587446966125664,1,Dendraster excentricus,15,0.23587446966125664,1,0,0
GH122,Animalia,Arthropoda,910,0.9498956158663883,1,Malacostraca,0,0,0,Amphipoda,0,0,0,Aoridae,0,0,0,Aoroides,0,0,0,Aoroides intermedius,0,0,0,0,0
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Hydrozoa,25,0.026096033402922755,1,Anthoathecata,0,0,0,Corynidae,0,0,0,Coryne,0,0,0,Coryne eximia,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Echinoidea,15,0.032975367208470024,1,Camarodonta,0,0,0,Strongylocentrotidae,0,0,0,Strongylocentrotus,0,0,0,Strongylocentrotus purpuratus,0,0,0,0,0
