 Acanthogobius flavimanus ,MW271007.1
 Acanthogobius flavimanus ,NC_063711.1
 Acanthogobius flavimanus CBMZF  s  S ,LC738820.1
 Acanthogobius flavimanus CBMZF  s  S ,LC020803.2
 Acanthogobius hasta ,AY486321.1
 Acanthogobius hasta ,JX186192.1
 Acanthogobius hasta ,KM030428.1
 Acanthogobius hasta ,KJ958906.1
 Acanthogobius hasta ,KM891736.1
 Acanthogobius hasta ,MK253669.1
 Acanthogobius hasta CBMZF  s  S ,LC717550.1
 Acanthogobius insularis NSMTP    S ,LC579284.1
 Acanthogobius lactipes  NMBE  ,KF415296.1
 Acanthogobius lactipes ,KM030431.1
 Acanthogobius lactipes    S ,LC193379.1
 Acanthogobius lactipes    S ,LC277730.1
 Acanthogobius lactipes    S ,LC277731.1
 Acanthogobius lactipes    S ,LC327165.1
 Acanthogobius lactipes    S ,LC340356.1
 Acanthogobius lactipes CBMZF    S ,LC385140.1
 Acanthogobius lactipes CBMZF    S ,LC474212.1
 Acanthogobius lactipes CBMZF    S ,LC474213.1
 Acanthogobius lactipes CBMZF    S ,LC474214.1
 Acanthogobius lactipes CBMZF    S ,LC474215.1
 Acanthogobius lactipes CBMZF    S ,LC589598.1
 Acanthogobius lactipes CBMZF    S ,LC589599.1
 Acanthogobius lactipes CBMZF  s  S ,LC649165.1
 Acanthogobius lactipes CBMZF    S ,LC723788.1
 Acanthogobius lactipes CBMZF  s  S ,LC738816.1
 Acanthogobius lactipes ,OR238485.1
 Acanthogobius luridus ,KM030432.1
 Acanthogobius luridus  ZCXHY S   ,MK934711.2
 Acanthogobius  'elongata' ,KM030429.1
 Acanthogobius stigmothonus ,MT258987.1
 Acantholabrus palloni  PersonalR HanelLB ,KY815234.1
 Acanthopagrus australis  Aa Dloop,AF381050.1
 Acanthopagrus australis  Aa Dloop,AF381051.1
 Acanthopagrus australis  Aa Dloop,AF381052.1
 Acanthopagrus australis  Aa Dloop,AF381053.1
 Acanthopagrus australis  Aa Dloop,AF381054.1
 Acanthopagrus australis  Aa Dloop,AF381055.1
 Acanthopagrus australis  Aa Dloop,AF381056.1
 Acanthopagrus australis  Aa Dloop,AF381057.1
 Acanthopagrus australis  Aa Dloop,AF381058.1
 Acanthopagrus australis  Aa Dloop,AF381059.1
 Acanthopagrus australis  Aa Dloop,AF381060.1
 Acanthopagrus australis  Aa Dloop,AF381061.1
 Acanthopagrus australis  CES ,KJ774772.1
 Acanthopagrus berda  Ab Dloop,AF381062.1
 Acanthopagrus berda  Ab Dloop,AF381063.1
 Acanthopagrus berda  Ab Dloop,AF381064.1
 Acanthopagrus berda  Ab Dloop,AF381065.1
 Acanthopagrus berda  Ab Dloop,AF381066.1
 Acanthopagrus berda  Ab Dloop,AF381067.1
 Acanthopagrus berda  Ab Dloop,AF381068.1
 Acanthopagrus berda  Ab Dloop,AF381069.1
 Acanthopagrus berda  Ab Dloop,AF381070.1
 Acanthopagrus berda  Ab Dloop,AF381071.1
 Acanthopagrus berda  Ab Dloop,AF381072.1
 Acanthopagrus berda  Ab Dloop,AF381073.1
 Acanthopagrus bifasciatus  ZMUC P ,MH248203.1
 Acanthopagrus bifasciatus  ZMUC P ,MH248204.1
 Acanthopagrus bifasciatus  KBFI   s  S ,LC649152.1
 Acanthopagrus butcheri ,FJ710993.2
 Acanthopagrus latus  Al Dloop,AF381083.1
 Acanthopagrus latus  Al Dloop,AF381084.1
 Acanthopagrus latus  Al Dloop,AF381085.1
 Acanthopagrus latus  Al Dloop,AF381086.1
 Acanthopagrus latus  Al Dloop,AF381087.1
 Acanthopagrus latus  Al Dloop,AF381088.1
 Acanthopagrus latus  Al Dloop,AF381089.1
 Acanthopagrus latus  Al Dloop,AF381090.1
 Acanthopagrus latus  Al Dloop,AF381091.1
 Acanthopagrus latus  Al Dloop,AF381092.1
 Acanthopagrus latus  Al Dloop,AF381093.1
 Acanthopagrus latus  Al Dloop,AF381094.1
 Acanthopagrus latus ,EF506764.1
 Acanthopagrus latus    S ,AB972185.1
 Acanthopagrus latus FRLM    S ,LC458156.1
 Acanthopagrus latus CBMZF    S ,LC474191.1
 Acanthopagrus latus CBMZF    S ,LC492397.1
 Acanthopagrus latus CBMZF    S ,LC506636.1
 Acanthopagrus latus  v ,NC_051051.1
  Acanthopagrus latus Eralike S   eral,XM_037120619.1
 Acanthopagrus latus ,MN909968.1
 Acanthopagrus latus ,NC_056780.1
 Acanthopagrus latus CBMZF  s  S ,LC654184.1
 Acanthopagrus latus CBMZF    S ,LC729863.1
 Acanthopagrus pacificus CBMZF    S ,LC458140.1
 Acanthopagrus pacificus  ,LC707238.1
 Acanthopagrus schlegelii  As Dloop,AF381095.1
 Acanthopagrus schlegelii  As Dloop,AF381096.1
 Acanthopagrus schlegelii  As Dloop,AF381097.1
 Acanthopagrus schlegelii  As Dloop,AF381098.1
 Acanthopagrus schlegelii  As Dloop,AF381099.1
 Acanthopagrus schlegelii  As Dloop,AF381100.1
 Acanthopagrus schlegelii  As Dloop,AF381101.1
 Acanthopagrus schlegelii  As Dloop,AF381102.1
 Acanthopagrus schlegelii  As Dloop,AF381103.1
 Acanthopagrus schlegelii  As Dloop,AF381104.1
 Acanthopagrus schlegelii  As Dloop,AF381105.1
 Acanthopagrus schlegelii  As Dloop,AF381106.1
 Acanthopagrus schlegelii ,JQ746035.1
 Acanthopagrus schlegelii ,NC_018553.1
 Acanthopagrus schlegelii    S ,AB972186.1
 Acanthopagrus schlegelii ,KT805958.1
 Acanthopagrus schlegelii CBMZF    S ,LC499596.1
 Acanthopagrus schlegelii CBMZF    S ,LC506637.1
 Acanthopagrus schlegelii CBMZF    S ,LC584285.1
 Acanthopagrus schlegelii  ,LC680889.1
 Acanthopagrus schlegelii CBMZF  s  S ,LC723810.1
  Pagrosomus major x Acanthopagrus schlegelii ,KR069116.1
 Acanthopagrus schlegelii x Pagrus major ,MK112875.1
 Acanthopagrus schlegelii x Pagrus major ,NC_040957.1
 Acanthopagrus schlegelii x Pagrus major ,MH363710.1
 Acanthopagrus schlegelii x Pagrus major ,MK182268.1
 Acanthopagrus sivicolus    S ,AB972183.1
 Acanthopagrus sivicolus    S ,AB972184.1
 Acanthopagrus sivicolus CBMZF    S ,LC552552.1
 Acanthopagrus sivicolus NSMTP  s  S ,LC710274.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381074.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381075.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381076.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381077.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381078.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381079.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381080.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381081.1
 Acanthopagrus macrophthalmus  Am Dloop,AF381082.1
 Acanthopagrus taiwanensis    S ,LC340170.1
 Acanthoplesiops psilogaster    S ,LC026670.1
 Acanthopoma annectens  LF ,FJ744611.1
 Acanthopoma annectens  LF ,FJ744612.1
 Acanthopsetta nadeshnyi    S ,LC049625.1
 Acanthopsetta nadeshnyi ,OP028121.1
 Acanthopsetta nadeshnyi ,NC_066465.1
 Acanthopsetta nadeshnyi ,OQ791285.1
 Acanthostracion polygonius  OS ,AY700273.1
 Acanthostracion polygonius ,KT600930.1
 Acanthostracion quadricornis  OS ,AY700275.1
 Acanthurus achilles    S ,AB972125.1
 Acanthurus achilles     ,MZ598394.1
 Acanthurus achilles  USNM ,OP035106.1
 Acanthurus auranticavus  dkisp ,MH049156.1
 Acanthurus bahianus  USNM ,OP035278.1
 Acanthurus bariene    S ,LC278264.1
 Acanthurus bariene  ma ,MH085682.1
 Acanthurus bariene NSMTP  s  S ,LC726204.1
 Acanthurus blochii    S ,AB972124.1
 Acanthurus blochii    S ,LC049707.1
 Acanthurus blochii  FLMOO   ,MZ597912.1
 Acanthurus blochii  USNM ,OP035224.1
 Acanthurus coeruleus  USNM ,OP035153.1
 Acanthurus dussumieri    S ,AB972123.1
 Acanthurus dussumieri KBFI     S ,LC729813.1
 Acanthurus dussumieri  USNM ,OP035072.1
  Acanthurus gahhm ,KU244257.1
 Acanthurus guttatus ,AF055609.1
 Acanthurus guttatus OCF(Okinawa Churashima FoundationP    S ,LC579379.1
 Acanthurus guttatus  FLMOO   ,MZ597998.1
 Acanthurus guttatus  USNM ,OP035069.1
 Acanthurus japonicus ,DQ533147.1
 Acanthurus japonicus    S ,LC340280.1
 Acanthurus leucopareius    S ,LC146322.1
 Acanthurus leucopareius  USNM ,OP035181.1
 Acanthurus leucosternon ,EU136032.1
 Acanthurus leucosternon ,NC_009830.1
 Acanthurus leucosternon   ,MH049125.1
 Acanthurus leucosternon  dkisp ,MH049154.1
 Acanthurus lineatus ,EU273284.2
 Acanthurus lineatus    S ,AB972122.1
 Acanthurus lineatus ,NC_010108.2
 Acanthurus lineatus  dkisp ,MH049153.1
 Acanthurus lineatus  MBIO   ,MZ598018.1
 Acanthurus maculiceps KAUMI    S ,LC499519.1
 Acanthurus maculiceps KAUMI    S ,LC579343.1
 Acanthurus maculiceps CBMZF  s  S ,LC589576.2
 Acanthurus mata  ,AY057237.1
 Acanthurus mata  ,AY057238.1
 Acanthurus mata    S ,LC340278.1
 Acanthurus monroviae  sp ,KT283582.1
 Acanthurus nigricans  ,AY057239.1
 Acanthurus nigricans  ,AY057240.1
 Acanthurus nigricans NSMTP    S ,LC579325.1
 Acanthurus nigricans OCF(Okinawa Churashima FoundationP    S ,LC579378.1
 Acanthurus nigricans     ,MZ598256.1
 Acanthurus nigricans  USNM ,OP035258.1
 Acanthurus nigricauda    S ,AB972121.1
 Acanthurus nigricauda  FLMOO   ,MZ597932.1
 Acanthurus nigrofuscus    S ,AB972120.1
 Acanthurus nigrofuscus    S ,LC049703.1
  Acanthurus nigrofuscus ,KU244258.1
 Acanthurus nigrofuscus  FLMOO   ,MZ597922.1
 Acanthurus nigrofuscus KBFI     S ,LC729812.1
 Acanthurus nigrofuscus  USNM ,OP035282.1
 Acanthurus nigroris ,AY057241.1
 Acanthurus nigroris  USNM ,OP035303.1
 Acanthurus nigros OCFP  s  S ,LC710300.1
 Acanthurus nubilus     ,MZ598350.1
 Acanthurus olivaceus    S ,AB972119.1
 Acanthurus olivaceus    S ,LC049706.1
 Acanthurus olivaceus  wicor ,MH049136.1
 Acanthurus olivaceus  FLMOO   ,MZ597931.1
 Acanthurus olivaceus  USNM ,OP035305.1
 Acanthurus pyroferus  ,AY057242.1
 Acanthurus pyroferus  ,AY057243.1
 Acanthurus pyroferus    S ,LC340279.1
 Acanthurus pyroferus  MOH   ,MZ598146.1
  Acanthurus sohal ,KU244259.1
 Acanthurus thompsoni  ,AY057244.1
 Acanthurus thompsoni  ,AY057245.1
 Acanthurus thompsoni  MBIO   ,MZ598082.1
 Acanthurus thompsoni  USNM ,OP035198.1
 Acanthurus triostegus  ,AY057246.1
 Acanthurus triostegus  ,AY057247.1
 Acanthurus triostegus    S ,LC146323.1
 Acanthurus triostegus     ,MZ598346.1
 Acanthurus triostegus ,ON210977.1
 Acanthurus triostegus ,NC_065340.1
 Acanthurus triostegus  USNM ,OP035275.1
 Acanthurus xanthopterus ,AF055607.1
 Acanthurus xanthopterus  ,AY057248.1
 Acanthurus xanthopterus  ,AY057249.1
 Acanthurus xanthopterus    S ,LC021287.1
 Acanthurus xanthopterus  A ,MK902826.1
 Acanthurus xanthopterus NSMTP    S ,LC579344.1
 Acanthurus xanthopterus  FLMOO   ,MZ597923.1
 Acanthurus xanthopterus     ,MZ598377.1
 Acanthurus xanthopterus  USNM ,OP035203.1
 Acanthurus xanthopterus CBMZF  s  S ,LC776903.1
 Acantopsis choirorhynchos  ,AB242161.1
 Acantopsis choirorhynchos ,NC_008669.1
 Acantopsis dialuzona    S ,LC069466.1
 Acantopsis  d JP    S ,LC069461.1
 Acantopsis ioa    S ,LC069462.1
 Acantopsis ioa    S ,LC069467.1
 Acantopsis ioa    S ,LC385081.1
 Acantopsis rungthipae    S ,LC069463.1
 Acantopsis rungthipae    S ,LC385082.1
 Acantopsis  large spot SH  AC ,MH688245.1
 Acantopsis  small spot SH  AC ,MH688246.1
 Acantopsis spectabilis    S ,LC069465.1
 Acantopsis thiemmedhi    S ,LC069464.1
 Acapoeta tanganicae ,MN255563.1
 Acarichthys heckelii    S ,LC069584.1
 Scaphirhynchus platorynchus ,AF125601.2
 Scaphirhynchus platorynchus    S ,LC091574.1
 Accipenser platorynchus  Sturg ,KU985076.1
 Scaphirhynchus platorynchus  Sturg ,NC_030326.1
 Accipenser platorynchus  Sturg ,KU985071.2
 Accipenser platorynchus  Sturg ,KU985075.2
 Accipenser platorynchus  Sturg ,MF101779.1
 Accipenser platorynchus  Sturg ,MF101782.1
 Accipenser platorynchus  Sturg ,MF101783.1
 Accipenser platorynchus  Sturg ,MF101784.1
 Accipenser platorynchus  Sturg ,MF101787.1
 Accipenser platorynchus  Sturg ,MF101788.1
 Accipenser platorynchus  Sturg ,MF101789.1
 Acentrogobius audax NSMTP  s  S ,LC710272.1
 Acentrogobius caninus  NMBE  ,KF415297.1
 Acentrogobius caninus    S ,LC049785.1
  Acentrogobius caninus ,KY088055.1
 Acentrogobius caninus  bw ,MH085634.1
 Acentrogobius caninus  bn ,MH085747.1
 Acentrogobius caninus ,MH678615.1
 Acentrogobius caninus ,NC_041193.1
 Acentrogobius caninus KAUMI    S ,LC499497.1
 Acentrogobius chlorostigmatoides ,KC196074.1
 Acentrogobius chlorostigmatoides ,NC_020346.1
 Acentrogobius janthinopterus  NMBE  ,KF415298.1
 Acentrogobius janthinopterus    S ,LC146318.1
 Acentrogobius janthinopterus CBMZF    S ,LC499505.1
 Acentrogobius janthinopterus CBMZF    S ,LC519487.1
 Acentrogobius janthinopterus CBMZF  s  S ,LC677327.1
 Acentrogobius moloanus OCFP    S ,LC499455.1
 Acentrogobius moloanus NSMTP    S ,LC519453.1
 Acentrogobius moloanusYCG   s  S ,LC740496.1
 Acentrogobius multifasciatus CBMZF    S ,LC496203.1
 Acentrogobius multifasciatus CBMZF  s  S ,LC458277.2
 Acentrogobius pflaumii ,JX029961.1
 Acentrogobius pflaumii ,NC_018064.1
 Acentrogobius pflaumii ,KM030434.1
 Acentrogobius pflaumii  PSXJXHY S   ,MK934722.2
 Acentrogobius  QHY,KR782298.1
 Acentrogobius  TSUMAGUROSUJIHAZE    S ,LC020804.1
 Acentrogobius  TSUMAGUROSUJIHAZE    S ,LC340263.1
 Acentrogobius  TSUMAGUROSUJIHAZE    S ,LC499496.1
 Acentrogobius  TSUMAGUROSUJIHAZE CBMZF    S ,LC506643.1
 Acentrogobius  TSUMAGUROSUJIHAZE CBMZF  s  S ,LC650577.1
 Acentrogobius  TSUMAGUROSUJIHAZE CBMZF    S ,LC723787.1
 Acentrogobius  TSUMAGUROSUJIHAZE CBMZF  s  S ,LC738819.1
 Acentrogobius suluensisYCG   s  S ,LC739783.1
 Acentrogobius viganensis CBMZF    S ,LC458209.1
 Acentrogobius virgatulus    S ,LC104724.1
 Acentrogobius virgatulus    S ,LC278243.1
 Acentrogobius virgatulus    S ,LC278162.1
 Acentrogobius virgatulus    S ,LC278163.1
 Acentrogobius virgatulus    S ,LC327166.1
 Acentrogobius virgatulus    S ,LC340343.1
 Acentrogobius virgatulus    S ,LC340344.1
 Acentrogobius virgatulus CBMZF    S ,LC458204.1
 Acentrogobius virgatulus CBMZF    S ,LC499601.1
 Acentrogobius virgatulus CBMZF    S ,LC500711.1
 Acentrogobius virgatulus CBMZF    S ,LC500712.1
 Acentrogobius virgatulus CBMZF    S ,LC500713.1
 Acentrogobius virgatulus CBMZF    S ,LC506641.1
 Acentrogobius virgatulus CBMZF    S ,LC506642.1
 Acentrogobius virgatulus CBMZF    S ,LC552514.1
 Acentrogobius virgatulus CBMZF  s  S ,LC650576.1
