"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"12712","Saccodon dariensis","Saccodon dariensis","Saccodon dariensis",1017439,1017439,"accepted",NA,"species","(Meek & Hildebrand, 1913)","Animalia","Chordata","Teleostei","Characiformes","Parodontidae","Saccodon","1","0",NA
"12713","Ichthyoelephas longirostris","Ichthyoelephas longirostris","Ichthyoelephas longirostris",1017930,1017930,"accepted",NA,"species","(Steindachner, 1879)","Animalia","Chordata","Teleostei","Characiformes","Prochilodontidae","Ichthyoelephas","1","0",NA
"12714","Hyphessobrycon proteus","Hyphessobrycon proteus","Hyphessobrycon proteus",1017347,1017347,"accepted",NA,"species","Eigenmann, 1913","Animalia","Chordata","Teleostei","Characiformes","Characidae","Hyphessobrycon","1","0",NA
"12715","Mystus tengara","Mystus tengara","Mystus tengara",1022781,1022781,"accepted",NA,"species","(Hamilton, 1822)","Animalia","Chordata","Teleostei","Siluriformes","Bagridae","Mystus","1","0",NA
"12716","Salmo pallaryi","Salmo pallaryi","Salmo pallaryi",306046,306046,"accepted",NA,"species","Pellegrin, 1924","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","1","0",NA
"12717","Bathyraja abyssicola","Bathyraja abyssicola","Bathyraja abyssicola",271503,271503,"accepted",NA,"species","(Gilbert, 1896)","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","0","0",NA
"12718","Gymnothorax hepaticus","Gymnothorax hepaticus","Gymnothorax hepaticus",217489,217489,"accepted",NA,"species","(Rüppell, 1830)","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","0","0",NA
"12719","Gymnothorax prismodon","Gymnothorax prismodon","Gymnothorax prismodon",271875,271875,"accepted",NA,"species","Böhlke & Randall, 2000","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","0","0",NA
"12720","Steindachneridion parahybae","Steindachneridion parahybae","Steindachneridion parahybae",1020241,1020241,"accepted",NA,"species","(Steindachner, 1877)","Animalia","Chordata","Teleostei","Siluriformes","Pimelodidae","Steindachneridion","1","0",NA
"12721","Steindachneridion doceanum","Steindachneridion doceanum","Steindachneridion doceanum",1467682,1467682,"accepted",NA,"species","(Eigenmann & Eigenmann, 1889)","Animalia","Chordata","Teleostei","Siluriformes","Pimelodidae","Steindachneridion","1","0",NA
"12722","Rhinogobio nasutus","Rhinogobio nasutus","Rhinogobio nasutus",1422095,1422095,"accepted",NA,"species","(Kessler, 1876)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhinogobio","1","0",NA
"12723","Inu","Inu","Luciogobius",269746,296876,"unaccepted",NA,"genus","Gill, 1859","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Inu","0","0",NA
"12724","Astrabe flavimaculata","Astrabe flavimaculata","Astrabe flavimaculata",279770,279770,"accepted",NA,"species","Akihito & Meguro, 1988","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Astrabe","0","0",NA
"12725","Enneapterygius hsiojenae","Enneapterygius hsiojenae","Enneapterygius hsiojenae",310590,310590,"accepted",NA,"species","Shen, 1994","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","0","0",NA
"12726","Fusigobius melacron","Fusigobius melacron","Fusigobius melacron",278769,278769,"accepted",NA,"species","(Randall, 2001)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Fusigobius","0","0",NA
"12727","Fusigobius gracilis","Fusigobius gracilis","Fusigobius gracilis",312513,312513,"accepted",NA,"species","(Randall, 2001)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Fusigobius","0","0",NA
"12728","Palutrus meteori","Palutrus meteori","Palutrus meteori",279175,279175,"accepted",NA,"species","(Klausewitz & Zander, 1967)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Palutrus","0","0",NA
"12729","Clariger exilis","Clariger exilis","Clariger exilis",280206,280206,"accepted",NA,"species","Snyder, 1911","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Clariger","0","0",NA
"12730","Antennarius biocellatus","Antennarius biocellatus","Antennarius biocellatus",217844,217844,"accepted",NA,"species","(Cuvier, 1817)","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennarius","0","0",NA
"12731","Luxilus zonatus","Luxilus zonatus","Luxilus zonatus",1021103,1021103,"accepted",NA,"species","(Putnam, 1863)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Luxilus","1","0",NA
"12732","Notropis girardi","Notropis girardi","Notropis girardi",1015954,1015954,"accepted",NA,"species","Hubbs & Ortenburger, 1929","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notropis","1","0",NA
"12733","Hyphessobrycon heterorhabdus","Hyphessobrycon heterorhabdus","Hyphessobrycon heterorhabdus",1467889,1467889,"accepted",NA,"species","(Ulrey, 1894)","Animalia","Chordata","Teleostei","Characiformes","Characidae","Hyphessobrycon","1","0",NA
"12734","Saurogobio punctatus","Saurogobio punctatus","Saurogobio punctatus",1385420,1385420,"accepted",NA,"species","Tang, Li, Yu, Zhu, Ding, Liu & Danley, 2018","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Saurogobio","1","0",NA
"12735","Otocinclus cocama","Otocinclus cocama","Otocinclus cocama",1009351,1009351,"accepted",NA,"species","Reis, 2004","Animalia","Chordata","Teleostei","Siluriformes","Loricariidae","Otocinclus","1","0",NA
"12736","Chromis tingting","Chromis tingting","Chromis tingting",1373367,1373367,"accepted",NA,"species","Tea, Gill & Senou, 2019","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Chromis","0","0",NA
"12737","Canthigaster inframacula","Canthigaster inframacula","Canthigaster inframacula",275254,275254,"accepted",NA,"species","Allen & Randall, 1977","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Canthigaster","0","0",NA
"12738","Choerodon japonicus","Choerodon japonicus","Choerodon japonicus",1524881,1524881,"accepted",NA,"species","(Kamohara, 1958)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Choerodon","0","0",NA
"12739","Suezichthys notatus","Suezichthys notatus","Suezichthys notatus",278743,278743,"accepted",NA,"species","(Kamohara, 1958)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Suezichthys","0","0",NA
"12740","Meganthias kingyo","Meganthias kingyo","Meganthias kingyo",398476,398476,"accepted",NA,"species","(Kon, Yoshino & Sakurai, 2000)","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Meganthias","0","0",NA
"12741","Labeo rajasthanicus","Labeo rajasthanicus","Labeo rajasthanicus",1013191,1013191,"accepted",NA,"species","Datta & Majumdar, 1970","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Labeo","1","0",NA
"12742","Rhinochimaera atlantica","Rhinochimaera atlantica","Rhinochimaera atlantica",105830,105830,"accepted",NA,"species","Holt & Byrne, 1909","Animalia","Chordata","Holocephali","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","0","0",NA
"12743","Parambassis apogonoides","Parambassis apogonoides","Parambassis apogonoides",1021768,1021768,"accepted",NA,"species","(Bleeker, 1851)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Parambassis","1","0",NA
"12744","Parambassis siamensis","Parambassis siamensis","Parambassis siamensis",1014051,1014051,"accepted",NA,"species","(Fowler, 1937)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Parambassis","1","0",NA
"12745","Parambassis macrolepis","Parambassis macrolepis","Parambassis macrolepis",1020745,1020745,"accepted",NA,"species","(Bleeker, 1856)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Parambassis","1","0",NA
"12746","Paradoxodacna piratica","Paradoxodacna piratica","Paradoxodacna piratica",282044,282044,"accepted",NA,"species","Roberts, 1989","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Paradoxodacna","0","0",NA
"12747","Ambassis dussumieri","Ambassis dussumieri","Ambassis dussumieri",220043,220043,"accepted",NA,"species","Cuvier, 1828","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Ambassis","0","0",NA
"12748","Ambassis nalua","Ambassis nalua","Ambassis nalua",277739,277739,"accepted",NA,"species","(Hamilton, 1822)","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Ambassis","0","0",NA
"12749","Ambassis macracanthus","Ambassis macracanthus","Ambassis macracanthus",277736,277736,"accepted",NA,"species","Bleeker, 1849","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Ambassis","0","0",NA
"12750","Ambassis kopsii","Ambassis kopsii","Ambassis kopsii",277735,277735,"accepted",NA,"species","Bleeker, 1858","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Ambassis","0","0",NA
"12751","Moxostoma valenciennesi","Moxostoma valenciennesi","Moxostoma valenciennesi",1015875,1015875,"accepted",NA,"species","Jordan, 1885","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","1","0",NA
"12752","Gnathophis mystax","Gnathophis mystax","Gnathophis mystax",126287,126287,"accepted",NA,"species","(Delaroche, 1809)","Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Gnathophis","0","0",NA
"12753","Chascanopsetta micrognatha","Chascanopsetta micrognatha","Chascanopsetta micrognatha",278151,278151,"accepted",NA,"species","Amaoka & Yamamoto, 1984","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Chascanopsetta","0","0",NA
"12754","Bothidae","Bothidae","Bothidae",125576,125576,"accepted",NA,"family","Smitt, 1892","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae",NA,"0","0",NA
"12755","Cygnodraco mawsoni","Cygnodraco mawsoni","Cygnodraco mawsoni",234834,234834,"accepted",NA,"species","Waite, 1916","Animalia","Chordata","Teleostei","Perciformes","Bathydraconidae","Cygnodraco","0","0",NA
"12756","Hemicaranx amblyrhynchus","Hemicaranx amblyrhynchus","Hemicaranx amblyrhynchus",159640,159640,"accepted",NA,"species","(Cuvier, 1833)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Hemicaranx","0","0",NA
"12757","Callionymus japonicus","Callionymus japonicus","Callionymus japonicus",273191,273191,"accepted",NA,"species","Houttuyn, 1782","Animalia","Chordata","Teleostei","Callionymiformes","Callionymidae","Callionymus","0","0",NA
"12758","Serrapinnus heterodon","Serrapinnus heterodon","Serrapinnus heterodon",1014777,1014777,"accepted",NA,"species","(Eigenmann, 1915)","Animalia","Chordata","Teleostei","Characiformes","Characidae","Serrapinnus","1","0",NA
"12759","Hypomasticus steindachneri","Hypomasticus steindachneri","Hypomasticus steindachneri",1526139,1526139,"accepted",NA,"species","(Eigenmann, 1907)","Animalia","Chordata","Teleostei","Characiformes","Anostomidae","Hypomasticus","1","0",NA
"12760","Hypostomus nigrolineatus","Hypostomus nigrolineatus","Hypostomus nigrolineatus",1493676,1493676,"accepted",NA,"species","Zawadzki, Carvalho, Birindelli & Azevedo, 2016","Animalia","Chordata","Teleostei","Siluriformes","Loricariidae","Hypostomus","0","0",NA
"12761","Delturus brevis","Delturus brevis","Delturus brevis",1008901,1008901,"accepted",NA,"species","Reis & Pereira, 2006","Animalia","Chordata","Teleostei","Siluriformes","Loricariidae","Delturus","1","0",NA
"12762","Leuciscidae","Leuciscidae","Leuciscidae",1418539,1418539,"accepted",NA,"family","Bonaparte, 1835","Animalia","Chordata","Teleostei","Cypriniformes","Leuciscidae",NA,"1","0",NA
"12763","Chondrostoma regium","Chondrostoma regium","Chondrostoma regium",1418527,1418527,"accepted",NA,"species","(Heckel, 1843)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12764","Chondrostoma kinzelbachi","Chondrostoma kinzelbachi","Chondrostoma kinzelbachi",1011928,1011928,"accepted",NA,"species","Krupp, 1985","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12765","Chondrostoma toros","Chondrostoma toros","Chondrostoma toros",1385220,1385220,"accepted",NA,"species","Küçük, Turan, Güçlü, Mutlu & Çiftci, 2017","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12766","Chondrostoma ceyhanensis","Chondrostoma ceyhanensis","Chondrostoma ceyhanense",1385221,1621623,"misspelling",NA,"species","Küçük, Turan, Güçlü, Mutlu & Çiftci, 2017","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12767","Chondrostoma beysehirense","Chondrostoma beysehirense","Chondrostoma beysehirense",1010621,1010621,"accepted",NA,"species","Bogutskaya, 1997","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12768","Chondrostoma cyri","Chondrostoma cyri","Chondrostoma cyri",1383092,1383092,"accepted",NA,"species","Kessler, 1877","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12769","Chondrostoma holmwoodii","Chondrostoma holmwoodii","Chondrostoma holmwoodii",1019278,1019278,"accepted",NA,"species","(Boulenger, 1896)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12770","Chondrostoma turnai","Chondrostoma turnai","Chondrostoma turnai",1493349,1493349,"accepted",NA,"species","Güçlü, Küçük, Turan, Çiftçi & Mutlu, 2018","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","0","0",NA
"12771","Chondrostoma angorense","Chondrostoma angorense","Chondrostoma angorense",1011699,1011699,"accepted",NA,"species","Elvira, 1987","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Chondrostoma","1","0",NA
"12772","Phenacoscorpius nebris","Phenacoscorpius nebris","Phenacoscorpius nebris",278866,278866,"accepted",NA,"species","Eschmeyer, 1965","Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Phenacoscorpius","0","0",NA
"12773","Lycodes turneri","Lycodes turneri","Lycodes turneri",254599,254599,"accepted",NA,"species","Bean, 1879","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","0","0",NA
"12774","Sinocyclocheilus sanxiaensis","Sinocyclocheilus sanxiaensis","Sinocyclocheilus sanxiaensis",1494168,1494168,"accepted",NA,"species","Jiang, Li, Yang & Chang, 2019","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Sinocyclocheilus","1","0",NA
"12775","Psednos","Psednos","Psednos",126162,126162,"accepted",NA,"genus","Barnard, 1927","Animalia","Chordata","Teleostei","Perciformes","Liparidae","Psednos","0","0",NA
"12776","Bathyraja taranetzi","Bathyraja taranetzi","Bathyraja taranetzi",298834,298834,"accepted",NA,"species","(Dolganov, 1983)","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","0","0",NA
"12777","Bathyraja maculata","Bathyraja maculata","Bathyraja maculata",271520,271520,"accepted",NA,"species","Ishiyama & Ishihara, 1977","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","0","0",NA
"12778","Bathyraja aleutica","Bathyraja aleutica","Bathyraja aleutica",271506,271506,"accepted",NA,"species","(Gilbert, 1896)","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","0","0",NA
"12779","Artediellus pacificus","Artediellus pacificus","Artediellus pacificus",254517,254517,"accepted",NA,"species","Gilbert, 1896","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Artediellus","0","0",NA
"12780","Acantholumpenus mackayi","Acantholumpenus mackayi","Acantholumpenus mackayi",249703,249703,"accepted",NA,"species","(Gilbert, 1896)","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Acantholumpenus","0","0",NA
"12781","Liopsetta glacialis","Liopsetta glacialis","Liopsetta glacialis",275844,275844,"accepted",NA,"species","(Pallas, 1776)","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Liopsetta","0","0",NA
"12782","Radulinus boleoides","Radulinus boleoides","Radulinus boleoides",282542,282542,"accepted",NA,"species","Gilbert, 1898","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Radulinus","0","0",NA
"12783","Lophiidae","Lophiidae","Lophiidae",125493,125493,"accepted",NA,"family","Rafinesque, 1810","Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae",NA,"0","0",NA
"12784","Ariomma regulus","Ariomma regulus","Ariomma regulus",159594,159594,"accepted",NA,"species","(Poey, 1868)","Animalia","Chordata","Teleostei","Scombriformes","Ariommatidae","Ariomma","0","0",NA
"12785","Peristedion thompsoni","Peristedion thompsoni","Peristedion thompsoni",159551,159551,"accepted",NA,"species","Fowler, 1952","Animalia","Chordata","Teleostei","Perciformes","Peristediidae","Peristedion","0","0",NA
"12786","Stephanolepis hispida","Stephanolepis hispida","Stephanolepis hispida",307126,307126,"accepted",NA,"species","(Linnaeus, 1766)","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Stephanolepis","0","0",NA
"12787","Monacanthus ciliatus","Monacanthus ciliatus","Monacanthus ciliatus",159497,159497,"accepted",NA,"species","(Mitchill, 1818)","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Monacanthus","0","0",NA
"12788","Aluterus heudelotii","Aluterus heudelotii","Aluterus heudelotii",159489,159489,"accepted",NA,"species","Hollard, 1855","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Aluterus","0","0",NA
"12789","Antigonia combatia","Antigonia combatia","Antigonia combatia",159429,159429,"accepted",NA,"species","Berry & Rathjen, 1959","Animalia","Chordata","Teleostei","Acanthuriformes","Caproidae","Antigonia","0","0",NA
"12790","Leucoraja garmani","Leucoraja garmani","Leucoraja garmani",158552,158552,"accepted",NA,"species","(Whitley, 1939)","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","0","0",NA
"12791","Hoplostethus occidentalis","Hoplostethus occidentalis","Hoplostethus occidentalis",159415,159415,"accepted",NA,"species","Woods, 1973","Animalia","Chordata","Teleostei","Trachichthyiformes","Trachichthyidae","Hoplostethus","0","0",NA
"12792","Peristedion longispatha","Peristedion longispatha","Peristedion longispatha",274643,274643,"accepted",NA,"species","Goode & Bean, 1886","Animalia","Chordata","Teleostei","Perciformes","Peristediidae","Peristedion","0","0",NA
"12793","Xenomystax atrarius","Xenomystax atrarius","Xenomystax atrarius",283188,283188,"accepted",NA,"species","Gilbert, 1891","Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Xenomystax","0","0",NA
"12794","Seriola fasciata","Seriola fasciata","Seriola fasciata",126817,126817,"accepted",NA,"species","(Bloch, 1793)","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Seriola","0","0",NA
"12795","Sphoeroides nephelus","Sphoeroides nephelus","Sphoeroides nephelus",275280,275280,"accepted",NA,"species","(Goode & Bean, 1882)","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Sphoeroides","0","0",NA
"12796","Acanthurus tractus","Acanthurus tractus","Acanthurus tractus",301914,301914,"accepted",NA,"species","Poey, 1860","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","0","0",NA
"12797","Linichthys laticeps","Linichthys laticeps","Linichthys laticeps",1011882,1011882,"accepted",NA,"species","(Lin & Zhang, 1986)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Linichthys","1","0",NA
"12798","Adinia xenica","Adinia xenica","Fundulus xenicus",308885,279509,"unaccepted","Reverted to original combination","species","Jordan & Gilbert, 1882","Animalia","Chordata","Teleostei","Cyprinodontiformes","Fundulidae","Adinia","0","0",NA
"12799","Saurida brasiliensis","Saurida brasiliensis","Saurida brasiliensis",158756,158756,"accepted",NA,"species","Norman, 1935","Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","0","0",NA
"12800","Gnathopogon mantschuricus","Gnathopogon mantschuricus","Gnathopogon strigatus",1017286,1532079,"unaccepted",NA,"species","(Regan, 1908)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Gnathopogon","1","0",NA
"12801","Pseudopimelodus schultzi","Pseudopimelodus schultzi","Pseudopimelodus schultzi",1524948,1524948,"accepted",NA,"species","(Dahl, 1955)","Animalia","Chordata","Teleostei","Siluriformes","Pseudopimelodidae","Pseudopimelodus","1","0",NA
"12802","Opsarius bernatziki","Opsarius bernatziki","Opsarius bernatziki",1026361,1026361,"accepted",NA,"species","(Koumans, 1937)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Opsarius","1","0",NA
"12803","Barilius ardens","Barilius ardens","Opsarius ardens",1605365,1384874,"unaccepted",NA,"species","(Knight, Rai, d'Souza & Vijaykrishnan, 2015)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Barilius","1","0",NA
"12804","Opsarius canarensis","Opsarius canarensis","Opsarius canarensis",1537268,1537268,"accepted",NA,"species","Jerdon, 1849","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Opsarius","1","0",NA
"12805","Xiphophorus milleri","Xiphophorus milleri","Xiphophorus milleri",283198,283198,"accepted",NA,"species","Rosen, 1960","Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Xiphophorus","0","0",NA
"12806","Poeciliopsis prolifica","Poeciliopsis prolifica","Poeciliopsis prolifica",282307,282307,"accepted",NA,"species","Miller, 1960","Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Poeciliopsis","0","0",NA
"12807","Gobio huanghensis","Gobio huanghensis","Gobio huanghensis",1012653,1012653,"accepted",NA,"species","Luo, Le & Chen, 1977","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Gobio","1","0",NA
"12808","Cyprinella caerulea","Cyprinella caerulea","Cyprinella caerulea",1422443,1422443,"accepted",NA,"species","(Jordan, 1877)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinella","1","0",NA
"12809","Etheostoma nigripinne","Etheostoma nigripinne","Etheostoma nigripinne",1011946,1011946,"accepted",NA,"species","Braasch & Mayden, 1985","Animalia","Chordata","Teleostei","Perciformes","Percidae","Etheostoma","1","0",NA
"12810","Yunnanilus nigromaculatus","Yunnanilus nigromaculatus","Yunnanilus nigromaculatus",1018580,1018580,"accepted",NA,"species","(Regan, 1904)","Animalia","Chordata","Teleostei","Cypriniformes","Nemacheilidae","Yunnanilus","1","0",NA
"12811","Stegostoma tigrinum","Stegostoma tigrinum","Stegostoma tigrinum",313100,313100,"accepted",NA,"species","(Forster, 1781)","Animalia","Chordata","Elasmobranchii","Orectolobiformes","Stegostomatidae","Stegostoma","0","0",NA
"12812","Acheilognathus gracilis","Acheilognathus gracilis","Acheilognathus gracilis",1013567,1013567,"accepted",NA,"species","Nichols, 1926","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Acheilognathus","1","0",NA
"12813","Serranidae","Serranidae","Serranidae",125561,125561,"accepted",NA,"family","Swainson, 1839","Animalia","Chordata","Teleostei","Perciformes","Serranidae",NA,"0","0",NA
"12814","Thymallus pallasii","Thymallus pallasii","Thymallus pallasii",275331,275331,"accepted",NA,"species","Valenciennes, 1848","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Thymallus","0","0",NA
"12815","Seriolella porosa","Seriolella porosa","Seriolella porosa",282757,282757,"accepted",NA,"species","Guichenot, 1848","Animalia","Chordata","Teleostei","Scombriformes","Centrolophidae","Seriolella","0","0",NA
"12816","Oryzias sinensis","Oryzias sinensis","Oryzias sinensis",1011586,1011586,"accepted",NA,"species","Chen, Uwa & Chu, 1989","Animalia","Chordata","Teleostei","Beloniformes","Adrianichthyidae","Oryzias","1","0",NA
"12817","Neobythites","Neobythites","Neobythites",182835,182835,"accepted",NA,"genus","Goode & Bean, 1885","Animalia","Chordata","Teleostei","Ophidiiformes","Ophidiidae","Neobythites","0","0",NA
"12818","Girardinichthys multiradiatus","Girardinichthys multiradiatus","Girardinichthys multiradiatus",1016200,1016200,"accepted",NA,"species","(Meek, 1904)","Animalia","Chordata","Teleostei","Cyprinodontiformes","Goodeidae","Girardinichthys","1","0",NA
"12819","Squalius pyrenaicus","Squalius pyrenaicus","Squalius pyrenaicus",1020756,1020756,"accepted",NA,"species","(Günther, 1868)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Squalius","1","0",NA
"12820","Luciobarbus steindachneri","Luciobarbus steindachneri","Luciobarbus steindachneri",1013381,1013381,"accepted",NA,"species","(Almaça, 1967)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Luciobarbus","1","0",NA
"12821","Iberochondrostoma olisiponensis","Iberochondrostoma olisiponensis","Iberochondrostoma olisiponense",1026400,1592601,"unaccepted",NA,"species","(Gante, Santos & Alves, 2007)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Iberochondrostoma","1","0",NA
"12822","Rhodeus albomarginatus","Rhodeus albomarginatus","Rhodeus albomarginatus",1007001,1007001,"accepted",NA,"species","Li & Arai, 2014","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhodeus","1","0",NA
"12823","Simochromis diagramma","Simochromis diagramma","Simochromis diagramma",1250007,1250007,"accepted",NA,"species","(Günther, 1894)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Simochromis","1","0",NA
"12824","Notolabrus celidotus","Notolabrus celidotus","Notolabrus celidotus",281786,281786,"accepted",NA,"species","(Bloch & Schneider, 1801)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Notolabrus","0","0",NA
"12825","Gambusia","Gambusia","Gambusia",159323,159323,"accepted",NA,"genus","Poey, 1854","Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Gambusia","0","0",NA
"12826","Gambusia punctata","Gambusia punctata","Gambusia punctata",1013995,1013995,"accepted",NA,"species","Poey, 1854","Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Gambusia","1","0",NA
"12827","Gambusia rhizophorae","Gambusia rhizophorae","Gambusia rhizophorae",276141,276141,"accepted",NA,"species","Rivas, 1969","Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Gambusia","0","0",NA
"12828","Enteromius miolepis","Enteromius miolepis","Enteromius miolepis",1470214,1470214,"accepted",NA,"species","(Boulenger, 1902)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Enteromius","1","0",NA
"12829","Archocentrus centrarchus","Archocentrus centrarchus","Archocentrus centrarchus",1020252,1020252,"accepted",NA,"species","(Gill, 1877)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Archocentrus","1","0",NA
"12830","Pachycara brachycephalum","Pachycara brachycephalum","Pachycara brachycephalum",234688,234688,"accepted",NA,"species","(Pappenheim, 1912)","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Pachycara","0","0",NA
"12831","Histiodraco velifer","Histiodraco velifer","Histiodraco velifer",234790,234790,"accepted",NA,"species","(Regan, 1914)","Animalia","Chordata","Teleostei","Perciformes","Artedidraconidae","Histiodraco","0","0",NA
"12832","Trematomus hansoni","Trematomus hansoni","Trematomus hansoni",234772,234772,"accepted",NA,"species","Boulenger, 1902","Animalia","Chordata","Teleostei","Perciformes","Nototheniidae","Trematomus","0","0",NA
"12833","Paramormyrops kingsleyae","Paramormyrops kingsleyae","Paramormyrops kingsleyae",1018988,1018988,"accepted",NA,"species","(Günther, 1896)","Animalia","Chordata","Teleostei","Osteoglossiformes","Mormyridae","Paramormyrops","1","0",NA
