"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"6320","Sinocyclocheilus furcodorsalis","Sinocyclocheilus furcodorsalis","Sinocyclocheilus furcodorsalis",1009711,1009711,"accepted",NA,"species","Chen, Yang & Lan, 1997","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Sinocyclocheilus","1","0",NA
"6321","Leiocassis longirostris","Leiocassis longirostris","Tachysurus dumerili",1420786,1041096,"unaccepted",NA,"species","(Bleeker, 1864)","Animalia","Chordata","Teleostei","Siluriformes","Bagridae","Leiocassis","0","0",NA
"6322","Austroglossus microlepis","Austroglossus microlepis","Austroglossus microlepis",219822,219822,"accepted",NA,"species","(Bleeker, 1863)","Animalia","Chordata","Teleostei","Pleuronectiformes","Soleidae","Austroglossus","0","0",NA
"6323","Austroglossus pectoralis","Austroglossus pectoralis","Austroglossus pectoralis",219821,219821,"accepted",NA,"species","(Kaup, 1858)","Animalia","Chordata","Teleostei","Pleuronectiformes","Soleidae","Austroglossus","0","0",NA
"6324","Pachymetopon blochii","Pachymetopon blochii","Pachymetopon blochii",218607,218607,"accepted",NA,"species","(Valenciennes, 1830)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Pachymetopon","0","0",NA
"6325","Epigonus telescopus","Epigonus telescopus","Epigonus telescopus",126858,126858,"accepted",NA,"species","(Risso, 1810)","Animalia","Chordata","Teleostei","Acropomatiformes","Epigonidae","Epigonus","0","0",NA
"6326","Argyrosomus inodorus","Argyrosomus inodorus","Argyrosomus inodorus",218630,218630,"accepted",NA,"species","Griffiths & Heemstra, 1995","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Argyrosomus","0","0",NA
"6327","Ruvettus pretiosus","Ruvettus pretiosus","Ruvettus pretiosus",126867,126867,"accepted",NA,"species","Cocco, 1833","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Ruvettus","0","0",NA
"6328","Chrysoblephus laticeps","Chrysoblephus laticeps","Chrysoblephus laticeps",218599,218599,"accepted",NA,"species","(Valenciennes, 1830)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Chrysoblephus","0","0",NA
"6329","Chelidonichthys capensis","Chelidonichthys capensis","Chelidonichthys capensis",218120,218120,"accepted",NA,"species","(Cuvier, 1829)","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Chelidonichthys","0","0",NA
"6330","Rhabdosargus globiceps","Rhabdosargus globiceps","Rhabdosargus globiceps",218624,218624,"accepted",NA,"species","(Valenciennes, 1830)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Rhabdosargus","0","0",NA
"6331","Cheimerius nufar","Cheimerius nufar","Cheimerius nufar",218594,218594,"accepted",NA,"species","(Valenciennes, 1830)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Cheimerius","0","0",NA
"6332","Argyrozona argyrozona","Argyrozona argyrozona","Argyrozona argyrozona",218592,218592,"accepted",NA,"species","(Valenciennes, 1830)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Argyrozona","0","0",NA
