accession,found_taxa,common_name,rank,taxa_verbatim,taxonomy_search,hybrid,worms_sciname,worms_aphiaid,original_aphiaid,status,unacceptreason,valid_authority,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only,n_dups
KY352767,Beaufortia kweichowensis,NA,species,Beaufortia kweichowensis,Beaufortia kweichowensis,NA,Beaufortia kweichowensis,1525454,1525454,accepted,NA,"(Fang, 1931)",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Beaufortia,1,0,1
KY352768,Erromyzon kalotaenia,NA,species,Erromyzon kalotaenia,Erromyzon kalotaenia,NA,Erromyzon kalotaenia,1007499,1007499,accepted,NA,"Yang, Kottelat, Yang & Chen, 2012",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Erromyzon,1,0,1
KY352770,Pseudogastromyzon fangi,NA,species,Pseudogastromyzon fangi,Pseudogastromyzon fangi,NA,Pseudogastromyzon fangi,1015801,1015801,accepted,NA,"(Nichols, 1931)",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Pseudogastromyzon,1,0,1
KY352771,Sinogastromyzon hsiashiensis,NA,species,Sinogastromyzon hsiashiensis,Sinogastromyzon hsiashiensis,NA,Sinogastromyzon hsiashiensis,1015756,1015756,accepted,NA,"Fang, 1931",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Sinogastromyzon,1,0,1
KY352772,Sinogastromyzon szechuanensis,NA,species,Sinogastromyzon szechuanensis,Sinogastromyzon szechuanensis,NA,Sinogastromyzon szechuanensis,1014842,1014842,accepted,NA,"Fang, 1930",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Sinogastromyzon,1,0,1
KY352773,Sinogastromyzon tonkinensis,NA,species,Sinogastromyzon tonkinensis,Sinogastromyzon tonkinensis,NA,Sinogastromyzon tonkinensis,1015248,1015248,accepted,NA,"Pellegrin & Chevey, 1935",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Sinogastromyzon,1,0,1
KY352774,Vanmanenia lineata,NA,species,Vanmanenia lineata,Vanmanenia lineata,NA,Vanmanenia lineata,1015335,1015335,accepted,NA,"(Fang, 1935)",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Vanmanenia,1,0,1
KY352775,Yaoshania pachychilus,NA,species,Yaoshania pachychilus,Yaoshania pachychilus,NA,Yaoshania pachychilus,1524240,1524240,accepted,NA,"(Chen, 1980)",Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Yaoshania,1,0,1
KY358753,Prochilodus argenteus,NA,species,Prochilodus argenteus,Prochilodus argenteus,NA,Prochilodus argenteus,1022670,1022670,accepted,NA,"Spix & Agassiz, 1829",Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus,1,0,1
KY358754,Prochilodus costatus,NA,species,Prochilodus costatus,Prochilodus costatus,NA,Prochilodus costatus,1020354,1020354,accepted,NA,"Valenciennes, 1850",Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus,1,0,1
KY358755,Prochilodus lineatus,NA,species,Prochilodus lineatus,Prochilodus lineatus,NA,Prochilodus lineatus,1016626,1016626,accepted,NA,"(Valenciennes, 1837)",Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus,1,0,1
KY358756,Prochilodus harttii,NA,species,Prochilodus harttii,Prochilodus harttii,NA,Prochilodus harttii,1020334,1020334,accepted,NA,"Steindachner, 1875",Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus,1,0,1
KY364884,Oryzias curvinotus,NA,species,Oryzias curvinotus,Oryzias curvinotus,NA,Oryzias curvinotus,281937,281937,accepted,NA,"(Nichols & Pope, 1927)",Animalia,Chordata,Teleostei,Beloniformes,Adrianichthyidae,Oryzias,0,0,1
KY379150,Schistura reticulofasciata,NA,species,Schistura reticulofasciata,Schistura reticulofasciata,NA,Schistura reticulofasciata,1012278,1012278,accepted,NA,"(Singh & Bănărescu, 1982)",Animalia,Chordata,Teleostei,Cypriniformes,Nemacheilidae,Schistura,1,0,1
KY379151,Schistura sikmaiensis,NA,species,Schistura sikmaiensis,Schistura sikmaiensis,NA,Schistura sikmaiensis,1016840,1016840,accepted,NA,"(Hora, 1921)",Animalia,Chordata,Teleostei,Cypriniformes,Nemacheilidae,Schistura,1,0,1
KY379222,Chelidonichthys kumu,NA,species,Chelidonichthys kumu,Chelidonichthys kumu,NA,Chelidonichthys kumu,218122,218122,accepted,NA,"(Cuvier, 1829)",Animalia,Chordata,Teleostei,Perciformes,Triglidae,Chelidonichthys,0,0,1
KY379960,Scomberoides tol,NA,species,Scomberoides tol,Scomberoides tol,NA,Scomberoides tol,218433,218433,accepted,NA,"(Cuvier, 1832)",Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Scomberoides,0,0,1
KY379961,Scomberoides commersonnianus,NA,species,Scomberoides commersonnianus,Scomberoides commersonnianus,NA,Scomberoides commersonnianus,218432,218432,accepted,NA,"Lacepède, 1801",Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Scomberoides,0,0,1
KY379962,Scatophagus argus,NA,species,Scatophagus argus,Scatophagus argus,NA,Scatophagus argus,276970,276970,accepted,NA,"(Linnaeus, 1766)",Animalia,Chordata,Teleostei,Acanthuriformes,Scatophagidae,Scatophagus,0,0,1
KY379963,Platycephalus indicus,NA,species,Platycephalus indicus,Platycephalus indicus,NA,Platycephalus indicus,127234,127234,accepted,NA,"(Linnaeus, 1758)",Animalia,Chordata,Teleostei,Perciformes,Platycephalidae,Platycephalus,0,0,1
KY379964,Plotosus canius,NA,species,Plotosus canius,Plotosus canius,NA,Plotosus canius,278694,278694,accepted,NA,"Hamilton, 1822",Animalia,Chordata,Teleostei,Siluriformes,Plotosidae,Plotosus,0,0,1
KY379965,Otolithes ruber,NA,species,Otolithes ruber,Otolithes ruber,NA,Otolithes ruber,218641,218641,accepted,NA,"(Bloch & Schneider, 1801)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Otolithes,0,0,1
KY379966,Cynoglossus bilineatus,NA,species,Cynoglossus quadrilineatus,Cynoglossus quadrilineatus,NA,Cynoglossus bilineatus,219846,305630,unaccepted,NA,"(Lacepède, 1802)",Animalia,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Cynoglossus,0,0,1
KY379967,Carangoides praeustus,NA,species,Carangoides praeustus,Carangoides praeustus,NA,Carangoides praeustus,276244,276244,accepted,NA,"(Anonymous [Bennett], 1830)",Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Carangoides,0,0,1
KY400011,Thunnus obesus,NA,species,Thunnus obesus,Thunnus obesus,NA,Thunnus obesus,127028,127028,accepted,NA,"(Lowe, 1839)",Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,0,0,1
KY404014,Culter oxycephaloides,NA,species,Culter oxycephaloides,Culter oxycephaloides,NA,Culter oxycephaloides,1018009,1018009,accepted,NA,"Kreyenberg & Pappenheim, 1908",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Culter,1,0,1
KY404235,Sinocrossocheilus bamaensis,NA,species,Sinocrossocheilus bamaensis,Sinocrossocheilus bamaensis,NA,Sinocrossocheilus bamaensis,1012342,1012342,accepted,NA,"(Fang, 1981)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Sinocrossocheilus,1,0,1
KY404236,Schistura fasciolata,NA,species,Schistura fasciolata,Schistura fasciolata,NA,Schistura fasciolata,282681,282681,accepted,NA,"(Nichols & Pope, 1927)",Animalia,Chordata,Teleostei,Cypriniformes,Nemacheilidae,Schistura,0,0,1
KY406745,Gymnocypris przewalskii,NA,species,Gymnocypris przewalskii,Gymnocypris przewalskii,NA,Gymnocypris przewalskii,1020303,1020303,accepted,NA,"(Kessler, 1876)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Gymnocypris,1,0,1
KY419138,Labeo catla,NA,species,Labeo catla,Labeo catla,NA,Labeo catla,1605292,1605292,accepted,NA,"(Hamilton, 1822)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Labeo,0,0,1
KY419201,Triplophysa pappenheimi,NA,species,Triplophysa pappenheimi,Triplophysa pappenheimi,NA,Triplophysa pappenheimi,1015342,1015342,accepted,NA,"(Fang, 1935)",Animalia,Chordata,Teleostei,Cypriniformes,Nemacheilidae,Triplophysa,1,0,1
KY420179,Gymnocypris scleracanthus,NA,species,Gymnocypris scleracanthus,Gymnocypris scleracanthus,NA,Gymnocypris scleracanthus,1011102,1011102,accepted,NA,"Tsao, Wu, Chen & Zhu, 1992",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Gymnocypris,1,0,1
KY421797,Hemigymnus melapterus,NA,species,Hemigymnus melapterus,Hemigymnus melapterus,NA,Hemigymnus melapterus,218998,218998,accepted,NA,"(Bloch, 1791)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Hemigymnus,0,0,1
KY421798,Cheilinus lunulatus,NA,species,Cheilinus lunulatus,Cheilinus lunulatus,NA,Cheilinus lunulatus,218942,218942,accepted,NA,"(Forsskål, 1775)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Cheilinus,0,0,1
KY421799,Epibulus insidiator,NA,species,Epibulus insidiator,Epibulus insidiator,NA,Epibulus insidiator,218972,218972,accepted,NA,"(Pallas, 1770)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Epibulus,0,0,1
KY421802,Cheilinus lunulatus,NA,species,Cheilinus lunulatus,Cheilinus lunulatus,NA,Cheilinus lunulatus,218942,218942,accepted,NA,"(Forsskål, 1775)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Cheilinus,0,0,1
KY421803,Cheilinus abudjubbe,NA,species,Cheilinus abudjubbe,Cheilinus abudjubbe,NA,Cheilinus abudjubbe,218939,218939,accepted,NA,"Rüppell, 1835",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Cheilinus,0,0,1
