accession,taxonomy
KY569440,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Siluridae;Kryptopterus;Kryptopterus_bicirrhis
KY581571,root;Eukaryota;Chordata;Actinopteri;Semionotiformes;Lepisosteidae;Atractosteus;Atractosteus_tristoechus
KY606168,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Trichopodus;Trichopodus_pectoralis
KY606169,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Trichopodus;Trichopodus_pectoralis
KY609155,root;Eukaryota;Chordata;Actinopteri;Synbranchiformes;Mastacembelidae;Mastacembelus;Mastacembelus_erythrotaenia
KY609156,root;Eukaryota;Chordata;Actinopteri;Synbranchiformes;Mastacembelidae;Mastacembelus;Mastacembelus_armatus
KY628301,root;Eukaryota;Chordata;Actinopteri;Perciformes;Gasterosteidae;Pungitius;Pungitius_kaibarae
KY628303,root;Eukaryota;Chordata;Actinopteri;Perciformes;Gasterosteidae;Pungitius;Pungitius_kaibarae
KY657279,root;Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister_atropurpureus
KY660677,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Ambloplites;Ambloplites_rupestris
KY660678,root;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma;Etheostoma_caeruleum
KY677758,root;Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Diodontidae;Diodon;Diodon_hystrix
KY710750,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Siluridae;Kryptopterus;Kryptopterus_vitreolus
KY747394,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Pimelodidae;Sorubim;Sorubim_lima
KY747492,root;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma;Etheostoma_okaloosae
KY767672,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Clariidae;Clarias;Clarias_batrachus
KY769128,root;Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa_sapidissima
KY778751,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Plicofollis;Plicofollis_platystomus
KY778752,root;Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Brevitrygon;Brevitrygon_walga
KY778753,root;Eukaryota;Chordata;Actinopteri;;Sciaenidae;Johnius;Johnius_belangerii
KY778754,root;Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;Leiognathus;Leiognathus_brevirostris
KY779851,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Sarcocheilichthys;Sarcocheilichthys_kiangsiensis
KY779852,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Macropodus;Macropodus_chinensis
