"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1314","Orientalina callosa","Orientalina callosa","species",NA,31564,7746959,68889,NA,"Orientalina callosa","Orientalina callosa","Orientalina callosa (Paulucci, 1881)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1315","Alzoniella finalina","Alzoniella finalina","species",NA,31563,4560700,1030338,NA,"Alzoniella finalina","Alzoniella finalina","Alzoniella finalina Giusti & Bodon, 1984","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1316","Pseudamnicola lucensis","Pseudamnicola lucensis","species",NA,31562,4559968,867393,NA,"Pseudamnicola lucensis","Pseudamnicola lucensis","Pseudamnicola lucensis (Issel, 1866)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"unplaced_inherited"
"1317","Bythinella compressa","Bythinella compressa","species",NA,27199,4561011,222540,NA,"Bythinella compressa","Bythinella compressa","Bythinella compressa (Frauenfeld, 1857)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1318","Fissuria boui","Fissuria boui","species",NA,31560,4560570,642126,NA,"Fissuria boui","Fissuria boui","Fissuria boui Boeters, 1981","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1319","Bulinus obtusispira","Bulinus obtusispira","species",NA,173108,7521410,1004782,NA,"Bulinus obtusispira","Bulinus obtusispira","Bulinus obtusispira (E.A.Smith, 1882)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1320","Bulinus liratus","Bulinus liratus","species",NA,173106,7998594,1004790,NA,"Bulinus liratus","Bulinus liratus","Bulinus liratus (Tristram, 1863)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1321","Bulinus bavayi","Bulinus bavayi","species",NA,173107,8399731,1082579,NA,"Bulinus bavayi","Bulinus bavayi","Bulinus bavayi (Dautzenberg, 1895)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1322","Bulinus globosus","Bulinus globosus","species",NA,151751,6874842,1004821,NA,"Bulinus globosus","Bulinus globosus","Bulinus globosus (Morelet, 1866)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1323","Bulinussutus","Bulinussutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1324","Bulinus umbilicatus","Bulinus umbilicatus","species",NA,173105,6874876,266248,NA,"Bulinus umbilicatus","Bulinus umbilicatus","Bulinus umbilicatus Mandahl-Barth, 1973","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1325","Bulinus africanus","Bulinus africanus","species",NA,151750,6874846,266247,NA,"Bulinus africanus","Bulinus africanus","Bulinus africanus (F.Krauss, 1848)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1326","Bulinus tropicus","Bulinus tropicus","species",NA,29498,6874879,486619,NA,"Bulinus tropicus","Bulinus tropicus","Bulinus tropicus (F.Krauss, 1848)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1327","Bulinus truncatus","Bulinus truncatus","species",NA,151742,7695428,327546,NA,"Bulinus truncatus","Bulinus truncatus","Bulinus truncatus (Audouin, 1827)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1328","Bulinus","Bulinus","genus",NA,5983,3243759,182017,NA,"Bulinus","Bulinus","Bulinus O.F.Müller, 1781","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1329","Bulinus cernicus","Bulinus cernicus","species",NA,151746,6874857,266246,NA,"Bulinus cernicus","Bulinus cernicus","Bulinus cernicus (Morelet, 1867)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1330","Bulinus wrighti","Bulinus wrighti","species",NA,151741,7449622,771699,NA,"Bulinus wrighti","Bulinus wrighti","Bulinus wrighti Mandahl-Barth, 1965","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1331","Bulinus forskalii","Bulinus forskalii","species",NA,151744,5724433,113706,NA,"Bulinus forskalii","Bulinus forskalii","Bulinus forskalii (Ehrenberg, 1831)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1332","Bulinus camerunensis","Bulinus camerunensis","species",NA,151745,6874841,113705,NA,"Bulinus camerunensis","Bulinus camerunensis","Bulinus camerunensis Mandahl-Barth, 1957","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1333","Bulinus scalaris","Bulinus scalaris","species",NA,173844,6874862,448478,NA,"Bulinus scalaris","Bulinus scalaris","Bulinus scalaris (Dunker, 1845)","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1334","Bulinus senegalensis","Bulinus senegalensis","species",NA,173842,6874851,113724,NA,"Bulinus senegalensis","Bulinus senegalensis","Bulinus senegalensis O.F.Müller, 1781","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1335","Opisthoteuthis","Opisthoteuthis","genus",138294,2168,2289247,619097,"Opisthoteuthis","Opisthoteuthis","Opisthoteuthis","Opisthoteuthis Verrill, 1883","Mollusca","Cephalopoda","Coleoidea","Octopoda","Opisthoteuthidae","Opisthoteuthis",NA,51,11707,11709,11718,23083,138294,NA,"Verrill, 1883",FALSE,""
"1336","Cirroctopus glacialis","Cirroctopus glacialis","species",325315,156821,4357121,752585,"Cirroctopus glacialis","Cirroctopus glacialis","Cirroctopus glacialis","Cirroctopus glacialis (Robson, 1930)","Mollusca","Cephalopoda","Coleoidea","Octopoda","Cirroctopodidae","Cirroctopus","Cirroctopus glacialis",51,11707,11709,11718,325313,325314,325315,"(Robson, 1930)",FALSE,""
