"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"6010","Stenhelia","Stenhelia","genus",115327,655673,2113538,586970,"Stenhelia","Stenhelia","Stenhelia","Stenhelia Boeck, 1865","Arthropoda","accepted",NA,FALSE,"sibling_higher","Boeck, 1865","Animalia","Copepoda","Harpacticoida","Miraciidae","Stenhelia","0","0"
"6011","Schizopera knabeni","Schizopera knabeni","species",355457,657321,2113484,2954515,"Schizopera knabeni","Schizopera knabeni","Schizopera knabeni","Schizopera knabeni Lang, 1965","Arthropoda","accepted",NA,FALSE,"","Lang, 1965","Animalia","Copepoda","Harpacticoida","Miraciidae","Schizopera","0","0"
"6012","Daphnia quadrangula","Daphnia quadrangula",NA,NA,NA,NA,650504,NA,"Daphnia quadrangula",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6013","Daphnia queenslandensis","Daphnia queenslandensis",NA,NA,NA,NA,1065637,NA,"Daphnia queenslandensis",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6014","Daphnia australis","Daphnia australis",NA,NA,NA,NA,1065631,NA,"Daphnia australis",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6015","Daphnia wardi","Daphnia wardi",NA,NA,NA,NA,902611,NA,"Daphnia wardi",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6016","Daphnia pusilla","Daphnia pusilla",NA,NA,NA,NA,1065630,NA,"Daphnia pusilla",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6017","Daphnia salinifera","Daphnia salinifera",NA,NA,NA,NA,1065629,NA,"Daphnia salinifera",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6018","Daphnia angulata","Daphnia angulata",NA,NA,NA,NA,1065632,NA,"Daphnia angulata",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6019","Daphnia nivalis","Daphnia nivalis",NA,NA,NA,NA,1065634,NA,"Daphnia nivalis",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6020","Daphnia thomsoni","Daphnia thomsoni",NA,NA,NA,NA,1065628,NA,"Daphnia thomsoni",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6021","Daphnia projecta","Daphnia projecta",NA,NA,NA,NA,163866,NA,"Daphnia projecta",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6022","Daphnia cephalata","Daphnia cephalata",NA,NA,NA,NA,163863,NA,"Daphnia cephalata",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6023","Daphnia reflexa","Daphnia reflexa",NA,NA,NA,NA,163865,NA,"Daphnia reflexa",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6024","Daphnia jollyi","Daphnia jollyi",NA,NA,NA,NA,163858,NA,"Daphnia jollyi",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
