"","found_taxa","rank","worms_sciname","tol_sp","ncbi_sp","approximate_match","is_synonym","flags","status","unacceptreason","valid_authority","worms_aphiaid","ncbi_uid","ott_id","class","order","family","genus","freshwater_only","terrestrial_only"
"4986","Syngnathus exilis","species","Syngnathus exilis","Syngnathus exilis","Syngnathus exilis",FALSE,FALSE,"","accepted",NA,"(Osburn & Nichols, 1916)",275223,"350043",131367,"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","0","0"
"4987","Salanx chinensis","species","Salanx chinensis","Salanx chinensis","Salanx chinensis",FALSE,FALSE,"","accepted",NA,"(Osbeck, 1765)",315539,"350768",674048,"Actinopteri","Osmeriformes","Salangidae","Salanx","0","0"
"4988","Neosalanx anderssoni","species","Neosalanx anderssoni","Neosalanx anderssoni","Neosalanx anderssoni",FALSE,FALSE,"","accepted",NA,"(Rendahl, 1923)",281700,"350769",674038,"Actinopteri","Osmeriformes","Salangidae","Neosalanx","0","0"
"4989","Neosalanx oligodontis","species","Neosalanx oligodontis","Neosalanx oligodontis","Neosalanx oligodontis",FALSE,FALSE,"","accepted",NA,"Chen, 1956",1013965,"350771",139589,"Actinopteri","Osmeriformes","Salangidae","Neosalanx","1","0"
"4990","Neosalanx pseudotaihuensis","species","Neosalanx pseudotaihuensis","Neosalanx pseudotaihuensis","Neosalanx pseudotaihuensis",FALSE,FALSE,"","accepted",NA,"Zhang, 1987",1011620,"350772",139591,"Actinopteri","Osmeriformes","Salangidae","Neosalanx","1","0"
"4991","Neosalanx tangkahkeii","species","Neosalanx tangkahkeii","Neosalanx tangkahkeii","Neosalanx tangkahkeii",FALSE,FALSE,"","accepted",NA,"(Wu, 1931)",281704,"350774",139576,"Actinopteri","Osmeriformes","Salangidae","Neosalanx","0","0"
"4992","Mesonauta festivus","species","Mesonauta festivus","Mesonauta festivus","Mesonauta festivus",FALSE,FALSE,"","accepted",NA,"(Heckel, 1840)",1022351,"350777",139584,"Actinopteri","Cichliformes","Cichlidae","Mesonauta","1","0"
"4993","Symphysodon haraldi",NA,NA,"Symphysodon haraldi","Symphysodon haraldi",FALSE,FALSE,"",NA,NA,NA,NA,"350779",827724,NA,NA,NA,NA,NA,NA
"4994","Hemibarbus mylodon","species","Hemibarbus mylodon","Hemibarbus mylodon","Hemibarbus mylodon",FALSE,FALSE,"","accepted",NA,"(Berg, 1907)",1526118,"351240",263290,"Actinopteri","Cypriniformes","Cyprinidae","Hemibarbus","1","0"
"4995","Stegastes nigricans","species","Stegastes nigricans","Stegastes nigricans","Stegastes nigricans",FALSE,FALSE,"incertae_sedis_inherited","accepted",NA,"(Lacepède, 1802)",218849,"351694",392,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Stegastes","0","0"
"4996","Neopomacentrus taeniurus","species","Neopomacentrus taeniurus","Neopomacentrus taeniurus","Neopomacentrus taeniurus",FALSE,FALSE,"incertae_sedis_inherited","accepted",NA,"(Bleeker, 1856)",218838,"351695",395,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Neopomacentrus","0","0"
"4997","Acanthopsetta nadeshnyi","species","Acanthopsetta nadeshnyi","Acanthopsetta nadeshnyi","Acanthopsetta nadeshnyi",FALSE,FALSE,"","accepted",NA,"Schmidt, 1904",279481,"352243",93674,"Actinopteri","Pleuronectiformes","Pleuronectidae","Acanthopsetta","0","0"
"4998","Cleisthenes pinetorum","species","Cleisthenes pinetorum","Cleisthenes pinetorum","Cleisthenes pinetorum",FALSE,FALSE,"","accepted",NA,"Jordan & Starks, 1904",280211,"352245",93682,"Actinopteri","Pleuronectiformes","Pleuronectidae","Cleisthenes","0","0"
"4999","Labeo batesii","species","Labeo batesii","Labeo batesii","Labeo batesii",FALSE,FALSE,"sibling_higher","accepted",NA,"Boulenger, 1911",1017692,"352451",495904,"Actinopteri","Cypriniformes","Cyprinidae","Labeo","1","0"
"5000","Mogurnda clivicola","species","Mogurnda clivicola","Mogurnda clivicola","Mogurnda clivicola",FALSE,FALSE,"","accepted",NA,"Allen & Jenkins, 1999",991281,"352911",470173,"Actinopteri","Gobiiformes","Eleotridae","Mogurnda","1","0"
"5001","Mogurnda larapintae","species","Mogurnda larapintae","Mogurnda larapintae","Mogurnda larapintae",FALSE,FALSE,"","accepted",NA,"(Zietz, 1896)",1026638,"352912",470166,"Actinopteri","Gobiiformes","Eleotridae","Mogurnda","1","0"
"5002","Mogurnda thermophila","species","Mogurnda thermophila","Mogurnda thermophila","Mogurnda thermophila",FALSE,FALSE,"","accepted",NA,"Allen & Jenkins, 1999",1010278,"352913",470169,"Actinopteri","Gobiiformes","Eleotridae","Mogurnda","1","0"
"5003","Pseudohemiculter dispar","species","Pseudohemiculter dispar","Pseudohemiculter dispar","Pseudohemiculter dispar",FALSE,FALSE,"","accepted",NA,"(Peters, 1881)",282430,"352917",470160,"Actinopteri","Cypriniformes","Cyprinidae","Pseudohemiculter","0","0"
"5004","Spinibarbus sinensis","species","Spinibarbus sinensis","Spinibarbus sinensis","Spinibarbus sinensis",FALSE,FALSE,"","accepted",NA,"(Bleeker, 1871)",1020560,"352921",945455,"Actinopteri","Cypriniformes","Cyprinidae","Spinibarbus","1","0"
"5005","Esomus metallicus","species","Esomus metallicus","Esomus metallicus","Esomus metallicus",FALSE,FALSE,"","accepted",NA,"Ahl, 1923",280717,"353259",76990,"Actinopteri","Cypriniformes","Cyprinidae","Esomus","0","0"
"5006","Hemibarbus longirostris","species","Hemibarbus longirostris","Hemibarbus longirostris","Hemibarbus longirostris",FALSE,FALSE,"","accepted",NA,"(Regan, 1908)",1015797,"354114",101431,"Actinopteri","Cypriniformes","Cyprinidae","Hemibarbus","1","0"
"5007","Coreoleuciscus splendidus","species","Coreoleuciscus splendidus","Coreoleuciscus splendidus","Coreoleuciscus splendidus",FALSE,FALSE,"","accepted",NA,"Mori, 1935",1015267,"354116",101438,"Actinopteri","Cypriniformes","Cyprinidae","Coreoleuciscus","1","0"
"5008","Cottus","genus","Cottus","Cottus","Cottus",FALSE,FALSE,"","accepted",NA,"Linnaeus, 1758",126148,"354138",942688,"Actinopteri","Perciformes","Cottidae","Cottus","0","0"
"5009","Aphyosemion loennbergii","species","Aphyosemion loennbergii","Aphyosemion loennbergii","Aphyosemion loennbergii",FALSE,FALSE,"","accepted",NA,"(Boulenger, 1903)",1015388,"355248",925487,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
"5010","Aphyosemion splendopleure","species","Aphyosemion splendopleure","Aphyosemion splendopleure","Aphyosemion splendopleure",FALSE,FALSE,"","accepted",NA,"(Brüning, 1929)",1015907,"355250",399401,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
"5011","Aphyosemion volcanum","species","Aphyosemion volcanum","Aphyosemion volcanum","Aphyosemion volcanum",FALSE,FALSE,"","accepted",NA,"Radda & Wildekamp, 1977",1012685,"355251",399405,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
"5012","Aphyosemion poliaki","species","Aphyosemion poliaki","Aphyosemion poliaki","Aphyosemion poliaki",FALSE,FALSE,"","accepted",NA,"Amiet, 1991",1011250,"355252",399409,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
"5013","Aphyosemion lugens","species","Aphyosemion lugens","Aphyosemion lugens","Aphyosemion lugens",FALSE,FALSE,"","accepted",NA,"Amiet, 1991",1384005,"355254",1042527,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
"5014","Aphyosemion alpha","species","Aphyosemion alpha","Aphyosemion alpha","Aphyosemion alpha",FALSE,FALSE,"","accepted",NA,"Huber, 1998",1384130,"355258",399414,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
"5015","Aphyosemion bitaeniatum","species","Aphyosemion bitaeniatum","Aphyosemion bitaeniatum","Aphyosemion bitaeniatum",FALSE,FALSE,"","accepted",NA,"(Ahl, 1924)",1015389,"355259",399417,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
"5016","Aphyosemion riggenbachi","species","Aphyosemion riggenbachi","Aphyosemion riggenbachi","Aphyosemion riggenbachi",FALSE,FALSE,"","accepted",NA,"(Ahl, 1924)",1016513,"355261",975588,"Actinopteri","Cyprinodontiformes","Nothobranchiidae","Aphyosemion","1","0"
