"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"2471","Calicophoron raja","Calicophoron raja","species",NA,906353,NA,7505296,NA,"Calicophoron raja","Calicophoron raja",NA,"Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2472","Carmyerius gregarius","Carmyerius gregarius","species",NA,906352,NA,7505279,NA,"Carmyerius gregarius","Carmyerius gregarius",NA,"Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2473","Carmyerius exoporus","Carmyerius exoporus","species",NA,906349,NA,7505278,NA,"Carmyerius exoporus","Carmyerius exoporus",NA,"Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2474","Calicophoron clavula","Calicophoron clavula","species",NA,906351,NA,7505294,NA,"Calicophoron clavula","Calicophoron clavula",NA,"Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2475","Paragonimus ohirai","Paragonimus ohirai","species",NA,173936,10790660,581956,NA,"Paragonimus ohirai","Paragonimus ohirai","Paragonimus ohirai","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2476","Proteocephalus fluviatilis","Proteocephalus fluviatilis","species",NA,905209,7012516,331263,NA,"Proteocephalus fluviatilis","Proteocephalus fluviatilis","Proteocephalus fluviatilis Bangham, 1925","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2477","Proteocephalus plecoglossi","Proteocephalus plecoglossi","species",NA,905205,7012499,173142,NA,"Proteocephalus plecoglossi","Proteocephalus plecoglossi","Proteocephalus plecoglossi Yamaguti, 1934","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2478","Proteocephalus percae","Proteocephalus percae","species",105168,905206,4345150,508645,"Proteocephalus percae","Proteocephalus percae","Proteocephalus percae","Proteocephalus percae (Müller, 1780) Railliet, 1899","Platyhelminthes","Cestoda","Eucestoda","Onchoproteocephalidea","Proteocephalidae","Proteocephalus","Proteocephalus percae",793,1051,104909,835832,104935,105007,105168,"(Müller, 1780) Railliet, 1899",FALSE,""
"2479","Proteocephalus sagittus","Proteocephalus sagittus","species",NA,905207,4412463,896570,NA,"Proteocephalus sagittus","Proteocephalus sagittus","Proteocephalus sagittus (Grimm, 1872) La Rue, 1911","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"2480","Proteocephalus demshini","Proteocephalus demshini","species",NA,905208,9594723,7503196,NA,"Proteocephalus demshini","Proteocephalus demshini","Proteocephalus demshini Scholz, de Chambrier, Shimazu, Ermolenko & Waeschenbach, 2017","Platyhelminthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
