"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"36","Clytia hemisphaerica","Clytia hemisphaerica","species",117368,80780,2268193,33385,"Clytia hemisphaerica","Clytia hemisphaerica","Clytia hemisphaerica","Clytia hemisphaerica (Linnaeus, 1767)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Clytia","Clytia hemisphaerica",1267,1337,19494,13552,1606,117030,117368,"(Linnaeus, 1767)",FALSE,""
"37","Clytia linearis","Clytia linearis","species",117370,81487,5186058,554370,"Clytia linearis","Clytia linearis","Clytia linearis","Clytia linearis (Thorneley, 1900)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Clytia","Clytia linearis",1267,1337,19494,13552,1606,117030,117370,"(Thorneley, 1900)",FALSE,""
"38","Obelia longissima","Obelia longissima","species",117389,79645,5185984,854448,"Obelia longissima","Obelia longissima","Obelia longissima","Obelia longissima (Pallas, 1766)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Obelia","Obelia longissima",1267,1337,19494,13552,1606,117034,117389,"(Pallas, 1766)",FALSE,""
"39","Orthopyxis compressa","Orthopyxis compressa","species",292523,930766,5186080,3683907,"Orthopyxis compressa","Orthopyxis compressa","Orthopyxis compressa","Orthopyxis compressa (Clark, 1877)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Orthopyxis","Orthopyxis compressa",1267,1337,19494,13552,1606,117035,292523,"(Clark, 1877)",FALSE,""
"40","Orthopyxis everta","Orthopyxis everta","species",117392,82845,5186083,144203,"Orthopyxis everta","Orthopyxis everta","Orthopyxis everta","Orthopyxis everta (Clark, 1876)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Orthopyxis","Orthopyxis everta",1267,1337,19494,13552,1606,117035,117392,"(Clark, 1876)",FALSE,""
"41","Halecium corrugatum","Halecium corrugatum","species",117586,930771,2268499,3682397,"Halecium corrugatum","Halecium corrugatum","Halecium corrugatum","Halecium corrugatum Nutting, 1899","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Haleciidae","Halecium","Halecium corrugatum",1267,1337,19494,13552,1608,117103,117586,"Nutting, 1899",FALSE,""
"42","Halecium labrosum","Halecium labrosum","species",117591,726300,2268502,735256,"Halecium labrosum","Halecium labrosum","Halecium labrosum","Halecium labrosum Alder, 1859","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Haleciidae","Halecium","Halecium labrosum",1267,1337,19494,13552,1608,117103,117591,"Alder, 1859",FALSE,""
"43","Grammaria immersa","Grammaria immersa","species",117693,930773,2267910,4712687,"Grammaria immersa","Grammaria immersa","Grammaria immersa","Grammaria immersa Nutting, 1901","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Lafoeidae","Grammaria","Grammaria immersa",1267,1337,19494,13552,1609,117134,117693,"Nutting, 1901",FALSE,""
"44","Lafoea dumosa","Lafoea dumosa","species",117702,264644,2267947,109524,"Lafoea dumosa","Lafoea dumosa","Lafoea dumosa","Lafoea dumosa (Fleming, 1820)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Lafoeidae","Lafoea","Lafoea dumosa",1267,1337,19494,13552,1609,117136,117702,"(Fleming, 1820)",FALSE,""
"45","Plumularia lagenifera","Plumularia lagenifera","species",285262,593617,2266922,221333,"Plumularia lagenifera","Plumularia lagenifera","Plumularia lagenifera","Plumularia lagenifera Allman, 1885","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Plumulariidae","Plumularia","Plumularia lagenifera",1267,1337,19494,13552,1613,117196,285262,"Allman, 1885",FALSE,""
"46","Plumularia setacea","Plumularia setacea","species",117824,390484,2266926,566402,"Plumularia setacea","Plumularia setacea","Plumularia setacea","Plumularia setacea (Linnaeus, 1758)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Plumulariidae","Plumularia","Plumularia setacea",1267,1337,19494,13552,1613,117196,117824,"(Linnaeus, 1758)",FALSE,""
"47","Abietinaria filicula","Abietinaria filicula","species",117871,726286,2269252,58252,"Abietinaria filicula","Abietinaria filicula","Abietinaria filicula","Abietinaria filicula (Ellis & Solander, 1786)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Sertulariidae","Abietinaria","Abietinaria filicula",1267,1337,19494,13552,1614,117225,117871,"(Ellis & Solander, 1786)",FALSE,""
"48","Abietinaria greenei","Abietinaria greenei","species",NA,930774,2269256,3683055,NA,"Abietinaria greenei","Abietinaria greenei","Abietinaria greenei (Murray, 1860)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"49","Abietinaria rigida","Abietinaria rigida","species",285377,930767,2269276,3683078,"Abietinaria rigida","Abietinaria rigida","Abietinaria rigida","Abietinaria rigida Fraser, 1911","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Sertulariidae","Abietinaria","Abietinaria rigida",1267,1337,19494,13552,1614,117225,285377,"Fraser, 1911",FALSE,""
"50","Sertularella rugosa","Sertularella rugosa","species",117907,726321,2268986,631132,"Sertularella rugosa","Sertularella rugosa","Sertularella rugosa","Sertularella rugosa (Linnaeus, 1758)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Sertularellidae","Sertularella","Sertularella rugosa",1267,1337,19494,13552,1041929,117233,117907,"(Linnaeus, 1758)",FALSE,""
"51","Sertularia cupressoides","Sertularia cupressoides","species",254637,930762,5186255,3683105,"Sertularia cupressoides","Sertularia cupressoides","Sertularia cupressoides","Sertularia cupressoides Clark, 1876","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Sertulariidae","Sertularia","Sertularia cupressoides",1267,1337,19494,13552,1614,117234,254637,"Clark, 1876",FALSE,""
"52","Symplectoscyphus tricuspidatus","Symplectoscyphus tricuspidatus","species",117929,798792,2268703,631138,"Symplectoscyphus tricuspidatus","Symplectoscyphus tricuspidatus","Symplectoscyphus tricuspidatus","Symplectoscyphus tricuspidatus (Alder, 1856)","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Symplectoscyphidae","Symplectoscyphus","Symplectoscyphus tricuspidatus",1267,1337,19494,13552,955659,117235,117929,"(Alder, 1856)",FALSE,""
"53","Cyanea capillata","Cyanea capillata","species",135301,83386,2264478,178412,"Cyanea capillata","Cyanea capillata","Cyanea capillata","Cyanea capillata (Linnaeus, 1758)","Cnidaria","Scyphozoa","Discomedusae","Semaeostomeae","Cyaneidae","Cyanea","Cyanea capillata",1267,135220,394976,135225,135239,135259,135301,"(Linnaeus, 1758)",FALSE,""
"54","Aurelia labiata","Aurelia labiata","species",287213,26996,5185432,408836,"Aurelia labiata","Aurelia labiata","Aurelia labiata","Aurelia labiata Chamisso & Eysenhardt, 1821","Cnidaria","Scyphozoa","Discomedusae","Semaeostomeae","Ulmaridae","Aurelia","Aurelia labiata",1267,135220,394976,135225,135241,135263,287213,"Chamisso & Eysenhardt, 1821",FALSE,""
"55","Manania distincta","Manania distincta","species",287218,981675,2264643,3680337,"Manania distincta","Manania distincta","Manania distincta","Manania distincta (Kishinouye, 1910)","Cnidaria","Staurozoa",NA,"Stauromedusae","Haliclystidae","Manania","Manania distincta",1267,265044,NA,135226,880517,135272,287218,"(Kishinouye, 1910)",FALSE,""
"56","Manania handi","Manania handi","species",287220,981081,2264637,3680351,"Manania handi","Manania handi","Manania handi","Manania handi Larson & Fautin, 1989","Cnidaria","Staurozoa",NA,"Stauromedusae","Haliclystidae","Manania","Manania handi",1267,265044,NA,135226,880517,135272,287220,"Larson & Fautin, 1989",FALSE,""
"57","Haliclystus californiensis","Haliclystus californiensis","species",527704,302950,5842372,922281,"Haliclystus californiensis","Haliclystus californiensis","Haliclystus californiensis","Haliclystus californiensis Kahn, Matsumoto, Hirano & Collins, 2010","Cnidaria","Staurozoa",NA,"Stauromedusae","Haliclystidae","Haliclystus","Haliclystus californiensis",1267,265044,NA,135226,880517,135275,527704,"Kahn, Matsumoto, Hirano & Collins, 2010",FALSE,""
"58","Haliclystus sanjuanensis","Haliclystus sanjuanensis","species",NA,667939,2264669,309092,NA,"Haliclystus sanjuanensis","Haliclystus sanjuanensis","Haliclystus sanjuanensis","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"hidden"
"59","Pleurobrachia bachei","Pleurobrachia bachei","species",265191,462427,2501138,742126,"Pleurobrachia bachei","Pleurobrachia bachei","Pleurobrachia bachei","Pleurobrachia bachei A.Agassiz, 1860","Ctenophora","Tentaculata",NA,"Cydippida","Pleurobrachiidae","Pleurobrachia","Pleurobrachia bachei",1248,1249,NA,1251,106324,106346,265191,"A. Agassiz, 1860",FALSE,""
"60","Amphiporus formidabilis","Amphiporus formidabilis","species",147983,25934,2507321,145278,"Amphiporus formidabilis","Amphiporus formidabilis","Amphiporus formidabilis","Amphiporus formidabilis Griffin, 1898","Nemertea","Hoplonemertea",NA,"Monostilifera","Amphiporidae","Amphiporus","Amphiporus formidabilis",152391,122309,NA,122303,122323,122391,147983,"Griffin, 1898",FALSE,"extinct_inherited, incertae_sedis, sibling_higher"
"61","Nipponnemertes bimaculata","Nipponnemertes bimaculata","species",156340,939114,8154237,26460,"Nipponnemertes bimaculata","Nipponnemertes bimaculata","Nipponnemertes bimaculata","Nipponnemertes bimaculata Iwata, 1954","Nemertea","Hoplonemertea",NA,"Monostilifera","Cratenemertidae","Nipponnemertes","Nipponnemertes bimaculata",152391,122309,NA,122303,122325,122402,156340,"Iwata, 1954",FALSE,""
"62","Paranemertes peregrina","Paranemertes peregrina","species",162261,25904,2507030,599374,"Paranemertes peregrina","Paranemertes peregrina","Paranemertes peregrina","Paranemertes peregrina Coe, 1901","Nemertea","Hoplonemertea",NA,"Monostilifera","Neesiidae","Paranemertes","Paranemertes peregrina",152391,122309,NA,122303,1416266,122406,162261,"Coe, 1901",FALSE,""
"63","Quasitetrastemmagrifrons","Quasitetrastemmagrifrons",NA,NA,NA,NA,2930349,NA,"Quasitetrastemma nigrifrons",NA,NA,"Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"64","Tubulanus ruber","Tubulanus ruber","species",NA,887436,9277265,7502743,NA,"Tubulanus ruber","Tubulanus ruber","Tubulanus ruber","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"65","Tubulanus sexlineatus","Tubulanus sexlineatus","species",147256,25853,2508093,359645,"Tubulanus sexlineatus","Tubulanus sexlineatus","Tubulanus sexlineatus","Tubulanus sexlineatus (Griffin, 1898)","Nemertea","Palaeonemertea",NA,"Tubulaniformes","Tubulanidae","Tubulanus","Tubulanus sexlineatus",152391,122307,NA,1451609,122321,122388,147256,"(Griffin, 1898)",FALSE,""
