"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"8956","Pseudoniphargus latipes","Pseudoniphargus latipes","species",NA,931990,4416965,2982293,NA,"Pseudoniphargus latipes","Pseudoniphargus latipes","Pseudoniphargus latipes Notenboom, 1987","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8957","Pseudoniphargus pedrerae","Pseudoniphargus pedrerae","species",NA,931994,6461863,2982299,NA,"Pseudoniphargus pedrerae","Pseudoniphargus pedrerae","Pseudoniphargus pedrerae Pretus, 1990","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8958","Pseudoniphargus pityusensis","Pseudoniphargus pityusensis","species",NA,931995,4416971,2982295,NA,"Pseudoniphargus pityusensis","Pseudoniphargus pityusensis","Pseudoniphargus pityusensis Pretus, 1990","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8959","Pseudoniphargus portosancti","Pseudoniphargus portosancti","species",NA,931996,8986629,2982259,NA,"Pseudoniphargus portosancti","Pseudoniphargus portosancti","Pseudoniphargus portosancti Stock & Abreu, 1993","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8960","Pseudoniphargus jereanus","Pseudoniphargus jereanus","species",NA,931997,4416935,2982274,NA,"Pseudoniphargus jereanus","Pseudoniphargus jereanus","Pseudoniphargus jereanus Notenboom, 1986","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8961","Pseudoniphargus gevi","Pseudoniphargus gevi","species",NA,931998,9676725,7119334,NA,"Pseudoniphargus gevi","Pseudoniphargus gevi","Pseudoniphargus gevi Stokkan & Jaume, 2018","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8962","Pseudoniphargus ruffoi","Pseudoniphargus ruffoi","species",NA,931999,6461862,2982298,NA,"Pseudoniphargus ruffoi","Pseudoniphargus ruffoi","Pseudoniphargus ruffoi Coineau & Boutin, 1996","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8963","Pseudoniphargus salinus","Pseudoniphargus salinus","species",NA,932000,6461858,2982280,NA,"Pseudoniphargus salinus","Pseudoniphargus salinus","Pseudoniphargus salinus Stock, 1988","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8964","Pseudoniphargus morenoi","Pseudoniphargus morenoi","species",NA,932001,9712602,7119336,NA,"Pseudoniphargus morenoi","Pseudoniphargus morenoi","Pseudoniphargus morenoi Stokkan & Jaume, 2018","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8965","Pseudoniphargus triasi","Pseudoniphargus triasi","species",NA,932004,4416947,2982250,NA,"Pseudoniphargus triasi","Pseudoniphargus triasi","Pseudoniphargus triasi Jaume, 1991","Arthropoda",NA,NA,NA,"Allocrangonyctidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
