"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"4000","Procalpurnus lacteus","Procalpurnus lacteus","species",216906,328902,4611167,513558,"Procalpurnus lacteus","Procalpurnus lacteus","Procalpurnus lacteus","Procalpurnus lacteus (Lamarck, 1810)","Mollusca","accepted",NA,FALSE,"","(Lamarck, 1810)","Animalia","Gastropoda","Littorinimorpha","Ovulidae","Procalpurnus","0","0"
"4001","Prosimnia piriei","Prosimnia piriei",NA,NA,NA,NA,513561,NA,"Prosimnia piriei",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4002","Sandalia rhodia","Sandalia triticea",NA,NA,NA,NA,2919709,NA,"Sandalia triticea",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4003","Lepidochitona liozonis","Lepidochitona liozonis","species",848100,651892,2306422,2866738,"Lepidochitona liozonis","Lepidochitona liozonis","Lepidochitona liozonis","Lepidochitona liozonis (Dall & Simpson, 1901)","Mollusca","accepted",NA,FALSE,"","(Dall & Simpson, 1901)","Animalia","Polyplacophora","Chitonida","Tonicellidae","Lepidochitona","0","0"
"4004","Pedicularia pacifica","Pedicularia pacifica","species",437176,31219,4611127,867159,"Pedicularia pacifica","Pedicularia pacifica","Pedicularia pacifica","Pedicularia pacifica Pease, 1865","Mollusca","accepted",NA,FALSE,"","Pease, 1865","Animalia","Gastropoda","Littorinimorpha","Pediculariidae","Pedicularia","0","0"
"4005","Pedicularia vanderlandi","Pedicularia vanderlandi","species",437177,901734,4611128,2893390,"Pedicularia vanderlandi","Pedicularia vanderlandi","Pedicularia vanderlandi","Pedicularia vanderlandi Goud & B.W.Hoeksema, 2001","Mollusca","accepted",NA,FALSE,"","Goud & B. W. Hoeksema, 2001","Animalia","Gastropoda","Littorinimorpha","Pediculariidae","Pedicularia","0","0"
"4006","Proneomenia sluiteri","Proneomenia sluiteri","species",140863,653461,2288976,2850144,"Proneomenia sluiteri","Proneomenia sluiteri","Proneomenia sluiteri","Proneomenia sluiteri Hubrecht, 1880","Mollusca","accepted",NA,FALSE,"","Hubrecht, 1880","Animalia","Solenogastres",NA,"Proneomeniidae","Proneomenia","0","0"
"4007","Boreochiton beringensis","Boreochiton beringensis","species",386612,495440,4370093,2866823,"Boreochiton beringensis","Boreochiton beringensis","Boreochiton beringensis","Boreochiton beringensis (Jakovleva, 1952)","Mollusca","accepted",NA,FALSE,"","(Yakovleva, 1952)","Animalia","Polyplacophora","Chitonida","Tonicellidae","Boreochiton","0","0"
"4008","Callochiton puniceus","Callochiton puniceus","species",385907,649868,2306767,2867616,"Callochiton puniceus","Callochiton puniceus","Callochiton puniceus","Callochiton puniceus (Gould, 1846)","Mollusca","accepted",NA,FALSE,"","(Gould, 1846)","Animalia","Polyplacophora","Callochitonida","Callochitonidae","Callochiton","0","0"
"4009","Choriplax grayi","Choriplax grayi","species",386601,656539,2306012,2867653,"Choriplax grayi","Choriplax grayi","Choriplax grayi","Choriplax grayi (H.Adams & Angas, 1864)","Mollusca","accepted",NA,FALSE,"","(H. Adams & Angas, 1864)","Animalia","Polyplacophora","Chitonida","Choriplacidae","Choriplax","0","0"
