"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"48","Naineris uncinata","Naineris uncinata","species",329420,807531,2320032,4977168,"Naineris uncinata","Naineris uncinata","Naineris uncinata","Naineris uncinata Hartman, 1957","Annelida","Polychaeta","Sedentaria",NA,"Orbiniidae","Naineris","Naineris uncinata",882,883,754175,NA,902,129419,329420,"Hartman, 1957",FALSE,"sibling_higher"
"49","Scoloplos acmeceps","Scoloplos acmeceps","species",337437,807532,2319743,760480,"Scoloplos acmeceps","Scoloplos acmeceps","Scoloplos acmeceps","Scoloplos acmeceps Chamberlin, 1919","Annelida","Polychaeta","Sedentaria",NA,"Orbiniidae","Scoloplos","Scoloplos acmeceps",882,883,754175,NA,902,129425,337437,"Chamberlin, 1919",FALSE,"sibling_higher"
"50","Aricidea antennata","Aricidea antennata","species",NA,370434,2318529,4978085,NA,"Aricidea antennata","Aricidea antennata","Aricidea antennata Annenkova, 1934","Annelida","Polychaeta",NA,NA,"Paraonidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"51","Paraonides platybranchia","Paraonides platybranchia","species",334387,889976,2318471,4978211,"Paraonides platybranchia","Paraonides platybranchia","Paraonides platybranchia","Paraonides platybranchia (Hartman, 1961)","Annelida","Polychaeta","Sedentaria",NA,"Paraonidae","Paraonides","Paraonides platybranchia",882,883,754175,NA,903,129434,334387,"(Hartman, 1961)",FALSE,""
"52","Owenia collaris","Owenia collaris","species",334327,807891,5199354,598604,"Owenia collaris","Owenia collaris","Owenia collaris","Owenia collaris Hartman, 1955","Annelida","Polychaeta","Polychaeta incertae sedis",NA,"Oweniidae","Owenia","Owenia collaris",882,883,155086,NA,975,129427,334327,"Hartman, 1955",FALSE,""
"53","Neosabellaria cementarium","Neosabellaria cementarium","species",334129,807527,2326510,82778,"Neosabellaria cementarium","Neosabellaria cementarium","Neosabellaria cementarium","Neosabellaria cementarium (Moore, 1906)","Annelida","Polychaeta","Sedentaria",NA,"Sabellariidae","Neosabellaria","Neosabellaria cementarium",882,883,754175,NA,979,325239,334129,"(Moore, 1906)",FALSE,""
"54","Eudistylia catharinae","Eudistylia catharinae","species",327569,889973,2329563,4987019,"Eudistylia catharinae","Eudistylia catharinae","Eudistylia catharinae","Eudistylia catharinae Banse, 1979","Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Eudistylia","Eudistylia catharinae",882,883,754175,901,985,325075,327569,"Banse, 1979",FALSE,""
"55","Paradialychone ecaudata","Paradialychone ecaudata","species",558740,807886,5959069,4987224,"Paradialychone ecaudata","Paradialychone ecaudata","Paradialychone ecaudata","Paradialychone ecaudata (Moore, 1923)","Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Paradialychone","Paradialychone ecaudata",882,883,754175,901,985,558736,558740,"(Moore, 1923)",FALSE,""
"56","Circeis armoricana","Circeis armoricana","species",131198,190366,5199438,617648,"Circeis armoricana","Circeis armoricana","Circeis armoricana","Circeis armoricana Saint-Joseph, 1894","Annelida","Polychaeta","Sedentaria","Sabellida","Serpulidae","Circeis","Circeis armoricana",882,883,754175,901,988,129629,131198,"Saint-Joseph, 1894",FALSE,""
"57","Crucigera zygophora","Crucigera zygophora","species",332723,160497,2328448,44727,"Crucigera zygophora","Crucigera zygophora","Crucigera zygophora","Crucigera zygophora (Johnson, 1901)","Annelida","Polychaeta","Sedentaria","Sabellida","Serpulidae","Crucigera","Crucigera zygophora",882,883,754175,901,988,206777,332723,"(Johnson, 1901)",FALSE,""
"58","Paradexiospira violaceus","Paradexiospira violaceus","species",NA,809279,NA,4985914,NA,"Paradexiospira violacea","Paradexiospira violaceus",NA,"Annelida","Polychaeta",NA,NA,"Serpulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"59","Paradexiospira vitrea","Paradexiospira vitrea","species",NA,190371,2327699,617643,NA,"Paradexiospira vitrea","Paradexiospira vitrea","Paradexiospira vitrea (Fabricius, 1780)","Annelida","Polychaeta",NA,NA,"Serpulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"60","Pseudochitinopoma occidentalis","Pseudochitinopoma occidentalis","species",369262,808433,2326637,44733,"Pseudochitinopoma occidentalis","Pseudochitinopoma occidentalis","Pseudochitinopoma occidentalis","Pseudochitinopoma occidentalis (Bush, 1905)","Annelida","Polychaeta","Sedentaria","Sabellida","Serpulidae","Pseudochitinopoma","Pseudochitinopoma occidentalis",882,883,754175,901,988,326004,369262,"(Bush, 1905)",FALSE,""
"61","Magelona sacculata","Magelona sacculata","species",329161,385906,2320572,4976710,"Magelona sacculata","Magelona sacculata","Magelona sacculata","Magelona sacculata Hartman, 1961","Annelida","Polychaeta","Polychaeta incertae sedis",NA,"Magelonidae","Magelona","Magelona sacculata",882,883,155086,NA,914,129341,329161,"Hartman, 1961",FALSE,""
"62","Dipolydora magna","Dipolydora magna","species",NA,896076,NA,4976456,NA,"Polydora magna","Dipolydora magna",NA,"Annelida","Polychaeta",NA,NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"sibling_higher"
"63","Laonice cirrata","Laonice cirrata","species",131128,214482,2320766,4976380,"Laonice cirrata","Laonice cirrata","Laonice cirrata","Laonice cirrata (M.Sars, 1851)","Annelida","Polychaeta","Sedentaria","Spionida","Spionidae","Laonice","Laonice cirrata",882,883,754175,889,913,129613,131128,"(M. Sars, 1851)",FALSE,""
"64","Polydora haswelli","Polydora haswelli","species",330923,715076,5197780,975944,"Polydora haswelli","Polydora haswelli","Polydora haswelli","Polydora haswelli Blake & Kudenov, 1978","Annelida","Polychaeta","Sedentaria","Spionida","Spionidae","Polydora","Polydora haswelli",882,883,754175,889,913,129619,330923,"Blake & Kudenov, 1978",FALSE,"sibling_higher"
"65","Prionospio lighti","Prionospio lighti","species",558839,190330,2320691,4976198,"Prionospio lighti","Prionospio lighti","Prionospio lighti","Prionospio lighti Maciolek, 1985","Annelida","Polychaeta","Sedentaria","Spionida","Spionidae","Prionospio","Prionospio lighti",882,883,754175,889,913,129620,558839,"Maciolek, 1985",FALSE,""
"66","Prionospio multibranchiata","Prionospio multibranchiata","species",131160,541649,2321360,4976054,"Prionospio multibranchiata","Prionospio multibranchiata","Prionospio multibranchiata","Prionospio multibranchiata Berkeley, 1927","Annelida","Polychaeta","Sedentaria","Spionida","Spionidae","Prionospio","Prionospio multibranchiata",882,883,754175,889,913,129620,131160,"Berkeley, 1927",FALSE,""
"67","Prionospio multibranchiatus","Prionospio multibranchiatus","species",NA,896079,NA,4976054,NA,"Prionospio multibranchiata","Prionospio multibranchiatus",NA,"Annelida","Polychaeta",NA,NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"68","Prionospio steenstrupi","Prionospio steenstrupi","species",131164,32477,2320648,275105,"Prionospio steenstrupi","Prionospio steenstrupi","Prionospio steenstrupi","Prionospio steenstrupi Malmgren, 1867","Annelida","Polychaeta","Sedentaria","Spionida","Spionidae","Prionospio","Prionospio steenstrupi",882,883,754175,889,913,129620,131164,"Malmgren, 1867",FALSE,""
"69","Rhynchospio arenincola","Rhynchospio arenincola","species",338546,899743,2320829,7490583,"Rhynchospio arenincola","Rhynchospio arenincola","Rhynchospio arenincola","Rhynchospio arenincola Hartman, 1936","Annelida","Polychaeta","Sedentaria","Spionida","Spionidae","Rhynchospio","Rhynchospio arenincola",882,883,754175,889,913,174829,338546,"Hartman, 1936",FALSE,""
"70","Spiophanesrrisi","Spiophanesrrisi",NA,NA,NA,NA,349433,NA,"Spiophanes norrisi",NA,NA,"Annelida","Polychaeta",NA,NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"71","Dodecaceria concharum","Dodecaceria concharum","species",129967,152842,2324129,1067348,"Dodecaceria concharum","Dodecaceria concharum","Dodecaceria concharum","Dodecaceria concharum Örsted, 1843","Annelida","Polychaeta","Sedentaria","Terebellida","Cirratulidae","Dodecaceria","Dodecaceria concharum",882,883,754175,900,919,129246,129967,"Örsted, 1843",FALSE,""
"72","Dodecaceria fewkesi","Dodecaceria fewkesi","species",NA,160498,2324123,4976959,NA,"Dodecaceria fewkesi","Dodecaceria fewkesi","Dodecaceria fewkesi Berkeley & Berkeley, 1954","Annelida","Polychaeta",NA,NA,"Cirratulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"73","Semiodera inflata","Semiodera inflata","species",1039077,899740,9419433,4985362,"Semiodera inflata","Pherusa inflata","Semiodera inflata","Semiodera inflata (Treadwell, 1914)","Annelida","Polychaeta","Sedentaria","Terebellida","Flabelligeridae","Semiodera","Semiodera inflata",882,883,754175,900,976,326025,1039077,"(Treadwell, 1914)",TRUE,""
