"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"565","Laomedea flexuosa","Laomedea flexuosa","species",117382,82160,2268353,259585,"Laomedea flexuosa","Laomedea flexuosa","Laomedea flexuosa","Laomedea flexuosa Alder, 1857","Cnidaria","accepted",NA,FALSE,"","Alder, 1857","Animalia","Hydrozoa","Leptothecata","Campanulariidae","Laomedea","0","0"
"566","Laomedea calceolifera","Laomedea calceolifera","species",117380,80782,2268350,446121,"Laomedea calceolifera","Laomedea calceolifera","Laomedea calceolifera","Laomedea calceolifera (Hincks, 1871)","Cnidaria","accepted",NA,FALSE,"","(Hincks, 1871)","Animalia","Hydrozoa","Leptothecata","Campanulariidae","Laomedea","0","0"
"567","Agalma elegans","Agalma elegans","species",135484,24342,5185488,536352,"Agalma elegans","Agalma elegans","Agalma elegans","Agalma elegans (Sars, 1846)","Cnidaria","accepted",NA,FALSE,"","(Sars, 1846)","Animalia","Hydrozoa","Siphonophorae","Agalmatidae","Agalma","0","0"
"568","Athorybia rosacea","Athorybia rosacea","species",135498,24340,5185476,15314,"Athorybia rosacea","Athorybia rosacea","Athorybia rosacea","Athorybia rosacea (Forsskål, 1775)","Cnidaria","accepted",NA,FALSE,"","(Forsskål, 1775)","Animalia","Hydrozoa","Siphonophorae","Agalmatidae","Athorybia","0","0"
"569","Forskalia asymmetrica","Forskalia asymmetrica","species",196540,24330,5185503,15316,"Forskalia asymmetrica","Forskalia asymmetrica","Forskalia asymmetrica","Forskalia asymmetrica Pugh, 2003","Cnidaria","accepted",NA,FALSE,"","Pugh, 2003","Animalia","Hydrozoa","Siphonophorae","Forskaliidae","Forskalia","0","0"
"570","Forskalia edwardsi","Forskalia edwardsi",NA,NA,NA,NA,986301,NA,"Forskalia edwardsi",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"571","Forskalia tholoides","Forskalia tholoides","species",196539,24328,5185500,15317,"Forskalia tholoides","Forskalia tholoides","Forskalia tholoides","Forskalia tholoides Haeckel, 1888","Cnidaria","accepted",NA,FALSE,"","Haeckel, 1888","Animalia","Hydrozoa","Siphonophorae","Forskaliidae","Forskalia","0","0"
"572","Stephanomia","Stephanomia","genus",152186,24324,2264871,486584,"Stephanomia","Stephanomia","Stephanomia","Stephanomia Lesueur & Petit, 1807","Cnidaria","accepted",NA,FALSE,"","Lesueur & Petit, 1807","Animalia","Hydrozoa","Siphonophorae","Stephanomiidae","Stephanomia","0","0"
"573","Halistemma rubrum","Halistemma rubrum","species",135490,24323,2264850,486585,"Halistemma rubrum","Halistemma rubrum","Halistemma rubrum","Halistemma rubrum (Vogt, 1852)","Cnidaria","accepted",NA,FALSE,"","(Vogt, 1852)","Animalia","Hydrozoa","Siphonophorae","Agalmatidae","Halistemma","0","0"
"574","Nanomia bijuga","Nanomia bijuga","species",135495,24321,2264848,358889,"Nanomia bijuga","Nanomia bijuga","Nanomia bijuga","Nanomia bijuga (Delle Chiaje, 1844)","Cnidaria","accepted",NA,FALSE,"","(Delle Chiaje, 1844)","Animalia","Hydrozoa","Siphonophorae","Agalmatidae","Nanomia","0","0"
