"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","order","family","genus","freshwater_only","terrestrial_only"
"1399","Lysidice ninetta","Lysidice ninetta","species",130071,168957,5198147,438828,"Lysidice ninetta","Lysidice ninetta","Lysidice ninetta","Lysidice ninetta Audouin & H Milne Edwards, 1833","Annelida","Polychaeta","accepted",NA,FALSE,"","Audouin & H Milne Edwards, 1833","Animalia","Eunicida","Eunicidae","Lysidice","0","0"
"1400","Marphysa regalis","Marphysa regalis","species",329261,300522,2322169,1020329,"Marphysa regalis","Marphysa regalis","Marphysa regalis","Marphysa regalis Verrill, 1900","Annelida","Polychaeta","accepted",NA,FALSE,"sibling_higher","Verrill, 1900","Animalia","Eunicida","Eunicidae","Marphysa","0","0"
"1401","Eunice filamentosa","Eunice filamentosa","species",327679,226347,5198228,4978534,"Eunice filamentosa","Eunice filamentosa","Eunice filamentosa","Eunice filamentosa Grube & Örsted, 1856","Annelida","Polychaeta","accepted",NA,FALSE,"","Grube & Örsted in Grube, 1856","Animalia","Eunicida","Eunicidae","Eunice","0","0"
"1402","Eunice mikeli","Eunice mikeli",NA,NA,NA,NA,1070832,NA,"Eunice mikeli",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Eunicidae",NA,NA,NA
"1403","Tyrannobdella rex","Tyrannobdella rex",NA,NA,NA,NA,556228,NA,"Tyrannobdella rex",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Hirudinidae",NA,NA,NA
"1404","Myxobdella annandalei","Myxobdella annandalei",NA,NA,NA,NA,556215,NA,"Myxobdella annandalei",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Hirudinidae",NA,NA,NA
"1405","Drawida hattamimizu","Drawida hattamimizu",NA,NA,NA,NA,60439,NA,"Drawida hattamimizu",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Moniligastridae",NA,NA,NA
"1406","Anguillosyllis capensis","Anguillosyllis capensis","species",326448,303629,2310034,899718,"Anguillosyllis capensis","Anguillosyllis capensis","Anguillosyllis capensis","Anguillosyllis capensis Day, 1963","Annelida","Polychaeta","accepted",NA,FALSE,"","Day, 1963","Animalia","Phyllodocida","Syllidae","Anguillosyllis","0","0"
"1407","Progoniada regularis","Progoniada regularis","species",130147,303633,2316546,19218,"Progoniada regularis","Progoniada regularis","Progoniada regularis","Progoniada regularis Hartman, 1965","Annelida","Polychaeta","accepted",NA,FALSE,"","Hartman, 1965","Animalia","Phyllodocida","Goniadidae","Progoniada","0","0"
"1408","Bathyglycinde sibogana","Bathyglycinde sibogana","species",240614,303635,4308372,899728,"Bathyglycinde sibogana","Bathyglycinde sibogana","Bathyglycinde sibogana","Bathyglycinde sibogana (Augener & Pettibone, 1970)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Augener & Pettibone in Pettibone, 1970)","Animalia","Phyllodocida","Goniadidae","Bathyglycinde","0","0"
