"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"10194","Laemolyta fernandezi","Laemolyta fernandezi","species",NA,594327,2355444,3625686,NA,"Laemolyta fernandezi","Laemolyta fernandezi","Laemolyta fernandezi Myers, 1950","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10195","Leporinus bleheri","Leporinus bleheri","species",NA,594300,2355369,3625630,NA,"Leporinus bleheri","Leporinus bleheri","Leporinus bleheri Géry, 1999","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10196","Leporinus desmotes","Leporinus desmotes","species",NA,594306,2355403,3625660,NA,"Leporinus desmotes","Leporinus desmotes","Leporinus desmotes Fowler, 1914","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10197","Leporinus geminis","Leporinus geminis","species",NA,594307,2355319,3625633,NA,"Leporinus geminis","Leporinus geminis","Leporinus geminis Garavello & Santos, 2009","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10198","Leporinus octomaculatus","Leporinus octomaculatus","species",NA,594299,2355419,3625657,NA,"Leporinus octomaculatus","Leporinus octomaculatus","Leporinus octomaculatus Britski & Garavello, 1993","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10199","Megaleporinus piavussu","Megaleporinus piavussu","species",NA,764248,10774731,5839129,NA,"Megaleporinus piavussu","Megaleporinus piavussu","Megaleporinus piavussu (Britski, Birindelli & Garavello, 2012)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10200","Leporinus reticulatus","Leporinus reticulatus",NA,NA,NA,NA,3625618,NA,"Leporinus reticulatus",NA,NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10201","Leporinus tigrinus","Leporinus tigrinus","species",NA,594303,2355391,3625619,NA,"Leporinus tigrinus","Leporinus tigrinus","Leporinus tigrinus Borodin, 1929","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10202","Megaleporinus trifasciatus","Megaleporinus trifasciatus","species",NA,764251,10604213,3625668,NA,"Megaleporinus trifasciatus","Megaleporinus trifasciatus","Megaleporinus trifasciatus (Steindachner, 1876)","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10203","Leporinus trimaculatus","Leporinus trimaculatus",NA,NA,NA,NA,3625609,NA,"Leporinus trimaculatus",NA,NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"10204","Leporinus unitaeniatus","Leporinus unitaeniatus","species",NA,594308,2355365,3625652,NA,"Leporinus unitaeniatus","Leporinus unitaeniatus","Leporinus unitaeniatus Garavello & Santos, 2009","Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
