"","species","hakai2020","hart","hakaiseine","hakaisample","terrestrial_only","freshwater_only","worms_sciname","class","order","family","genus","status","unacceptreason","is_synonym","worms_aphiaid","bold_id","gbif_key","ott_id"
"163","Lamna ditropis",0,1,0,0,"0","0","Lamna ditropis","Elasmobranchii","Lamniformes","Lamnidae","Lamna","accepted",NA,FALSE,271421,59204,5216246,950993
"164","Lampanyctus regalis",0,1,0,0,"0","0","Lampanyctus regalis","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","accepted",NA,TRUE,301545,NA,2405645,169226
"165","Lampanyctus ritteri",0,1,0,0,"0","0","Lampanyctus ritteri","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","accepted",NA,TRUE,301548,1146630,2405620,47677
"166","Lampris regius",0,1,0,0,"0","0","Lampris guttatus","Actinopteri","Lampriformes","Lampridae","Lampris","unaccepted",NA,TRUE,126522,NA,2400465,788076
"167","Lestidium ringens",0,1,0,0,"0","0","Lestidiops ringens","Actinopteri","Aulopiformes","Paralepididae","Lestidium","unaccepted",NA,TRUE,272096,NA,2401502,1016712
"168","Leuroglossus stilbius schmidti",0,1,0,0,"0","0","Leuroglossus schmidti","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","unaccepted",NA,TRUE,254551,NA,6169867,7517
"169","Liparis callyodon",0,1,0,0,"0","0","Liparis callyodon","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,274505,191453,5201419,268665
"170","Liparis cyclopus",0,1,1,1,"0","0","Liparis cyclopus","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,274509,804235,5201449,4949171
"171","Liparis dennyi",0,1,0,0,"0","0","Liparis dennyi","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,254550,142501,5201415,254249
"172","Liparis florae",0,1,0,0,"0","0","Liparis florae","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,274513,125573,5201520,290377
"173","Liparis fucensis",0,1,0,0,"0","0","Liparis fucensis","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,274515,125626,5201508,714027
"174","Liparis mucosus",0,1,1,0,"0","0","Liparis mucosus","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,274527,76464,5201509,1098784
"175","Liparis pulchellus",0,1,0,0,"0","0","Liparis pulchellus","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,274533,99718,5201510,714030
"176","Liparis rutteri",0,1,0,0,"0","0","Liparis rutteri","Actinopteri","Perciformes","Liparidae","Liparis","accepted",NA,FALSE,274538,125627,5201491,379312
"177","Lumpenella longirostris",0,1,0,0,"0","0","Lumpenella longirostris","Actinopteri","Perciformes","Stichaeidae","Lumpenella","accepted",NA,FALSE,254351,11193,2394845,11743
"178","Lumpenus maculatus",0,1,0,0,"0","0","Leptoclinus maculatus","Actinopteri","Perciformes","Stichaeidae","Lumpenus","unaccepted",NA,TRUE,127072,NA,5211314,272745
"179","Lyconectes aleutensis",0,1,0,0,"0","0","Cryptacanthodes aleutensis","Actinopteri","Perciformes","Cryptacanthodidae","Lyconectes","unaccepted",NA,TRUE,276390,NA,2387414,7510
"180","Macropinna microstoma",0,1,0,0,"0","0","Macropinna microstoma","Actinopteri","Argentiniformes","Opisthoproctidae","Macropinna","accepted",NA,FALSE,281482,34567,2411162,584432
"181","Malacocottus kincaidi",0,1,0,0,"0","0","Malacocottus kincaidi","Actinopteri","Perciformes","Psychrolutidae","Malacocottus","accepted",NA,FALSE,279442,10680,2334873,568689
"182","Mallotus villosus",0,1,0,0,"0","0","Mallotus villosus","Actinopteri","Osmeriformes","Osmeridae","Mallotus","accepted",NA,FALSE,126735,34580,5214420,399346
"183","Melamphaes lugubris",0,1,0,0,"0","0","Melamphaes lugubris","Actinopteri","Beryciformes","Melamphaidae","Melamphaes","accepted",NA,FALSE,274932,33946,2410364,273421
"184","Merluccius productus",0,1,0,1,"0","0","Merluccius productus","Actinopteri","Gadiformes","Merlucciidae","Merluccius","accepted",NA,FALSE,272458,11764,2415676,183169
"185","Nansenia candida",0,1,0,0,"0","0","Nansenia candida","Actinopteri","Argentiniformes","Microstomatidae","Nansenia","accepted",NA,FALSE,272926,34000,5214216,992672
"186","Nautichthys robustus",0,1,0,0,"0","0","Nautichthys robustus",NA,"Scorpaeniformes","Hemitripteridae","Nautichthys","accepted",NA,FALSE,254401,101138,2335121,529008
