"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"21281","Margarites frielei",7554604,"Margarita frielei Krause, 1885","species","SYNONYM","FUZZY","Margarita frielei",73,"Animalia","Mollusca","Trochida","Margaritidae","Margarites","Margarites olivaceus",1,52,225,9715180,6532323,2292959,5190279,TRUE,"Gastropoda","Similarity: name=65; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",5190279
"21319","Marseninia micromphala",6492581,"Marsenina micromphala Bergh, 1853","species","SYNONYM","FUZZY","Marsenina micromphala",78,"Animalia","Mollusca","Littorinimorpha","Velutinidae","Marsenina","Marsenina glabra",1,52,225,7390893,7058,2302536,2302537,TRUE,"Gastropoda","Similarity: name=75; authorship=0; classification=-2; rank=5; status=0; 2 synonym homonyms; nextMatch=0",2302537
"21320","Marseninia micromphala",8277187,"Marsenina micromphala Friele, 1903","species","SYNONYM","FUZZY","Marsenina micromphala",78,"Animalia","Mollusca","Littorinimorpha","Velutinidae","Marsenina","Marsenina glabra",1,52,225,7390893,7058,2302536,2302537,TRUE,"Gastropoda","Similarity: name=75; authorship=0; classification=-2; rank=5; status=0",2302537
"21451","Membranipora spathulifera",4855280,"Membranipora spiculifera Maplestone, 1900","species","ACCEPTED","FUZZY","Membranipora spiculifera",9,"Animalia","Bryozoa","Cheilostomatida","Membraniporidae","Membranipora","Membranipora spiculifera",1,53,252,467,2137,1006457,4855280,FALSE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; nextMatch=0",NA
"21452","Membranipora spathulifera",4855275,"Membranipora papulifera (MacGillivray, 1882)","species","SYNONYM","FUZZY","Membranipora papulifera",8,"Animalia","Bryozoa","Cheilostomatida","Calloporidae","Crassimarginatella","Crassimarginatella papulifera",1,53,252,467,5797,1007072,1007102,TRUE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0",1007102
"21469","Menipea ternata",1008011,"Menipea ornata (Busk, 1852)","species","ACCEPTED","FUZZY","Menipea ornata",14,"Animalia","Bryozoa","Cheilostomatida","Candidae","Menipea","Menipea ornata",1,53,252,467,2107,1007997,1008011,FALSE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"21572","Microporella spathulifera",10837681,"Microporella papulifera (Canu & Bassler, 1923)","species","ACCEPTED","FUZZY","Microporella papulifera",14,"Animalia","Bryozoa","Cheilostomatida","Microporellidae","Microporella","Microporella papulifera",1,53,252,467,5826,1008982,10837681,FALSE,"Gymnolaemata","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"21991","Natica islandica",8109950,"Natica zelandica Quoy & Gaimard, 1832","species","SYNONYM","FUZZY","Natica zelandica",13,"Animalia","Mollusca","Littorinimorpha","Naticidae","Tanea","Tanea zelandica",1,52,225,7390893,7072,2300304,2300305,TRUE,"Gastropoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2300305
"22086","Nephalosoma capilleforme",2509709,"Nephasoma capilleforme (Murina, 1973)","species","ACCEPTED","FUZZY","Nephasoma capilleforme",74,"Animalia","Sipuncula","Golfingiiformes","Golfingiidae","Nephasoma","Nephasoma capilleforme",1,74,159,539,7339,2509611,2509709,FALSE,"Sipunculidea","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"22297","Notoacmaea incessa",2297956,"Notoacmea insessa (Hinds, 1842)","species","SYNONYM","FUZZY","Notoacmea insessa",78,"Animalia","Mollusca",NA,"Lottiidae","Discurria","Discurria insessa",1,52,225,NA,6553,2297814,2297815,TRUE,"Gastropoda","Similarity: name=70; authorship=0; classification=-2; rank=5; status=0; singleMatch=5",2297815
"22319","Nucella conradi",9257009,"Nucula conradi (Meek, 1864)","species","ACCEPTED","FUZZY","Nucula conradi",74,"Animalia","Mollusca","Nuculida","Nuculidae","Acila","Nucula conradi",1,52,137,8023994,6876,2285629,9257009,FALSE,"Bivalvia","Similarity: name=65; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
"22414","Obesotoma arctica",2303629,"Obesotoma artica (A.Adams, 1855)","species","ACCEPTED","FUZZY","Obesotoma artica",14,"Animalia","Mollusca","Neogastropoda","Mangeliidae","Obesotoma","Obesotoma artica",1,52,225,982,5857036,2303628,2303629,FALSE,"Gastropoda","Similarity: name=5; authorship=0; classification=-2; rank=5; status=1; singleMatch=5",NA
